Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_(1)_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 14:09:05
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0058
401.0,0.0054
402.0,0.0050
403.0,0.0048
404.0,0.0043
405.0,0.0040
406.0,0.0037
407.0,0.0034
408.0,0.0031
409.0,0.0028
410.0,0.0026
411.0,0.0025
412.0,0.0022
413.0,0.0022
414.0,0.0021
415.0,0.0020
416.0,0.0020
417.0,0.0019
418.0,0.0019
419.0,0.0020
420.0,0.0020
421.0,0.0020
422.0,0.0020
423.0,0.0022
424.0,0.0023
425.0,0.0024
426.0,0.0025
427.0,0.0026
428.0,0.0028
429.0,0.0029
430.0,0.0030
431.0,0.0032
432.0,0.0033
433.0,0.0035
434.0,0.0037
435.0,0.0039
436.0,0.0041
437.0,0.0042
438.0,0.0044
439.0,0.0046
440.0,0.0048
441.0,0.0050
442.0,0.0053
443.0,0.0054
444.0,0.0057
445.0,0.0058
446.0,0.0062
447.0,0.0065
448.0,0.0067
449.0,0.0069
450.0,0.0073
451.0,0.0075
452.0,0.0077
453.0,0.0081
454.0,0.0083
455.0,0.0087
456.0,0.0090
457.0,0.0093
458.0,0.0095
459.0,0.0098
460.0,0.0101
461.0,0.0104
462.0,0.0106
463.0,0.0110
464.0,0.0114
465.0,0.0116
466.0,0.0119
467.0,0.0122
468.0,0.0126
469.0,0.0127
470.0,0.0132
471.0,0.0134
472.0,0.0137
473.0,0.0141
474.0,0.0143
475.0,0.0147
476.0,0.0149
477.0,0.0153
478.0,0.0156
479.0,0.0160
480.0,0.0163
481.0,0.0166
482.0,0.0169
483.0,0.0173
484.0,0.0175
485.0,0.0179
486.0,0.0183
487.0,0.0186
488.0,0.0188
489.0,0.0192
490.0,0.0194
491.0,0.0197
492.0,0.0200
493.0,0.0202
494.0,0.0204
495.0,0.0206
496.0,0.0208
497.0,0.0210
498.0,0.0212
499.0,0.0213
500.0,0.0214
501.0,0.0215
502.0,0.0217
503.0,0.0217
504.0,0.0219
505.0,0.0220
506.0,0.0221
507.0,0.0221
