Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ab_27825_-30min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 16:07:16
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0142
401.0,0.0137
402.0,0.0129
403.0,0.0122
404.0,0.0114
405.0,0.0107
406.0,0.0098
407.0,0.0090
408.0,0.0083
409.0,0.0078
410.0,0.0072
411.0,0.0068
412.0,0.0064
413.0,0.0061
414.0,0.0058
415.0,0.0056
416.0,0.0054
417.0,0.0053
418.0,0.0054
419.0,0.0054
420.0,0.0055
421.0,0.0056
422.0,0.0057
423.0,0.0058
424.0,0.0060
425.0,0.0062
426.0,0.0064
427.0,0.0067
428.0,0.0070
429.0,0.0072
430.0,0.0074
431.0,0.0079
432.0,0.0081
433.0,0.0085
434.0,0.0088
435.0,0.0092
436.0,0.0095
437.0,0.0099
438.0,0.0103
439.0,0.0107
440.0,0.0112
441.0,0.0116
442.0,0.0121
443.0,0.0125
444.0,0.0131
445.0,0.0136
446.0,0.0141
447.0,0.0146
448.0,0.0152
449.0,0.0157
450.0,0.0163
451.0,0.0169
452.0,0.0174
453.0,0.0179
454.0,0.0186
455.0,0.0192
456.0,0.0198
457.0,0.0204
458.0,0.0211
459.0,0.0217
460.0,0.0223
461.0,0.0229
462.0,0.0236
463.0,0.0242
464.0,0.0248
465.0,0.0256
466.0,0.0261
467.0,0.0268
468.0,0.0274
469.0,0.0280
470.0,0.0286
471.0,0.0293
472.0,0.0299
473.0,0.0305
474.0,0.0312
475.0,0.0319
476.0,0.0326
477.0,0.0333
478.0,0.0339
479.0,0.0347
480.0,0.0353
481.0,0.0361
482.0,0.0368
483.0,0.0376
484.0,0.0383
485.0,0.0389
486.0,0.0396
487.0,0.0403
488.0,0.0410
489.0,0.0415
490.0,0.0422
491.0,0.0427
492.0,0.0431
493.0,0.0437
494.0,0.0441
495.0,0.0445
496.0,0.0448
497.0,0.0452
498.0,0.0456
499.0,0.0458
500.0,0.0460
501.0,0.0462
502.0,0.0464
503.0,0.0465
504.0,0.0466
505.0,0.0468
506.0,0.0469
507.0,0.0470
508.0,0.0471
509.0,0.0472
510.0,0.0473
511.0,0.0474
512.0,0.0477
513.0,0.0478
514.0,0.0480
515.0,0.0484
516.0,0.0487
517.0,0.0491
518.0,0.0496
519.0,0.0499
520.0,0.0505
521.0,0.0512
522.0,0.0520
523.0,0.0527
524.0,0.0535
525.0,0.0544
526.0,0.0554
527.0,0.0566
528.0,0.0578
529.0,0.0592
530.0,0.0605
531.0,0.0620
532.0,0.0636
533.0,0.0653
534.0,0.0672
535.0,0.0692
536.0,0.0711
537.0,0.0734
538.0,0.0756
539.0,0.0779
540.0,0.0805
541.0,0.0832
542.0,0.0859
543.0,0.0887
544.0,0.0918
545.0,0.0949
546.0,0.0981
547.0,0.1017
548.0,0.1052
549.0,0.1090
550.0,0.1129
551.0,0.1170
552.0,0.1211
553.0,0.1251
554.0,0.1295
555.0,0.1338
556.0,0.1383
557.0,0.1428
558.0,0.1472
559.0,0.1517
560.0,0.1563
561.0,0.1608
562.0,0.1654
563.0,0.1702
564.0,0.1750
565.0,0.1799
566.0,0.1848
567.0,0.1900
568.0,0.1951
569.0,0.2005
570.0,0.2064
571.0,0.2124
572.0,0.2189
573.0,0.2255
574.0,0.2326
575.0,0.2398
576.0,0.2476
577.0,0.2554
578.0,0.2639
579.0,0.2729
580.0,0.2823
581.0,0.2918
582.0,0.3019
583.0,0.3122
584.0,0.3226
585.0,0.3339
586.0,0.3454
587.0,0.3575
588.0,0.3700
589.0,0.3829
590.0,0.3959
591.0,0.4096
592.0,0.4237
593.0,0.4386
594.0,0.4533
595.0,0.4680
596.0,0.4836
597.0,0.4988
598.0,0.5135
599.0,0.5288
600.0,0.5434
601.0,0.5582
602.0,0.5721
603.0,0.5848
604.0,0.5976
605.0,0.6091
606.0,0.6194
607.0,0.6292
608.0,0.6380
609.0,0.6454
610.0,0.6518
611.0,0.6567
612.0,0.6606
613.0,0.6638
614.0,0.6659
615.0,0.6674
616.0,0.6680
617.0,0.6682
618.0,0.6681
619.0,0.6676
620.0,0.6672
621.0,0.6670
622.0,0.6669
623.0,0.6674
624.0,0.6684
625.0,0.6701
626.0,0.6727
627.0,0.6761
628.0,0.6801
629.0,0.6854
630.0,0.6918
631.0,0.6990
632.0,0.7073
633.0,0.7169
634.0,0.7274
635.0,0.7392
636.0,0.7522
637.0,0.7661
638.0,0.7813
639.0,0.7977
640.0,0.8147
641.0,0.8326
642.0,0.8514
643.0,0.8703
644.0,0.8905
645.0,0.9104
646.0,0.9300
647.0,0.9506
648.0,0.9706
649.0,0.9897
650.0,1.0089
651.0,1.0277
652.0,1.0454
653.0,1.0629
654.0,1.0795
655.0,1.0949
656.0,1.1101
657.0,1.1245
658.0,1.1378
659.0,1.1503
660.0,1.1615
661.0,1.1706
662.0,1.1776
663.0,1.1818
664.0,1.1831
665.0,1.1807
666.0,1.1739
667.0,1.1632
668.0,1.1476
669.0,1.1272
670.0,1.1017
671.0,1.0721
672.0,1.0380
673.0,1.0001
674.0,0.9573
675.0,0.9113
676.0,0.8636
677.0,0.8143
678.0,0.7640
679.0,0.7116
680.0,0.6595
681.0,0.6100
682.0,0.5604
683.0,0.5137
684.0,0.4696
685.0,0.4279
686.0,0.3896
687.0,0.3534
688.0,0.3196
689.0,0.2900
690.0,0.2625
691.0,0.2370
692.0,0.2144
693.0,0.1933
694.0,0.1747
695.0,0.1581
696.0,0.1424
697.0,0.1288
698.0,0.1169
699.0,0.1054
700.0,0.0957
701.0,0.0871
702.0,0.0789
703.0,0.0716
704.0,0.0652
705.0,0.0591
706.0,0.0539
707.0,0.0494
708.0,0.0452
709.0,0.0417
710.0,0.0383
711.0,0.0352
712.0,0.0325
713.0,0.0302
714.0,0.0279
715.0,0.0261
716.0,0.0243
717.0,0.0226
718.0,0.0212
719.0,0.0198
720.0,0.0185
721.0,0.0174
722.0,0.0163
723.0,0.0153
724.0,0.0144
725.0,0.0135
726.0,0.0127
727.0,0.0121
728.0,0.0113
729.0,0.0107
730.0,0.0101
731.0,0.0096
732.0,0.0089
733.0,0.0086
734.0,0.0081
735.0,0.0076
736.0,0.0072
737.0,0.0068
738.0,0.0064
739.0,0.0061
740.0,0.0060
741.0,0.0055
742.0,0.0053
743.0,0.0051
744.0,0.0049
745.0,0.0046
746.0,0.0042
747.0,0.0041
748.0,0.0039
749.0,0.0037
750.0,0.0035
751.0,0.0033
752.0,0.0032
753.0,0.0030
754.0,0.0029
755.0,0.0029
756.0,0.0026
757.0,0.0024
758.0,0.0024
759.0,0.0023
760.0,0.0021
761.0,0.0019
762.0,0.0018
763.0,0.0016
764.0,0.0016
765.0,0.0015
766.0,0.0013
767.0,0.0013
768.0,0.0013
769.0,0.0014
770.0,0.0012
771.0,0.0011
772.0,0.0011
773.0,0.0010
774.0,0.0008
775.0,0.0007
776.0,0.0008
777.0,0.0007
778.0,0.0008
779.0,0.0007
780.0,0.0006
781.0,0.0005
782.0,0.0005
783.0,0.0005
784.0,0.0004
785.0,0.0004
786.0,0.0002
787.0,0.0003
788.0,0.0002
789.0,0.0004
790.0,0.0002
791.0,0.0002
792.0,0.0002
793.0,0.0002
794.0,0.0002
795.0,-0.0001
796.0,-0.0000
797.0,-0.0001
798.0,-0.0000
799.0,0.0000
800.0,-0.0002
