Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ab_27825_60min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 15:56:35
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0077
401.0,0.0080
402.0,0.0079
403.0,0.0079
404.0,0.0079
405.0,0.0081
406.0,0.0082
407.0,0.0082
408.0,0.0081
409.0,0.0083
410.0,0.0084
411.0,0.0083
412.0,0.0085
413.0,0.0086
414.0,0.0086
415.0,0.0088
416.0,0.0088
417.0,0.0089
418.0,0.0090
419.0,0.0091
420.0,0.0092
421.0,0.0093
422.0,0.0094
423.0,0.0095
424.0,0.0096
425.0,0.0097
426.0,0.0098
427.0,0.0100
428.0,0.0101
429.0,0.0101
430.0,0.0102
431.0,0.0103
432.0,0.0104
433.0,0.0104
434.0,0.0106
435.0,0.0107
436.0,0.0107
437.0,0.0109
438.0,0.0109
439.0,0.0110
440.0,0.0111
441.0,0.0112
442.0,0.0114
443.0,0.0114
444.0,0.0115
445.0,0.0116
446.0,0.0116
447.0,0.0116
448.0,0.0118
449.0,0.0119
450.0,0.0119
451.0,0.0120
452.0,0.0120
453.0,0.0121
454.0,0.0121
455.0,0.0123
456.0,0.0124
457.0,0.0124
458.0,0.0124
459.0,0.0125
460.0,0.0127
461.0,0.0127
462.0,0.0127
463.0,0.0128
464.0,0.0128
465.0,0.0130
