Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova6_8725_-30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 12:50:31
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0132
401.0,0.0127
402.0,0.0118
403.0,0.0111
404.0,0.0103
405.0,0.0095
406.0,0.0088
407.0,0.0079
408.0,0.0072
409.0,0.0065
410.0,0.0060
411.0,0.0055
412.0,0.0051
413.0,0.0047
414.0,0.0045
415.0,0.0042
416.0,0.0041
417.0,0.0041
418.0,0.0041
419.0,0.0042
420.0,0.0042
421.0,0.0043
422.0,0.0045
423.0,0.0046
424.0,0.0049
425.0,0.0050
426.0,0.0053
427.0,0.0055
428.0,0.0058
429.0,0.0061
430.0,0.0065
431.0,0.0068
432.0,0.0071
433.0,0.0076
434.0,0.0079
435.0,0.0083
436.0,0.0086
437.0,0.0090
438.0,0.0095
439.0,0.0099
440.0,0.0104
441.0,0.0108
442.0,0.0115
443.0,0.0118
444.0,0.0124
445.0,0.0131
446.0,0.0136
447.0,0.0141
448.0,0.0146
449.0,0.0152
450.0,0.0160
451.0,0.0165
452.0,0.0171
453.0,0.0177
454.0,0.0183
455.0,0.0190
456.0,0.0197
457.0,0.0202
458.0,0.0210
459.0,0.0216
460.0,0.0223
461.0,0.0230
462.0,0.0237
463.0,0.0244
464.0,0.0249
465.0,0.0258
466.0,0.0263
467.0,0.0270
468.0,0.0277
469.0,0.0284
470.0,0.0291
471.0,0.0297
472.0,0.0304
473.0,0.0311
474.0,0.0317
475.0,0.0326
476.0,0.0332
477.0,0.0339
478.0,0.0346
479.0,0.0354
480.0,0.0361
481.0,0.0368
482.0,0.0376
483.0,0.0383
484.0,0.0390
485.0,0.0398
486.0,0.0405
487.0,0.0412
488.0,0.0419
489.0,0.0425
490.0,0.0432
491.0,0.0437
492.0,0.0443
493.0,0.0448
494.0,0.0452
495.0,0.0456
496.0,0.0460
497.0,0.0463
498.0,0.0467
499.0,0.0469
500.0,0.0471
501.0,0.0473
502.0,0.0475
503.0,0.0477
504.0,0.0478
