Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova6_8725_30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 12:42:39
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0108
401.0,0.0107
402.0,0.0106
403.0,0.0103
404.0,0.0103
405.0,0.0101
406.0,0.0101
407.0,0.0099
408.0,0.0099
409.0,0.0098
410.0,0.0098
411.0,0.0099
412.0,0.0099
413.0,0.0099
414.0,0.0101
415.0,0.0102
416.0,0.0103
417.0,0.0105
418.0,0.0106
419.0,0.0109
420.0,0.0110
421.0,0.0112
422.0,0.0114
423.0,0.0116
424.0,0.0119
425.0,0.0121
426.0,0.0124
427.0,0.0127
428.0,0.0128
429.0,0.0131
430.0,0.0133
431.0,0.0137
432.0,0.0140
433.0,0.0142
434.0,0.0145
435.0,0.0148
436.0,0.0150
437.0,0.0153
438.0,0.0156
439.0,0.0159
440.0,0.0162
441.0,0.0165
442.0,0.0169
443.0,0.0172
444.0,0.0175
445.0,0.0178
446.0,0.0181
447.0,0.0185
448.0,0.0188
449.0,0.0191
450.0,0.0194
451.0,0.0197
452.0,0.0201
453.0,0.0204
454.0,0.0206
455.0,0.0211
456.0,0.0215
457.0,0.0217
458.0,0.0221
459.0,0.0224
460.0,0.0228
461.0,0.0232
462.0,0.0236
463.0,0.0239
464.0,0.0243
465.0,0.0247
466.0,0.0249
467.0,0.0253
468.0,0.0257
469.0,0.0261
470.0,0.0264
471.0,0.0267
472.0,0.0271
473.0,0.0275
474.0,0.0277
475.0,0.0282
476.0,0.0285
477.0,0.0288
478.0,0.0292
479.0,0.0295
480.0,0.0298
481.0,0.0301
482.0,0.0305
483.0,0.0309
484.0,0.0312
485.0,0.0315
486.0,0.0318
487.0,0.0321
488.0,0.0324
489.0,0.0327
490.0,0.0330
491.0,0.0333
492.0,0.0337
493.0,0.0340
494.0,0.0342
495.0,0.0345
496.0,0.0348
497.0,0.0350
498.0,0.0354
499.0,0.0356
500.0,0.0359
501.0,0.0362
502.0,0.0364
503.0,0.0368
504.0,0.0371
