Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_abd_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 18:10:29
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0130
401.0,0.0122
402.0,0.0115
403.0,0.0109
404.0,0.0101
405.0,0.0092
406.0,0.0086
407.0,0.0079
408.0,0.0073
409.0,0.0066
410.0,0.0062
411.0,0.0058
412.0,0.0053
413.0,0.0050
414.0,0.0047
415.0,0.0045
416.0,0.0046
417.0,0.0044
418.0,0.0044
419.0,0.0045
420.0,0.0045
421.0,0.0046
422.0,0.0046
423.0,0.0049
424.0,0.0051
425.0,0.0054
426.0,0.0055
427.0,0.0058
428.0,0.0061
429.0,0.0063
430.0,0.0067
431.0,0.0069
432.0,0.0073
433.0,0.0077
434.0,0.0080
435.0,0.0083
436.0,0.0087
437.0,0.0091
438.0,0.0095
439.0,0.0100
440.0,0.0103
441.0,0.0108
442.0,0.0113
443.0,0.0116
444.0,0.0122
445.0,0.0128
446.0,0.0132
447.0,0.0138
448.0,0.0143
449.0,0.0149
450.0,0.0155
451.0,0.0160
452.0,0.0165
453.0,0.0172
454.0,0.0178
455.0,0.0184
456.0,0.0189
457.0,0.0197
458.0,0.0203
459.0,0.0208
460.0,0.0215
461.0,0.0222
462.0,0.0227
463.0,0.0234
464.0,0.0241
465.0,0.0245
466.0,0.0252
467.0,0.0259
468.0,0.0265
469.0,0.0272
470.0,0.0279
471.0,0.0284
472.0,0.0290
473.0,0.0297
474.0,0.0304
475.0,0.0310
476.0,0.0316
477.0,0.0323
478.0,0.0330
479.0,0.0337
480.0,0.0344
481.0,0.0350
482.0,0.0358
483.0,0.0365
484.0,0.0372
485.0,0.0379
486.0,0.0385
487.0,0.0392
488.0,0.0399
489.0,0.0405
490.0,0.0410
491.0,0.0416
492.0,0.0421
493.0,0.0427
494.0,0.0431
495.0,0.0435
496.0,0.0438
497.0,0.0441
498.0,0.0445
499.0,0.0447
500.0,0.0449
501.0,0.0452
502.0,0.0454
503.0,0.0456
504.0,0.0456
505.0,0.0458
506.0,0.0459
507.0,0.0460
508.0,0.0461
509.0,0.0462
510.0,0.0464
511.0,0.0466
512.0,0.0467
513.0,0.0469
514.0,0.0472
515.0,0.0475
516.0,0.0478
517.0,0.0482
518.0,0.0488
519.0,0.0492
520.0,0.0498
521.0,0.0504
522.0,0.0511
523.0,0.0520
524.0,0.0528
525.0,0.0537
526.0,0.0547
527.0,0.0558
528.0,0.0571
529.0,0.0584
530.0,0.0599
531.0,0.0613
532.0,0.0629
533.0,0.0647
534.0,0.0663
535.0,0.0684
536.0,0.0704
537.0,0.0726
538.0,0.0749
539.0,0.0773
540.0,0.0798
541.0,0.0824
542.0,0.0850
543.0,0.0879
544.0,0.0910
545.0,0.0939
546.0,0.0972
547.0,0.1007
548.0,0.1043
549.0,0.1080
550.0,0.1119
551.0,0.1160
552.0,0.1199
553.0,0.1239
554.0,0.1283
555.0,0.1325
556.0,0.1369
557.0,0.1415
558.0,0.1458
559.0,0.1504
560.0,0.1549
561.0,0.1593
562.0,0.1638
563.0,0.1686
564.0,0.1733
565.0,0.1781
566.0,0.1830
567.0,0.1881
568.0,0.1932
569.0,0.1986
570.0,0.2044
571.0,0.2104
572.0,0.2169
573.0,0.2234
574.0,0.2303
575.0,0.2376
576.0,0.2453
577.0,0.2531
578.0,0.2615
579.0,0.2706
580.0,0.2798
581.0,0.2892
582.0,0.2993
583.0,0.3097
584.0,0.3199
585.0,0.3311
586.0,0.3425
587.0,0.3547
588.0,0.3671
589.0,0.3798
590.0,0.3926
591.0,0.4063
592.0,0.4204
593.0,0.4349
594.0,0.4494
595.0,0.4642
596.0,0.4797
597.0,0.4947
598.0,0.5093
599.0,0.5244
600.0,0.5390
601.0,0.5535
602.0,0.5674
603.0,0.5801
604.0,0.5926
605.0,0.6038
606.0,0.6142
607.0,0.6238
608.0,0.6322
609.0,0.6393
610.0,0.6456
611.0,0.6503
612.0,0.6541
613.0,0.6570
614.0,0.6589
615.0,0.6601
616.0,0.6606
617.0,0.6604
618.0,0.6600
619.0,0.6594
620.0,0.6587
621.0,0.6582
622.0,0.6579
623.0,0.6581
624.0,0.6589
625.0,0.6604
626.0,0.6627
627.0,0.6658
628.0,0.6696
629.0,0.6746
630.0,0.6808
631.0,0.6877
632.0,0.6957
633.0,0.7050
634.0,0.7151
635.0,0.7265
636.0,0.7390
637.0,0.7524
638.0,0.7674
639.0,0.7831
640.0,0.7994
641.0,0.8171
642.0,0.8353
643.0,0.8537
644.0,0.8734
645.0,0.8927
646.0,0.9121
647.0,0.9319
648.0,0.9512
649.0,0.9699
650.0,0.9885
651.0,1.0066
652.0,1.0239
653.0,1.0410
654.0,1.0570
655.0,1.0718
656.0,1.0867
657.0,1.1009
658.0,1.1136
659.0,1.1259
660.0,1.1367
661.0,1.1455
662.0,1.1522
663.0,1.1566
664.0,1.1576
665.0,1.1548
666.0,1.1486
667.0,1.1378
668.0,1.1223
669.0,1.1018
670.0,1.0771
671.0,1.0476
672.0,1.0138
673.0,0.9765
674.0,0.9341
675.0,0.8887
676.0,0.8419
677.0,0.7932
678.0,0.7437
679.0,0.6919
680.0,0.6414
681.0,0.5924
682.0,0.5441
683.0,0.4978
684.0,0.4550
685.0,0.4137
686.0,0.3762
687.0,0.3410
688.0,0.3083
689.0,0.2791
690.0,0.2524
691.0,0.2278
692.0,0.2057
693.0,0.1852
694.0,0.1674
695.0,0.1513
696.0,0.1362
697.0,0.1230
698.0,0.1114
699.0,0.1006
700.0,0.0911
