Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_abd_28825_0min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 18:09:01
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0155
401.0,0.0148
402.0,0.0138
403.0,0.0132
404.0,0.0123
405.0,0.0114
406.0,0.0106
407.0,0.0099
408.0,0.0091
409.0,0.0084
410.0,0.0079
411.0,0.0074
412.0,0.0070
413.0,0.0066
414.0,0.0065
415.0,0.0061
416.0,0.0061
417.0,0.0060
418.0,0.0061
419.0,0.0060
420.0,0.0061
421.0,0.0064
422.0,0.0064
423.0,0.0068
424.0,0.0069
425.0,0.0071
426.0,0.0074
427.0,0.0077
428.0,0.0081
429.0,0.0085
430.0,0.0087
431.0,0.0093
432.0,0.0096
433.0,0.0099
434.0,0.0104
435.0,0.0108
436.0,0.0112
437.0,0.0117
438.0,0.0122
439.0,0.0127
440.0,0.0131
441.0,0.0136
442.0,0.0142
443.0,0.0147
444.0,0.0153
445.0,0.0160
446.0,0.0165
447.0,0.0171
448.0,0.0177
449.0,0.0183
450.0,0.0190
451.0,0.0196
452.0,0.0203
453.0,0.0210
454.0,0.0215
455.0,0.0223
456.0,0.0231
457.0,0.0237
458.0,0.0245
459.0,0.0252
460.0,0.0259
461.0,0.0266
462.0,0.0272
463.0,0.0281
464.0,0.0289
465.0,0.0296
466.0,0.0303
467.0,0.0310
468.0,0.0317
469.0,0.0325
470.0,0.0333
471.0,0.0340
472.0,0.0347
473.0,0.0355
474.0,0.0363
475.0,0.0370
476.0,0.0377
477.0,0.0385
478.0,0.0394
479.0,0.0402
480.0,0.0411
481.0,0.0418
482.0,0.0426
483.0,0.0435
484.0,0.0443
485.0,0.0451
486.0,0.0458
487.0,0.0467
488.0,0.0473
489.0,0.0481
490.0,0.0488
491.0,0.0495
492.0,0.0502
493.0,0.0507
494.0,0.0511
495.0,0.0517
496.0,0.0522
497.0,0.0526
498.0,0.0529
499.0,0.0532
500.0,0.0536
501.0,0.0539
502.0,0.0542
503.0,0.0545
504.0,0.0547
505.0,0.0547
506.0,0.0551
507.0,0.0553
508.0,0.0556
509.0,0.0559
510.0,0.0561
511.0,0.0564
512.0,0.0567
513.0,0.0570
514.0,0.0573
515.0,0.0578
516.0,0.0584
517.0,0.0590
518.0,0.0596
519.0,0.0604
520.0,0.0612
521.0,0.0622
522.0,0.0631
523.0,0.0641
524.0,0.0653
525.0,0.0664
526.0,0.0679
527.0,0.0692
528.0,0.0708
529.0,0.0724
530.0,0.0742
531.0,0.0761
532.0,0.0781
533.0,0.0802
534.0,0.0825
535.0,0.0850
536.0,0.0874
537.0,0.0902
538.0,0.0928
539.0,0.0959
540.0,0.0989
541.0,0.1021
542.0,0.1054
543.0,0.1089
544.0,0.1126
545.0,0.1163
546.0,0.1201
547.0,0.1244
548.0,0.1287
549.0,0.1331
550.0,0.1378
551.0,0.1426
552.0,0.1475
553.0,0.1523
554.0,0.1574
555.0,0.1626
556.0,0.1679
557.0,0.1731
558.0,0.1784
559.0,0.1838
560.0,0.1895
561.0,0.1947
562.0,0.2002
563.0,0.2058
564.0,0.2114
565.0,0.2173
566.0,0.2231
567.0,0.2293
568.0,0.2355
569.0,0.2420
570.0,0.2491
571.0,0.2561
572.0,0.2639
573.0,0.2719
574.0,0.2801
575.0,0.2895
576.0,0.2982
577.0,0.3074
578.0,0.3174
579.0,0.3281
580.0,0.3390
581.0,0.3503
582.0,0.3622
583.0,0.3744
584.0,0.3866
585.0,0.3997
586.0,0.4130
587.0,0.4273
588.0,0.4419
589.0,0.4567
590.0,0.4716
591.0,0.4875
592.0,0.5038
593.0,0.5207
594.0,0.5374
595.0,0.5544
596.0,0.5722
597.0,0.5893
598.0,0.6058
599.0,0.6228
600.0,0.6391
601.0,0.6556
602.0,0.6708
603.0,0.6850
604.0,0.6987
605.0,0.7110
606.0,0.7223
607.0,0.7327
608.0,0.7416
609.0,0.7493
610.0,0.7558
611.0,0.7607
612.0,0.7644
613.0,0.7673
614.0,0.7689
615.0,0.7697
616.0,0.7699
617.0,0.7693
618.0,0.7685
619.0,0.7675
620.0,0.7664
621.0,0.7656
622.0,0.7650
623.0,0.7650
624.0,0.7657
625.0,0.7671
626.0,0.7695
627.0,0.7728
628.0,0.7772
629.0,0.7824
630.0,0.7891
631.0,0.7967
632.0,0.8055
633.0,0.8157
634.0,0.8268
635.0,0.8393
636.0,0.8529
637.0,0.8674
638.0,0.8838
639.0,0.9009
640.0,0.9186
641.0,0.9380
642.0,0.9577
643.0,0.9775
644.0,0.9986
645.0,1.0194
