Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ad_28825_0min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 14:30:49
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0049
401.0,0.0048
402.0,0.0044
403.0,0.0042
404.0,0.0036
405.0,0.0033
406.0,0.0029
407.0,0.0028
408.0,0.0024
409.0,0.0025
410.0,0.0020
411.0,0.0019
412.0,0.0018
413.0,0.0014
414.0,0.0014
415.0,0.0012
416.0,0.0014
417.0,0.0013
418.0,0.0013
419.0,0.0012
420.0,0.0017
421.0,0.0016
422.0,0.0016
423.0,0.0018
424.0,0.0018
425.0,0.0020
426.0,0.0023
427.0,0.0022
428.0,0.0023
429.0,0.0027
430.0,0.0027
431.0,0.0027
432.0,0.0029
433.0,0.0031
434.0,0.0035
435.0,0.0034
436.0,0.0040
437.0,0.0036
438.0,0.0039
439.0,0.0043
440.0,0.0045
441.0,0.0047
442.0,0.0049
443.0,0.0051
444.0,0.0055
445.0,0.0056
446.0,0.0059
447.0,0.0060
448.0,0.0063
449.0,0.0066
450.0,0.0068
451.0,0.0071
452.0,0.0073
453.0,0.0076
454.0,0.0078
455.0,0.0082
456.0,0.0085
457.0,0.0088
458.0,0.0091
459.0,0.0093
460.0,0.0097
461.0,0.0100
462.0,0.0102
463.0,0.0105
464.0,0.0107
465.0,0.0110
466.0,0.0114
467.0,0.0116
468.0,0.0120
469.0,0.0123
470.0,0.0125
471.0,0.0127
472.0,0.0130
473.0,0.0133
474.0,0.0136
475.0,0.0141
476.0,0.0143
477.0,0.0146
478.0,0.0149
479.0,0.0152
480.0,0.0156
481.0,0.0158
482.0,0.0162
483.0,0.0165
484.0,0.0168
485.0,0.0171
486.0,0.0174
487.0,0.0176
488.0,0.0179
489.0,0.0183
490.0,0.0185
491.0,0.0188
492.0,0.0191
493.0,0.0193
494.0,0.0195
495.0,0.0198
496.0,0.0198
497.0,0.0201
498.0,0.0202
499.0,0.0202
