Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_b_28825_105min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 12:50:53
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0032
401.0,0.0032
402.0,0.0031
403.0,0.0031
404.0,0.0030
405.0,0.0029
406.0,0.0029
407.0,0.0030
408.0,0.0028
409.0,0.0028
410.0,0.0028
411.0,0.0028
412.0,0.0027
413.0,0.0027
414.0,0.0027
415.0,0.0027
416.0,0.0027
417.0,0.0027
418.0,0.0027
419.0,0.0027
420.0,0.0027
421.0,0.0027
422.0,0.0026
423.0,0.0028
424.0,0.0027
425.0,0.0028
426.0,0.0027
427.0,0.0027
428.0,0.0028
429.0,0.0028
430.0,0.0029
431.0,0.0028
432.0,0.0029
433.0,0.0029
434.0,0.0029
435.0,0.0030
436.0,0.0030
437.0,0.0030
438.0,0.0030
439.0,0.0031
440.0,0.0031
441.0,0.0031
442.0,0.0031
443.0,0.0030
444.0,0.0031
445.0,0.0032
446.0,0.0033
447.0,0.0033
448.0,0.0033
449.0,0.0033
450.0,0.0034
451.0,0.0034
452.0,0.0033
453.0,0.0034
454.0,0.0034
455.0,0.0035
456.0,0.0035
457.0,0.0036
458.0,0.0036
459.0,0.0036
460.0,0.0037
461.0,0.0037
462.0,0.0037
463.0,0.0038
464.0,0.0038
465.0,0.0038
466.0,0.0037
467.0,0.0038
468.0,0.0039
469.0,0.0039
470.0,0.0040
471.0,0.0039
472.0,0.0040
473.0,0.0040
474.0,0.0040
475.0,0.0040
476.0,0.0041
477.0,0.0041
