Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_b_45min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 12:59:04
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0121
401.0,0.0120
402.0,0.0118
403.0,0.0118
404.0,0.0116
405.0,0.0115
406.0,0.0115
407.0,0.0116
408.0,0.0116
409.0,0.0115
410.0,0.0116
411.0,0.0117
412.0,0.0117
413.0,0.0119
414.0,0.0120
415.0,0.0121
416.0,0.0124
417.0,0.0125
418.0,0.0127
419.0,0.0129
420.0,0.0131
421.0,0.0133
422.0,0.0134
423.0,0.0137
424.0,0.0139
425.0,0.0142
426.0,0.0144
427.0,0.0146
428.0,0.0150
429.0,0.0152
430.0,0.0155
431.0,0.0157
432.0,0.0160
433.0,0.0163
434.0,0.0166
435.0,0.0169
436.0,0.0172
437.0,0.0175
438.0,0.0177
439.0,0.0180
440.0,0.0183
441.0,0.0186
442.0,0.0189
443.0,0.0191
444.0,0.0195
445.0,0.0198
446.0,0.0201
447.0,0.0203
448.0,0.0207
449.0,0.0210
450.0,0.0213
451.0,0.0216
452.0,0.0217
453.0,0.0223
454.0,0.0225
455.0,0.0229
456.0,0.0232
457.0,0.0235
458.0,0.0238
459.0,0.0241
460.0,0.0245
461.0,0.0249
462.0,0.0252
463.0,0.0256
464.0,0.0259
465.0,0.0262
466.0,0.0265
467.0,0.0268
468.0,0.0273
469.0,0.0276
470.0,0.0279
471.0,0.0281
472.0,0.0286
473.0,0.0288
474.0,0.0291
475.0,0.0295
476.0,0.0298
477.0,0.0301
478.0,0.0304
479.0,0.0307
480.0,0.0311
481.0,0.0315
482.0,0.0317
483.0,0.0321
484.0,0.0324
485.0,0.0326
486.0,0.0329
487.0,0.0333
488.0,0.0335
489.0,0.0340
490.0,0.0342
491.0,0.0345
492.0,0.0348
493.0,0.0352
494.0,0.0354
495.0,0.0357
496.0,0.0360
497.0,0.0363
498.0,0.0367
499.0,0.0369
500.0,0.0373
501.0,0.0376
502.0,0.0380
503.0,0.0383
504.0,0.0386
505.0,0.0391
506.0,0.0395
507.0,0.0399
508.0,0.0404
509.0,0.0408
510.0,0.0413
511.0,0.0418
512.0,0.0425
513.0,0.0429
514.0,0.0435
515.0,0.0441
516.0,0.0448
517.0,0.0455
518.0,0.0462
519.0,0.0470
520.0,0.0476
521.0,0.0486
522.0,0.0494
523.0,0.0503
524.0,0.0513
525.0,0.0523
526.0,0.0532
527.0,0.0543
528.0,0.0555
529.0,0.0566
530.0,0.0579
531.0,0.0590
532.0,0.0605
533.0,0.0618
534.0,0.0631
535.0,0.0646
536.0,0.0661
537.0,0.0678
538.0,0.0694
539.0,0.0710
540.0,0.0727
541.0,0.0745
542.0,0.0763
543.0,0.0781
544.0,0.0801
545.0,0.0819
546.0,0.0840
547.0,0.0862
548.0,0.0883
549.0,0.0905
550.0,0.0927
551.0,0.0951
552.0,0.0976
553.0,0.1000
554.0,0.1026
555.0,0.1052
556.0,0.1078
557.0,0.1106
558.0,0.1132
559.0,0.1160
560.0,0.1189
561.0,0.1217
562.0,0.1244
563.0,0.1275
564.0,0.1305
565.0,0.1335
566.0,0.1366
567.0,0.1398
568.0,0.1429
569.0,0.1462
570.0,0.1498
571.0,0.1533
572.0,0.1571
573.0,0.1609
574.0,0.1646
575.0,0.1687
576.0,0.1726
577.0,0.1768
578.0,0.1809
579.0,0.1851
580.0,0.1894
581.0,0.1936
582.0,0.1979
583.0,0.2022
584.0,0.2064
585.0,0.2108
586.0,0.2151
587.0,0.2195
588.0,0.2239
589.0,0.2283
590.0,0.2326
591.0,0.2371
592.0,0.2416
593.0,0.2460
594.0,0.2503
595.0,0.2545
596.0,0.2589
597.0,0.2632
598.0,0.2671
599.0,0.2712
600.0,0.2751
601.0,0.2789
602.0,0.2826
603.0,0.2859
604.0,0.2894
605.0,0.2927
606.0,0.2958
607.0,0.2988
608.0,0.3018
609.0,0.3045
610.0,0.3073
611.0,0.3098
612.0,0.3122
613.0,0.3147
614.0,0.3170
615.0,0.3192
616.0,0.3214
617.0,0.3235
618.0,0.3256
619.0,0.3277
620.0,0.3297
621.0,0.3316
622.0,0.3337
623.0,0.3357
624.0,0.3378
625.0,0.3398
626.0,0.3420
627.0,0.3440
628.0,0.3461
629.0,0.3483
630.0,0.3504
631.0,0.3525
632.0,0.3544
633.0,0.3563
634.0,0.3581
635.0,0.3600
636.0,0.3614
637.0,0.3629
638.0,0.3642
639.0,0.3652
640.0,0.3662
641.0,0.3671
642.0,0.3678
643.0,0.3683
644.0,0.3688
645.0,0.3689
646.0,0.3690
647.0,0.3687
648.0,0.3683
649.0,0.3675
650.0,0.3662
651.0,0.3647
652.0,0.3627
653.0,0.3605
654.0,0.3576
655.0,0.3543
656.0,0.3506
657.0,0.3462
658.0,0.3416
659.0,0.3363
660.0,0.3305
661.0,0.3243
662.0,0.3177
663.0,0.3106
664.0,0.3033
665.0,0.2952
666.0,0.2868
667.0,0.2784
668.0,0.2692
669.0,0.2598
670.0,0.2498
671.0,0.2396
672.0,0.2289
673.0,0.2182
674.0,0.2067
675.0,0.1954
676.0,0.1842
677.0,0.1727
678.0,0.1615
679.0,0.1500
680.0,0.1388
681.0,0.1284
682.0,0.1184
683.0,0.1087
684.0,0.0998
685.0,0.0912
686.0,0.0835
687.0,0.0763
688.0,0.0695
689.0,0.0636
690.0,0.0581
691.0,0.0531
692.0,0.0484
693.0,0.0441
694.0,0.0404
695.0,0.0369
696.0,0.0338
697.0,0.0309
698.0,0.0284
699.0,0.0261
700.0,0.0240
701.0,0.0221
702.0,0.0203
703.0,0.0187
704.0,0.0172
705.0,0.0160
706.0,0.0147
707.0,0.0136
708.0,0.0125
709.0,0.0116
710.0,0.0109
711.0,0.0101
712.0,0.0096
713.0,0.0088
714.0,0.0082
715.0,0.0077
716.0,0.0073
717.0,0.0067
718.0,0.0064
719.0,0.0060
720.0,0.0055
721.0,0.0053
722.0,0.0049
723.0,0.0046
724.0,0.0044
725.0,0.0042
726.0,0.0038
727.0,0.0037
728.0,0.0035
729.0,0.0033
730.0,0.0031
731.0,0.0029
732.0,0.0028
733.0,0.0026
734.0,0.0025
735.0,0.0024
736.0,0.0021
737.0,0.0020
738.0,0.0021
739.0,0.0018
740.0,0.0017
741.0,0.0017
742.0,0.0018
743.0,0.0015
744.0,0.0015
745.0,0.0014
746.0,0.0014
747.0,0.0013
748.0,0.0012
749.0,0.0011
750.0,0.0011
751.0,0.0010
752.0,0.0010
753.0,0.0009
754.0,0.0009
755.0,0.0008
756.0,0.0009
757.0,0.0007
758.0,0.0008
759.0,0.0006
760.0,0.0007
761.0,0.0006
762.0,0.0005
763.0,0.0005
764.0,0.0004
765.0,0.0005
766.0,0.0005
767.0,0.0004
768.0,0.0005
769.0,0.0002
770.0,0.0004
771.0,0.0003
772.0,0.0003
773.0,0.0003
774.0,0.0003
775.0,0.0004
776.0,0.0003
777.0,0.0003
778.0,0.0001
779.0,0.0003
780.0,0.0001
781.0,0.0001
782.0,-0.0000
783.0,0.0003
784.0,-0.0000
785.0,0.0002
786.0,0.0001
787.0,0.0001
788.0,0.0002
789.0,0.0002
790.0,0.0002
791.0,-0.0001
792.0,0.0002
793.0,0.0001
794.0,0.0003
795.0,0.0001
796.0,-0.0000
797.0,0.0001
798.0,0.0001
799.0,0.0000
800.0,0.0000
