Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bc_27825_-30min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 18:50:15
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0175
401.0,0.0168
402.0,0.0159
403.0,0.0150
404.0,0.0141
405.0,0.0132
406.0,0.0123
407.0,0.0115
408.0,0.0106
409.0,0.0099
410.0,0.0093
411.0,0.0086
412.0,0.0083
413.0,0.0078
414.0,0.0074
415.0,0.0073
416.0,0.0071
417.0,0.0071
418.0,0.0071
419.0,0.0071
420.0,0.0071
421.0,0.0073
422.0,0.0075
423.0,0.0077
424.0,0.0079
425.0,0.0082
426.0,0.0083
427.0,0.0086
428.0,0.0090
429.0,0.0093
430.0,0.0097
431.0,0.0100
432.0,0.0105
433.0,0.0108
434.0,0.0112
435.0,0.0117
436.0,0.0121
437.0,0.0126
438.0,0.0131
439.0,0.0136
440.0,0.0142
441.0,0.0147
442.0,0.0152
443.0,0.0158
444.0,0.0164
445.0,0.0170
446.0,0.0176
447.0,0.0183
448.0,0.0190
449.0,0.0196
450.0,0.0203
451.0,0.0210
452.0,0.0216
453.0,0.0223
454.0,0.0230
455.0,0.0238
456.0,0.0245
457.0,0.0253
458.0,0.0259
459.0,0.0268
460.0,0.0276
461.0,0.0283
462.0,0.0291
463.0,0.0299
464.0,0.0306
465.0,0.0315
466.0,0.0322
467.0,0.0329
468.0,0.0338
469.0,0.0345
470.0,0.0352
471.0,0.0360
472.0,0.0368
473.0,0.0376
474.0,0.0384
475.0,0.0392
476.0,0.0400
477.0,0.0409
478.0,0.0417
479.0,0.0425
480.0,0.0434
481.0,0.0443
482.0,0.0452
483.0,0.0461
484.0,0.0469
485.0,0.0477
486.0,0.0486
487.0,0.0494
488.0,0.0502
489.0,0.0510
490.0,0.0516
491.0,0.0523
492.0,0.0529
493.0,0.0537
494.0,0.0542
495.0,0.0547
496.0,0.0550
497.0,0.0555
498.0,0.0559
499.0,0.0562
500.0,0.0565
501.0,0.0568
502.0,0.0570
503.0,0.0573
504.0,0.0574
