Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bc_27825_60min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 18:40:49
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0127
401.0,0.0127
402.0,0.0126
403.0,0.0126
404.0,0.0126
405.0,0.0126
406.0,0.0125
407.0,0.0126
408.0,0.0125
409.0,0.0126
410.0,0.0127
411.0,0.0128
412.0,0.0128
413.0,0.0129
414.0,0.0131
415.0,0.0132
416.0,0.0134
417.0,0.0135
418.0,0.0137
419.0,0.0138
420.0,0.0140
421.0,0.0142
422.0,0.0144
423.0,0.0146
424.0,0.0148
425.0,0.0151
426.0,0.0152
427.0,0.0154
428.0,0.0157
429.0,0.0158
430.0,0.0161
431.0,0.0164
432.0,0.0166
433.0,0.0167
434.0,0.0169
435.0,0.0172
436.0,0.0174
437.0,0.0177
438.0,0.0180
439.0,0.0182
440.0,0.0185
441.0,0.0187
442.0,0.0190
443.0,0.0191
444.0,0.0195
445.0,0.0197
446.0,0.0199
447.0,0.0202
448.0,0.0204
449.0,0.0207
450.0,0.0210
451.0,0.0213
452.0,0.0214
453.0,0.0217
454.0,0.0220
455.0,0.0223
456.0,0.0227
457.0,0.0229
458.0,0.0232
459.0,0.0235
460.0,0.0238
461.0,0.0240
462.0,0.0244
463.0,0.0247
464.0,0.0249
465.0,0.0254
466.0,0.0255
467.0,0.0259
468.0,0.0262
469.0,0.0264
470.0,0.0268
471.0,0.0271
472.0,0.0273
473.0,0.0276
474.0,0.0278
475.0,0.0282
476.0,0.0285
477.0,0.0287
478.0,0.0291
479.0,0.0292
480.0,0.0295
481.0,0.0298
482.0,0.0301
483.0,0.0305
484.0,0.0307
485.0,0.0310
486.0,0.0312
487.0,0.0315
488.0,0.0318
489.0,0.0320
490.0,0.0322
491.0,0.0325
492.0,0.0327
493.0,0.0331
494.0,0.0333
495.0,0.0336
496.0,0.0337
497.0,0.0341
498.0,0.0344
499.0,0.0347
500.0,0.0350
501.0,0.0354
502.0,0.0357
503.0,0.0360
504.0,0.0364
505.0,0.0369
506.0,0.0372
507.0,0.0377
508.0,0.0382
509.0,0.0386
510.0,0.0392
511.0,0.0396
512.0,0.0402
513.0,0.0407
514.0,0.0413
515.0,0.0419
516.0,0.0425
517.0,0.0431
518.0,0.0439
519.0,0.0445
520.0,0.0453
521.0,0.0460
522.0,0.0469
523.0,0.0478
524.0,0.0486
525.0,0.0495
526.0,0.0505
527.0,0.0515
528.0,0.0526
529.0,0.0536
530.0,0.0547
531.0,0.0558
532.0,0.0570
533.0,0.0581
534.0,0.0595
535.0,0.0608
536.0,0.0622
537.0,0.0636
538.0,0.0650
539.0,0.0665
540.0,0.0681
541.0,0.0696
542.0,0.0713
543.0,0.0728
