Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova1_7725_-60min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 14:28:54
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.5744
301.0,0.5290
302.0,0.4836
303.0,0.4414
304.0,0.4013
305.0,0.3657
306.0,0.3321
307.0,0.3031
308.0,0.2792
309.0,0.2586
310.0,0.2418
311.0,0.2281
312.0,0.2172
313.0,0.2087
314.0,0.2018
315.0,0.1961
316.0,0.1911
317.0,0.1866
318.0,0.1826
319.0,0.1788
320.0,0.1758
321.0,0.1731
322.0,0.1708
323.0,0.1686
324.0,0.1666
325.0,0.1645
326.0,0.1620
327.0,0.1587
328.0,0.1548
329.0,0.1497
330.0,0.1438
331.0,0.1369
332.0,0.1295
333.0,0.1214
334.0,0.1131
335.0,0.1044
336.0,0.0960
337.0,0.0878
338.0,0.0806
339.0,0.0737
340.0,0.0674
341.0,0.0621
342.0,0.0569
343.0,0.0525
344.0,0.0488
345.0,0.0454
346.0,0.0425
347.0,0.0398
348.0,0.0375
349.0,0.0353
350.0,0.0335
351.0,0.0316
352.0,0.0300
353.0,0.0285
354.0,0.0270
355.0,0.0256
356.0,0.0245
357.0,0.0230
358.0,0.0219
359.0,0.0210
360.0,0.0200
361.0,0.0192
362.0,0.0185
363.0,0.0179
364.0,0.0174
365.0,0.0170
366.0,0.0166
367.0,0.0164
368.0,0.0163
369.0,0.0163
370.0,0.0162
371.0,0.0164
372.0,0.0161
373.0,0.0160
374.0,0.0162
375.0,0.0162
376.0,0.0162
377.0,0.0165
378.0,0.0166
379.0,0.0169
380.0,0.0171
381.0,0.0173
382.0,0.0176
383.0,0.0178
384.0,0.0182
385.0,0.0186
386.0,0.0189
387.0,0.0193
388.0,0.0198
389.0,0.0199
390.0,0.0202
391.0,0.0205
392.0,0.0207
393.0,0.0207
394.0,0.0206
395.0,0.0204
396.0,0.0203
397.0,0.0197
398.0,0.0191
399.0,0.0184
400.0,0.0176
401.0,0.0167
402.0,0.0158
403.0,0.0150
404.0,0.0138
405.0,0.0129
406.0,0.0120
407.0,0.0111
408.0,0.0101
409.0,0.0094
410.0,0.0086
411.0,0.0080
412.0,0.0075
413.0,0.0070
414.0,0.0066
415.0,0.0064
416.0,0.0063
417.0,0.0061
418.0,0.0060
419.0,0.0060
420.0,0.0061
421.0,0.0063
422.0,0.0065
423.0,0.0067
424.0,0.0069
425.0,0.0072
426.0,0.0073
427.0,0.0076
428.0,0.0079
429.0,0.0083
430.0,0.0087
431.0,0.0092
432.0,0.0095
433.0,0.0099
434.0,0.0103
435.0,0.0108
436.0,0.0113
437.0,0.0118
438.0,0.0123
439.0,0.0129
440.0,0.0134
441.0,0.0139
442.0,0.0145
443.0,0.0152
444.0,0.0158
445.0,0.0164
446.0,0.0171
447.0,0.0178
448.0,0.0185
449.0,0.0192
450.0,0.0199
451.0,0.0207
452.0,0.0215
453.0,0.0222
454.0,0.0229
455.0,0.0238
456.0,0.0245
457.0,0.0252
458.0,0.0260
459.0,0.0268
460.0,0.0278
461.0,0.0285
462.0,0.0294
463.0,0.0302
464.0,0.0311
465.0,0.0319
466.0,0.0327
467.0,0.0335
468.0,0.0344
469.0,0.0352
470.0,0.0361
471.0,0.0369
472.0,0.0378
473.0,0.0386
474.0,0.0395
475.0,0.0404
476.0,0.0413
477.0,0.0422
478.0,0.0430
479.0,0.0439
480.0,0.0449
481.0,0.0458
482.0,0.0467
483.0,0.0477
484.0,0.0486
485.0,0.0495
486.0,0.0504
487.0,0.0513
488.0,0.0521
489.0,0.0529
490.0,0.0537
491.0,0.0545
492.0,0.0551
493.0,0.0557
494.0,0.0563
495.0,0.0569
496.0,0.0573
497.0,0.0577
498.0,0.0581
499.0,0.0585
500.0,0.0588
501.0,0.0591
502.0,0.0593
503.0,0.0596
504.0,0.0598
505.0,0.0598
506.0,0.0601
507.0,0.0602
508.0,0.0604
509.0,0.0606
510.0,0.0607
511.0,0.0609
512.0,0.0612
513.0,0.0614
514.0,0.0619
515.0,0.0623
516.0,0.0626
517.0,0.0632
518.0,0.0637
519.0,0.0644
520.0,0.0652
521.0,0.0661
522.0,0.0671
523.0,0.0680
524.0,0.0691
525.0,0.0704
526.0,0.0717
527.0,0.0731
528.0,0.0748
529.0,0.0765
530.0,0.0785
531.0,0.0804
532.0,0.0826
533.0,0.0849
534.0,0.0871
535.0,0.0899
536.0,0.0924
537.0,0.0952
538.0,0.0982
539.0,0.1012
540.0,0.1046
541.0,0.1081
542.0,0.1117
543.0,0.1154
544.0,0.1194
545.0,0.1235
546.0,0.1278
547.0,0.1324
548.0,0.1370
549.0,0.1418
550.0,0.1469
551.0,0.1524
552.0,0.1576
553.0,0.1632
554.0,0.1688
555.0,0.1744
556.0,0.1803
557.0,0.1861
558.0,0.1919
559.0,0.1978
560.0,0.2040
561.0,0.2097
562.0,0.2155
563.0,0.2219
564.0,0.2282
565.0,0.2345
566.0,0.2411
567.0,0.2477
568.0,0.2545
569.0,0.2617
570.0,0.2692
571.0,0.2771
572.0,0.2856
573.0,0.2943
574.0,0.3035
575.0,0.3132
576.0,0.3232
577.0,0.3338
578.0,0.3448
579.0,0.3564
580.0,0.3687
581.0,0.3811
582.0,0.3945
583.0,0.4081
584.0,0.4219
585.0,0.4367
586.0,0.4516
587.0,0.4672
588.0,0.4836
589.0,0.5005
590.0,0.5179
591.0,0.5362
592.0,0.5548
593.0,0.5739
594.0,0.5928
595.0,0.6127
596.0,0.6333
597.0,0.6536
598.0,0.6728
599.0,0.6928
600.0,0.7117
601.0,0.7309
602.0,0.7491
603.0,0.7658
604.0,0.7822
605.0,0.7972
606.0,0.8106
607.0,0.8232
608.0,0.8340
609.0,0.8432
610.0,0.8512
611.0,0.8573
612.0,0.8622
613.0,0.8659
614.0,0.8681
615.0,0.8694
616.0,0.8700
617.0,0.8695
618.0,0.8688
619.0,0.8677
620.0,0.8663
621.0,0.8654
622.0,0.8649
623.0,0.8646
624.0,0.8652
625.0,0.8668
626.0,0.8694
627.0,0.8732
628.0,0.8780
629.0,0.8843
630.0,0.8919
631.0,0.9005
632.0,0.9105
633.0,0.9222
634.0,0.9352
635.0,0.9501
636.0,0.9664
