Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova1_7725_30min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 14:19:02
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.1335
301.0,0.1248
302.0,0.1159
303.0,0.1079
304.0,0.1007
305.0,0.0946
306.0,0.0896
307.0,0.0851
308.0,0.0814
309.0,0.0785
310.0,0.0755
311.0,0.0736
312.0,0.0719
313.0,0.0705
314.0,0.0693
315.0,0.0683
316.0,0.0673
317.0,0.0662
318.0,0.0649
319.0,0.0636
320.0,0.0628
321.0,0.0616
322.0,0.0604
323.0,0.0590
324.0,0.0578
325.0,0.0560
326.0,0.0545
327.0,0.0526
328.0,0.0507
329.0,0.0486
330.0,0.0465
331.0,0.0441
332.0,0.0418
333.0,0.0395
334.0,0.0374
335.0,0.0351
336.0,0.0332
337.0,0.0312
338.0,0.0295
339.0,0.0281
340.0,0.0264
341.0,0.0255
342.0,0.0241
343.0,0.0231
344.0,0.0224
345.0,0.0215
346.0,0.0206
347.0,0.0199
348.0,0.0194
349.0,0.0187
350.0,0.0183
351.0,0.0176
352.0,0.0174
353.0,0.0168
354.0,0.0166
355.0,0.0162
356.0,0.0160
357.0,0.0156
358.0,0.0154
359.0,0.0150
360.0,0.0149
361.0,0.0147
362.0,0.0145
363.0,0.0143
364.0,0.0142
365.0,0.0141
366.0,0.0140
367.0,0.0138
368.0,0.0138
369.0,0.0137
370.0,0.0137
371.0,0.0135
372.0,0.0135
373.0,0.0131
374.0,0.0130
375.0,0.0131
376.0,0.0130
377.0,0.0130
378.0,0.0131
379.0,0.0130
380.0,0.0131
381.0,0.0129
382.0,0.0129
383.0,0.0128
384.0,0.0128
385.0,0.0127
386.0,0.0127
387.0,0.0126
388.0,0.0125
389.0,0.0123
390.0,0.0121
391.0,0.0120
392.0,0.0120
393.0,0.0118
394.0,0.0117
395.0,0.0116
396.0,0.0115
397.0,0.0113
398.0,0.0113
399.0,0.0111
400.0,0.0111
401.0,0.0111
402.0,0.0110
403.0,0.0110
404.0,0.0110
405.0,0.0110
406.0,0.0111
407.0,0.0111
408.0,0.0112
409.0,0.0111
410.0,0.0113
411.0,0.0112
412.0,0.0115
413.0,0.0115
414.0,0.0116
415.0,0.0119
416.0,0.0119
417.0,0.0121
418.0,0.0122
419.0,0.0123
420.0,0.0125
421.0,0.0127
422.0,0.0129
423.0,0.0131
424.0,0.0133
425.0,0.0134
426.0,0.0136
427.0,0.0138
428.0,0.0140
429.0,0.0142
430.0,0.0143
431.0,0.0147
432.0,0.0149
433.0,0.0152
434.0,0.0154
435.0,0.0156
436.0,0.0158
437.0,0.0161
438.0,0.0163
439.0,0.0166
440.0,0.0168
441.0,0.0168
442.0,0.0173
443.0,0.0174
444.0,0.0176
445.0,0.0179
446.0,0.0181
447.0,0.0184
448.0,0.0187
449.0,0.0190
450.0,0.0192
451.0,0.0195
452.0,0.0197
453.0,0.0199
454.0,0.0201
455.0,0.0205
456.0,0.0207
457.0,0.0209
458.0,0.0213
459.0,0.0215
460.0,0.0218
461.0,0.0221
462.0,0.0223
463.0,0.0226
464.0,0.0230
465.0,0.0233
466.0,0.0235
467.0,0.0238
468.0,0.0241
469.0,0.0244
470.0,0.0247
471.0,0.0250
472.0,0.0253
473.0,0.0255
474.0,0.0257
475.0,0.0261
476.0,0.0264
477.0,0.0266
478.0,0.0268
479.0,0.0271
480.0,0.0274
481.0,0.0276
482.0,0.0279
483.0,0.0282
484.0,0.0284
485.0,0.0286
486.0,0.0290
487.0,0.0293
488.0,0.0294
489.0,0.0296
490.0,0.0299
491.0,0.0302
492.0,0.0304
493.0,0.0307
494.0,0.0310
495.0,0.0313
496.0,0.0315
497.0,0.0316
498.0,0.0321
499.0,0.0323
500.0,0.0327
501.0,0.0330
502.0,0.0334
503.0,0.0337
504.0,0.0341
505.0,0.0344
506.0,0.0349
507.0,0.0352
508.0,0.0357
509.0,0.0362
510.0,0.0366
511.0,0.0370
512.0,0.0377
513.0,0.0381
514.0,0.0388
515.0,0.0394
516.0,0.0398
517.0,0.0405
518.0,0.0411
519.0,0.0418
520.0,0.0425
521.0,0.0433
522.0,0.0441
523.0,0.0448
524.0,0.0457
525.0,0.0466
526.0,0.0474
527.0,0.0484
528.0,0.0494
529.0,0.0504
530.0,0.0514
531.0,0.0526
532.0,0.0537
533.0,0.0549
534.0,0.0559
535.0,0.0573
536.0,0.0585
537.0,0.0598
538.0,0.0611
539.0,0.0625
540.0,0.0641
541.0,0.0655
542.0,0.0670
543.0,0.0686
544.0,0.0703
545.0,0.0718
546.0,0.0735
547.0,0.0754
548.0,0.0771
549.0,0.0790
550.0,0.0810
551.0,0.0831
552.0,0.0851
553.0,0.0871
554.0,0.0894
555.0,0.0915
556.0,0.0938
557.0,0.0960
558.0,0.0983
559.0,0.1007
560.0,0.1031
561.0,0.1054
562.0,0.1077
563.0,0.1103
564.0,0.1129
565.0,0.1153
566.0,0.1180
567.0,0.1206
568.0,0.1233
569.0,0.1259
570.0,0.1287
571.0,0.1315
572.0,0.1346
573.0,0.1375
574.0,0.1405
575.0,0.1436
576.0,0.1466
577.0,0.1497
578.0,0.1529
579.0,0.1561
580.0,0.1592
581.0,0.1623
582.0,0.1655
583.0,0.1687
584.0,0.1716
585.0,0.1746
586.0,0.1777
587.0,0.1808
588.0,0.1839
589.0,0.1870
590.0,0.1902
591.0,0.1932
592.0,0.1963
593.0,0.1994
594.0,0.2024
595.0,0.2056
596.0,0.2087
597.0,0.2118
598.0,0.2146
599.0,0.2177
600.0,0.2204
601.0,0.2234
602.0,0.2261
603.0,0.2287
604.0,0.2313
605.0,0.2339
606.0,0.2362
607.0,0.2387
608.0,0.2410
609.0,0.2433
610.0,0.2455
611.0,0.2476
612.0,0.2496
613.0,0.2517
614.0,0.2535
615.0,0.2553
616.0,0.2572
617.0,0.2588
618.0,0.2604
619.0,0.2619
620.0,0.2634
621.0,0.2646
622.0,0.2658
623.0,0.2668
624.0,0.2677
625.0,0.2686
626.0,0.2694
627.0,0.2702
628.0,0.2708
629.0,0.2712
630.0,0.2716
631.0,0.2719
632.0,0.2721
633.0,0.2720
634.0,0.2716
