Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bd_28825_-30
Sample ID
Option
Analyst
Date/Time:,28/08/2025 17:09:38
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0228
401.0,0.0217
402.0,0.0207
403.0,0.0197
404.0,0.0185
405.0,0.0173
406.0,0.0163
407.0,0.0154
408.0,0.0144
409.0,0.0135
410.0,0.0128
411.0,0.0120
412.0,0.0114
413.0,0.0109
414.0,0.0105
415.0,0.0102
416.0,0.0101
417.0,0.0100
418.0,0.0099
419.0,0.0100
420.0,0.0100
421.0,0.0101
422.0,0.0101
423.0,0.0105
424.0,0.0108
425.0,0.0110
426.0,0.0114
427.0,0.0116
428.0,0.0120
429.0,0.0124
430.0,0.0128
431.0,0.0132
432.0,0.0137
433.0,0.0142
434.0,0.0146
435.0,0.0152
436.0,0.0157
437.0,0.0163
438.0,0.0167
439.0,0.0174
440.0,0.0180
441.0,0.0186
442.0,0.0194
443.0,0.0199
444.0,0.0206
445.0,0.0214
446.0,0.0221
447.0,0.0228
448.0,0.0235
449.0,0.0244
450.0,0.0252
451.0,0.0259
452.0,0.0266
453.0,0.0276
454.0,0.0284
455.0,0.0293
456.0,0.0301
457.0,0.0310
458.0,0.0319
459.0,0.0328
460.0,0.0337
461.0,0.0346
462.0,0.0355
463.0,0.0364
464.0,0.0373
465.0,0.0381
466.0,0.0391
467.0,0.0400
468.0,0.0409
469.0,0.0418
470.0,0.0427
471.0,0.0436
472.0,0.0446
473.0,0.0455
474.0,0.0464
475.0,0.0474
476.0,0.0483
477.0,0.0493
478.0,0.0503
479.0,0.0513
480.0,0.0523
481.0,0.0534
482.0,0.0544
483.0,0.0554
484.0,0.0565
485.0,0.0575
486.0,0.0584
487.0,0.0594
488.0,0.0603
489.0,0.0612
490.0,0.0622
491.0,0.0631
492.0,0.0637
493.0,0.0644
494.0,0.0651
495.0,0.0657
496.0,0.0662
497.0,0.0668
498.0,0.0672
499.0,0.0676
500.0,0.0679
501.0,0.0683
502.0,0.0686
503.0,0.0688
504.0,0.0690
505.0,0.0693
506.0,0.0695
507.0,0.0697
508.0,0.0699
509.0,0.0701
510.0,0.0704
511.0,0.0707
512.0,0.0711
513.0,0.0713
514.0,0.0718
515.0,0.0722
516.0,0.0728
517.0,0.0734
518.0,0.0741
519.0,0.0750
520.0,0.0758
521.0,0.0768
522.0,0.0780
523.0,0.0792
524.0,0.0804
525.0,0.0819
526.0,0.0835
527.0,0.0851
528.0,0.0871
529.0,0.0889
530.0,0.0911
531.0,0.0933
532.0,0.0958
533.0,0.0983
534.0,0.1010
535.0,0.1041
536.0,0.1071
537.0,0.1103
538.0,0.1138
539.0,0.1173
540.0,0.1209
541.0,0.1249
542.0,0.1290
543.0,0.1332
544.0,0.1378
545.0,0.1424
546.0,0.1472
547.0,0.1525
548.0,0.1577
549.0,0.1633
550.0,0.1691
551.0,0.1751
552.0,0.1811
553.0,0.1871
554.0,0.1936
555.0,0.1999
556.0,0.2065
557.0,0.2130
558.0,0.2196
559.0,0.2263
560.0,0.2331
561.0,0.2396
562.0,0.2462
563.0,0.2533
564.0,0.2602
565.0,0.2673
566.0,0.2745
567.0,0.2819
568.0,0.2895
569.0,0.2976
570.0,0.3062
571.0,0.3150
572.0,0.3246
573.0,0.3344
574.0,0.3447
575.0,0.3556
576.0,0.3670
577.0,0.3787
578.0,0.3913
579.0,0.4046
580.0,0.4185
581.0,0.4326
582.0,0.4478
583.0,0.4633
584.0,0.4787
585.0,0.4955
586.0,0.5125
587.0,0.5307
588.0,0.5495
589.0,0.5688
590.0,0.5883
591.0,0.6090
592.0,0.6302
593.0,0.6522
594.0,0.6742
595.0,0.6965
596.0,0.7201
597.0,0.7429
598.0,0.7649
599.0,0.7875
600.0,0.8090
601.0,0.8309
602.0,0.8514
603.0,0.8702
604.0,0.8887
605.0,0.9051
606.0,0.9197
607.0,0.9334
608.0,0.9452
609.0,0.9549
610.0,0.9630
611.0,0.9690
612.0,0.9732
613.0,0.9760
614.0,0.9772
615.0,0.9774
616.0,0.9761
617.0,0.9743
618.0,0.9717
619.0,0.9688
620.0,0.9659
621.0,0.9631
622.0,0.9606
623.0,0.9590
624.0,0.9581
625.0,0.9583
626.0,0.9597
627.0,0.9622
628.0,0.9663
629.0,0.9717
630.0,0.9788
631.0,0.9873
632.0,0.9973
633.0,1.0092
634.0,1.0222
635.0,1.0378
636.0,1.0543
637.0,1.0721
638.0,1.0924
639.0,1.1139
640.0,1.1363
641.0,1.1607
642.0,1.1862
643.0,1.2118
644.0,1.2389
645.0,1.2657
646.0,1.2921
647.0,1.3204
648.0,1.3475
649.0,1.3737
650.0,1.3996
651.0,1.4252
652.0,1.4492
