Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bd_28825_45min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 16:58:16
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0039
401.0,0.0037
402.0,0.0036
403.0,0.0037
404.0,0.0035
405.0,0.0034
406.0,0.0034
407.0,0.0034
408.0,0.0034
409.0,0.0033
410.0,0.0034
411.0,0.0034
412.0,0.0033
413.0,0.0033
414.0,0.0033
415.0,0.0032
416.0,0.0032
417.0,0.0032
418.0,0.0032
419.0,0.0032
420.0,0.0031
421.0,0.0031
422.0,0.0031
423.0,0.0030
424.0,0.0030
425.0,0.0031
426.0,0.0031
427.0,0.0030
428.0,0.0031
429.0,0.0030
430.0,0.0031
431.0,0.0030
432.0,0.0030
433.0,0.0030
434.0,0.0030
435.0,0.0030
436.0,0.0030
437.0,0.0030
438.0,0.0030
439.0,0.0030
440.0,0.0030
441.0,0.0030
442.0,0.0031
443.0,0.0030
444.0,0.0030
445.0,0.0030
446.0,0.0031
447.0,0.0030
448.0,0.0030
449.0,0.0030
450.0,0.0031
451.0,0.0029
452.0,0.0029
453.0,0.0031
454.0,0.0030
455.0,0.0030
456.0,0.0030
457.0,0.0030
458.0,0.0030
459.0,0.0029
460.0,0.0030
461.0,0.0030
462.0,0.0030
463.0,0.0030
464.0,0.0030
465.0,0.0030
466.0,0.0029
467.0,0.0030
468.0,0.0030
469.0,0.0030
470.0,0.0030
471.0,0.0030
472.0,0.0030
473.0,0.0029
474.0,0.0030
475.0,0.0030
476.0,0.0029
477.0,0.0029
478.0,0.0029
479.0,0.0030
480.0,0.0031
481.0,0.0029
482.0,0.0029
483.0,0.0030
484.0,0.0029
485.0,0.0030
486.0,0.0029
487.0,0.0030
488.0,0.0029
489.0,0.0029
490.0,0.0028
491.0,0.0029
492.0,0.0030
493.0,0.0029
494.0,0.0029
495.0,0.0029
496.0,0.0029
497.0,0.0029
498.0,0.0028
499.0,0.0028
500.0,0.0028
501.0,0.0028
502.0,0.0028
503.0,0.0028
504.0,0.0028
505.0,0.0028
506.0,0.0028
507.0,0.0027
508.0,0.0027
509.0,0.0027
510.0,0.0028
511.0,0.0027
512.0,0.0028
513.0,0.0028
514.0,0.0028
515.0,0.0027
516.0,0.0028
517.0,0.0027
518.0,0.0028
519.0,0.0029
520.0,0.0027
521.0,0.0028
522.0,0.0028
523.0,0.0029
524.0,0.0029
525.0,0.0029
526.0,0.0029
527.0,0.0029
528.0,0.0029
529.0,0.0030
530.0,0.0031
531.0,0.0031
532.0,0.0031
533.0,0.0031
534.0,0.0032
535.0,0.0033
536.0,0.0033
537.0,0.0035
538.0,0.0035
539.0,0.0036
540.0,0.0036
541.0,0.0037
542.0,0.0037
543.0,0.0038
544.0,0.0039
545.0,0.0039
546.0,0.0041
547.0,0.0041
548.0,0.0042
549.0,0.0043
550.0,0.0044
551.0,0.0045
552.0,0.0046
553.0,0.0048
554.0,0.0048
555.0,0.0050
556.0,0.0051
557.0,0.0052
558.0,0.0053
559.0,0.0055
560.0,0.0056
561.0,0.0057
562.0,0.0058
563.0,0.0060
564.0,0.0061
565.0,0.0062
566.0,0.0064
567.0,0.0065
568.0,0.0066
569.0,0.0066
570.0,0.0069
571.0,0.0070
572.0,0.0072
573.0,0.0074
574.0,0.0074
575.0,0.0077
576.0,0.0078
577.0,0.0080
578.0,0.0082
579.0,0.0084
580.0,0.0086
581.0,0.0088
582.0,0.0090
583.0,0.0092
584.0,0.0094
585.0,0.0096
586.0,0.0098
587.0,0.0101
588.0,0.0103
589.0,0.0105
590.0,0.0107
591.0,0.0110
592.0,0.0112
593.0,0.0115
594.0,0.0118
595.0,0.0120
596.0,0.0123
597.0,0.0126
598.0,0.0128
599.0,0.0130
600.0,0.0133
601.0,0.0136
602.0,0.0139
603.0,0.0141
604.0,0.0144
605.0,0.0146
606.0,0.0147
607.0,0.0149
608.0,0.0151
609.0,0.0153
610.0,0.0154
611.0,0.0156
612.0,0.0157
613.0,0.0159
614.0,0.0158
615.0,0.0160
616.0,0.0161
617.0,0.0161
618.0,0.0162
619.0,0.0162
620.0,0.0163
621.0,0.0163
622.0,0.0163
623.0,0.0164
624.0,0.0165
625.0,0.0165
626.0,0.0166
627.0,0.0165
628.0,0.0166
629.0,0.0167
630.0,0.0168
631.0,0.0170
632.0,0.0170
633.0,0.0171
634.0,0.0171
635.0,0.0175
636.0,0.0175
637.0,0.0176
638.0,0.0179
639.0,0.0180
640.0,0.0182
641.0,0.0184
642.0,0.0186
643.0,0.0188
644.0,0.0190
645.0,0.0192
646.0,0.0194
647.0,0.0196
648.0,0.0199
649.0,0.0201
650.0,0.0202
651.0,0.0204
652.0,0.0206
653.0,0.0208
654.0,0.0209
655.0,0.0210
656.0,0.0211
657.0,0.0212
658.0,0.0213
659.0,0.0213
660.0,0.0214
661.0,0.0214
662.0,0.0213
663.0,0.0212
664.0,0.0211
665.0,0.0208
666.0,0.0207
667.0,0.0204
668.0,0.0199
669.0,0.0195
670.0,0.0191
671.0,0.0184
672.0,0.0177
673.0,0.0171
674.0,0.0162
675.0,0.0154
676.0,0.0147
677.0,0.0138
678.0,0.0128
679.0,0.0119
680.0,0.0111
681.0,0.0102
682.0,0.0093
683.0,0.0085
684.0,0.0077
685.0,0.0071
686.0,0.0064
687.0,0.0058
688.0,0.0052
689.0,0.0048
690.0,0.0043
691.0,0.0038
692.0,0.0035
693.0,0.0030
694.0,0.0028
695.0,0.0025
696.0,0.0022
697.0,0.0020
698.0,0.0017
699.0,0.0016
700.0,0.0014
701.0,0.0013
702.0,0.0011
703.0,0.0010
704.0,0.0009
705.0,0.0008
706.0,0.0006
707.0,0.0005
708.0,0.0004
709.0,0.0003
710.0,0.0004
711.0,0.0003
712.0,0.0003
713.0,0.0001
714.0,0.0001
715.0,-0.0000
716.0,-0.0000
717.0,-0.0002
718.0,-0.0000
719.0,-0.0001
720.0,-0.0002
721.0,-0.0002
722.0,-0.0002
