Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_cd_28825_0min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 15:54:47
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0065
401.0,0.0061
402.0,0.0058
403.0,0.0053
404.0,0.0050
405.0,0.0045
406.0,0.0041
407.0,0.0039
408.0,0.0035
409.0,0.0032
410.0,0.0029
411.0,0.0028
412.0,0.0025
413.0,0.0024
414.0,0.0023
415.0,0.0021
416.0,0.0022
417.0,0.0021
418.0,0.0021
419.0,0.0021
420.0,0.0021
421.0,0.0022
422.0,0.0022
423.0,0.0024
424.0,0.0025
425.0,0.0026
426.0,0.0027
427.0,0.0029
428.0,0.0030
429.0,0.0031
430.0,0.0033
431.0,0.0035
432.0,0.0037
433.0,0.0039
434.0,0.0040
435.0,0.0043
436.0,0.0045
437.0,0.0046
438.0,0.0049
439.0,0.0052
440.0,0.0053
441.0,0.0056
442.0,0.0058
443.0,0.0061
444.0,0.0063
445.0,0.0066
446.0,0.0070
447.0,0.0071
448.0,0.0075
449.0,0.0078
450.0,0.0081
451.0,0.0084
452.0,0.0087
453.0,0.0090
454.0,0.0093
455.0,0.0097
456.0,0.0100
457.0,0.0104
458.0,0.0106
459.0,0.0109
460.0,0.0114
461.0,0.0117
462.0,0.0120
463.0,0.0123
464.0,0.0127
465.0,0.0130
466.0,0.0133
467.0,0.0137
468.0,0.0141
469.0,0.0143
470.0,0.0148
471.0,0.0151
472.0,0.0154
473.0,0.0157
474.0,0.0161
475.0,0.0164
476.0,0.0167
477.0,0.0172
478.0,0.0176
479.0,0.0179
480.0,0.0183
481.0,0.0187
482.0,0.0190
483.0,0.0194
484.0,0.0198
485.0,0.0202
486.0,0.0204
487.0,0.0209
488.0,0.0212
489.0,0.0216
490.0,0.0218
491.0,0.0222
492.0,0.0225
493.0,0.0227
494.0,0.0229
495.0,0.0231
496.0,0.0233
497.0,0.0235
498.0,0.0237
499.0,0.0237
500.0,0.0239
501.0,0.0241
502.0,0.0243
503.0,0.0243
