Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_d_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 18:34:43
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0090
401.0,0.0084
402.0,0.0079
403.0,0.0075
404.0,0.0070
405.0,0.0064
406.0,0.0059
407.0,0.0055
408.0,0.0050
409.0,0.0047
410.0,0.0043
411.0,0.0041
412.0,0.0037
413.0,0.0035
414.0,0.0033
415.0,0.0032
416.0,0.0032
417.0,0.0031
418.0,0.0030
419.0,0.0030
420.0,0.0031
421.0,0.0032
422.0,0.0032
423.0,0.0033
424.0,0.0034
425.0,0.0035
426.0,0.0036
427.0,0.0038
428.0,0.0040
429.0,0.0042
430.0,0.0044
431.0,0.0046
432.0,0.0047
433.0,0.0050
434.0,0.0052
435.0,0.0054
436.0,0.0056
437.0,0.0059
438.0,0.0062
439.0,0.0064
440.0,0.0067
441.0,0.0069
442.0,0.0073
443.0,0.0075
444.0,0.0079
445.0,0.0082
446.0,0.0086
447.0,0.0088
448.0,0.0092
449.0,0.0096
450.0,0.0100
451.0,0.0104
452.0,0.0106
453.0,0.0111
454.0,0.0114
455.0,0.0118
456.0,0.0122
457.0,0.0127
458.0,0.0130
459.0,0.0135
460.0,0.0139
461.0,0.0143
462.0,0.0146
463.0,0.0151
464.0,0.0155
465.0,0.0159
466.0,0.0162
467.0,0.0167
468.0,0.0171
469.0,0.0175
470.0,0.0179
471.0,0.0182
472.0,0.0187
473.0,0.0190
474.0,0.0196
475.0,0.0200
476.0,0.0204
477.0,0.0207
478.0,0.0213
479.0,0.0217
480.0,0.0221
481.0,0.0226
482.0,0.0230
483.0,0.0235
484.0,0.0239
485.0,0.0244
486.0,0.0247
487.0,0.0252
488.0,0.0256
489.0,0.0260
490.0,0.0263
491.0,0.0268
492.0,0.0272
493.0,0.0274
494.0,0.0276
495.0,0.0278
496.0,0.0281
497.0,0.0284
498.0,0.0285
499.0,0.0286
500.0,0.0288
501.0,0.0289
502.0,0.0291
503.0,0.0291
504.0,0.0291
505.0,0.0293
506.0,0.0292
507.0,0.0293
508.0,0.0294
509.0,0.0295
510.0,0.0296
511.0,0.0296
512.0,0.0297
513.0,0.0298
514.0,0.0300
515.0,0.0301
516.0,0.0304
517.0,0.0307
518.0,0.0310
519.0,0.0312
520.0,0.0316
521.0,0.0320
522.0,0.0324
523.0,0.0330
524.0,0.0334
525.0,0.0340
526.0,0.0346
527.0,0.0353
528.0,0.0361
529.0,0.0369
530.0,0.0378
531.0,0.0388
532.0,0.0397
533.0,0.0408
534.0,0.0420
535.0,0.0432
536.0,0.0444
537.0,0.0460
538.0,0.0474
539.0,0.0489
540.0,0.0504
541.0,0.0521
542.0,0.0538
543.0,0.0557
544.0,0.0576
545.0,0.0595
546.0,0.0616
547.0,0.0638
548.0,0.0660
549.0,0.0684
550.0,0.0709
551.0,0.0734
552.0,0.0761
553.0,0.0786
554.0,0.0814
555.0,0.0841
556.0,0.0870
557.0,0.0898
558.0,0.0926
559.0,0.0956
560.0,0.0986
561.0,0.1014
562.0,0.1043
563.0,0.1074
564.0,0.1104
565.0,0.1136
566.0,0.1167
567.0,0.1200
568.0,0.1233
569.0,0.1268
570.0,0.1305
571.0,0.1343
572.0,0.1385
573.0,0.1427
574.0,0.1471
575.0,0.1518
576.0,0.1567
577.0,0.1617
578.0,0.1670
579.0,0.1727
580.0,0.1785
581.0,0.1844
582.0,0.1908
583.0,0.1972
584.0,0.2036
585.0,0.2107
586.0,0.2178
587.0,0.2254
588.0,0.2331
589.0,0.2410
590.0,0.2489
591.0,0.2575
592.0,0.2663
593.0,0.2752
594.0,0.2842
595.0,0.2934
596.0,0.3030
597.0,0.3123
598.0,0.3213
599.0,0.3308
600.0,0.3399
601.0,0.3490
602.0,0.3576
603.0,0.3657
604.0,0.3737
605.0,0.3808
606.0,0.3877
607.0,0.3941
608.0,0.3997
609.0,0.4047
610.0,0.4092
611.0,0.4128
612.0,0.4157
613.0,0.4184
614.0,0.4204
615.0,0.4220
616.0,0.4232
617.0,0.4240
618.0,0.4247
619.0,0.4253
620.0,0.4259
621.0,0.4265
622.0,0.4273
623.0,0.4285
624.0,0.4300
625.0,0.4320
626.0,0.4343
627.0,0.4372
628.0,0.4406
629.0,0.4447
630.0,0.4495
631.0,0.4548
632.0,0.4607
633.0,0.4674
634.0,0.4746
635.0,0.4828
636.0,0.4915
637.0,0.5009
638.0,0.5113
639.0,0.5221
640.0,0.5332
641.0,0.5452
642.0,0.5575
643.0,0.5699
644.0,0.5831
645.0,0.5963
646.0,0.6091
647.0,0.6224
648.0,0.6354
649.0,0.6478
650.0,0.6602
651.0,0.6723
652.0,0.6837
653.0,0.6953
654.0,0.7058
655.0,0.7156
656.0,0.7255
657.0,0.7348
658.0,0.7432
659.0,0.7513
660.0,0.7582
661.0,0.7641
662.0,0.7684
663.0,0.7710
664.0,0.7716
665.0,0.7697
666.0,0.7652
667.0,0.7580
668.0,0.7475
669.0,0.7338
670.0,0.7172
671.0,0.6976
672.0,0.6751
673.0,0.6499
674.0,0.6214
675.0,0.5911
676.0,0.5601
677.0,0.5275
678.0,0.4946
679.0,0.4600
680.0,0.4258
681.0,0.3929
682.0,0.3607
683.0,0.3298
684.0,0.3011
685.0,0.2737
686.0,0.2484
687.0,0.2246
688.0,0.2026
689.0,0.1832
690.0,0.1653
691.0,0.1488
692.0,0.1342
693.0,0.1204
694.0,0.1086
695.0,0.0978
696.0,0.0876
697.0,0.0788
698.0,0.0712
699.0,0.0641
700.0,0.0577
701.0,0.0523
702.0,0.0469
703.0,0.0424
704.0,0.0384
705.0,0.0347
706.0,0.0314
707.0,0.0286
708.0,0.0259
709.0,0.0237
710.0,0.0217
711.0,0.0197
712.0,0.0181
713.0,0.0166
714.0,0.0154
715.0,0.0141
716.0,0.0132
717.0,0.0121
718.0,0.0113
719.0,0.0104
720.0,0.0097
721.0,0.0090
722.0,0.0084
723.0,0.0079
724.0,0.0074
725.0,0.0069
726.0,0.0065
727.0,0.0060
728.0,0.0056
729.0,0.0054
730.0,0.0051
731.0,0.0047
732.0,0.0044
733.0,0.0042
734.0,0.0039
735.0,0.0037
736.0,0.0035
737.0,0.0032
738.0,0.0032
739.0,0.0031
740.0,0.0027
741.0,0.0027
742.0,0.0026
743.0,0.0023
744.0,0.0023
745.0,0.0022
746.0,0.0020
747.0,0.0020
748.0,0.0019
749.0,0.0016
750.0,0.0017
751.0,0.0017
752.0,0.0016
753.0,0.0014
754.0,0.0014
755.0,0.0014
756.0,0.0013
757.0,0.0011
758.0,0.0012
759.0,0.0011
760.0,0.0010
761.0,0.0010
762.0,0.0008
763.0,0.0007
764.0,0.0007
765.0,0.0008
766.0,0.0007
767.0,0.0006
768.0,0.0006
769.0,0.0005
770.0,0.0005
771.0,0.0006
772.0,0.0006
773.0,0.0005
774.0,0.0005
775.0,0.0006
776.0,0.0004
777.0,0.0004
778.0,0.0003
779.0,0.0005
780.0,0.0004
781.0,0.0003
782.0,0.0003
783.0,0.0004
784.0,0.0002
785.0,0.0002
786.0,0.0003
787.0,0.0001
788.0,0.0002
789.0,0.0002
790.0,0.0001
791.0,0.0000
792.0,0.0000
793.0,-0.0000
794.0,0.0002
795.0,0.0001
796.0,0.0000
797.0,0.0000
798.0,0.0000
799.0,0.0001
800.0,0.0001
