Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_d_28825_10min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 18:31:47
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0059
401.0,0.0057
402.0,0.0057
403.0,0.0056
404.0,0.0055
405.0,0.0054
406.0,0.0053
407.0,0.0053
408.0,0.0052
409.0,0.0052
410.0,0.0050
411.0,0.0051
412.0,0.0051
413.0,0.0052
414.0,0.0052
415.0,0.0052
416.0,0.0054
417.0,0.0053
418.0,0.0055
419.0,0.0056
420.0,0.0056
421.0,0.0057
422.0,0.0058
423.0,0.0060
424.0,0.0061
425.0,0.0063
426.0,0.0063
427.0,0.0064
428.0,0.0067
429.0,0.0068
430.0,0.0070
431.0,0.0071
432.0,0.0072
433.0,0.0074
434.0,0.0075
435.0,0.0077
436.0,0.0079
437.0,0.0080
438.0,0.0082
439.0,0.0084
440.0,0.0085
441.0,0.0086
442.0,0.0088
443.0,0.0089
444.0,0.0091
445.0,0.0092
446.0,0.0095
447.0,0.0096
448.0,0.0098
449.0,0.0099
450.0,0.0101
451.0,0.0103
452.0,0.0103
453.0,0.0106
454.0,0.0107
455.0,0.0109
456.0,0.0111
457.0,0.0113
458.0,0.0115
459.0,0.0116
460.0,0.0118
461.0,0.0120
462.0,0.0121
463.0,0.0123
464.0,0.0125
465.0,0.0126
466.0,0.0127
467.0,0.0130
468.0,0.0131
469.0,0.0132
470.0,0.0135
471.0,0.0135
472.0,0.0137
473.0,0.0139
474.0,0.0141
475.0,0.0142
476.0,0.0143
477.0,0.0145
478.0,0.0147
479.0,0.0149
480.0,0.0151
481.0,0.0152
482.0,0.0154
483.0,0.0155
484.0,0.0157
485.0,0.0158
486.0,0.0160
487.0,0.0162
488.0,0.0163
489.0,0.0165
490.0,0.0166
491.0,0.0168
492.0,0.0170
493.0,0.0172
494.0,0.0173
495.0,0.0173
496.0,0.0175
497.0,0.0176
498.0,0.0178
499.0,0.0178
500.0,0.0180
501.0,0.0182
502.0,0.0184
503.0,0.0184
504.0,0.0186
505.0,0.0187
506.0,0.0188
507.0,0.0189
508.0,0.0191
509.0,0.0193
510.0,0.0194
511.0,0.0196
512.0,0.0198
513.0,0.0200
514.0,0.0203
515.0,0.0205
516.0,0.0207
517.0,0.0210
518.0,0.0213
519.0,0.0215
520.0,0.0218
521.0,0.0222
522.0,0.0224
523.0,0.0229
524.0,0.0234
525.0,0.0237
526.0,0.0241
527.0,0.0244
528.0,0.0249
529.0,0.0255
530.0,0.0260
531.0,0.0265
532.0,0.0270
533.0,0.0277
534.0,0.0283
535.0,0.0290
