Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,12ppmMB
Sample ID
Option
Analyst
Date/Time:,07/07/2025 11:39:28
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.8556
301.0,0.7887
302.0,0.7223
303.0,0.6607
304.0,0.6023
305.0,0.5489
306.0,0.5004
307.0,0.4582
308.0,0.4226
309.0,0.3918
310.0,0.3663
311.0,0.3460
312.0,0.3298
313.0,0.3164
314.0,0.3058
315.0,0.2965
316.0,0.2885
317.0,0.2816
318.0,0.2754
319.0,0.2698
320.0,0.2649
321.0,0.2602
322.0,0.2564
323.0,0.2530
324.0,0.2497
325.0,0.2460
326.0,0.2422
327.0,0.2371
328.0,0.2313
329.0,0.2238
330.0,0.2149
331.0,0.2045
332.0,0.1939
333.0,0.1818
334.0,0.1697
335.0,0.1568
336.0,0.1444
337.0,0.1327
338.0,0.1216
339.0,0.1112
340.0,0.1018
341.0,0.0938
342.0,0.0861
343.0,0.0794
344.0,0.0738
345.0,0.0687
346.0,0.0641
347.0,0.0602
348.0,0.0567
349.0,0.0533
350.0,0.0506
351.0,0.0478
352.0,0.0454
353.0,0.0431
354.0,0.0409
355.0,0.0387
356.0,0.0369
357.0,0.0349
358.0,0.0333
359.0,0.0317
360.0,0.0304
361.0,0.0291
362.0,0.0281
363.0,0.0272
364.0,0.0264
365.0,0.0257
366.0,0.0252
367.0,0.0249
368.0,0.0247
369.0,0.0246
370.0,0.0245
371.0,0.0244
372.0,0.0244
373.0,0.0244
374.0,0.0247
375.0,0.0248
376.0,0.0250
377.0,0.0252
378.0,0.0255
379.0,0.0258
380.0,0.0261
381.0,0.0264
382.0,0.0269
383.0,0.0273
384.0,0.0278
385.0,0.0283
386.0,0.0290
387.0,0.0295
388.0,0.0301
389.0,0.0304
390.0,0.0309
391.0,0.0314
392.0,0.0316
393.0,0.0317
394.0,0.0316
395.0,0.0314
396.0,0.0310
397.0,0.0303
398.0,0.0295
399.0,0.0286
400.0,0.0275
401.0,0.0263
402.0,0.0249
403.0,0.0237
404.0,0.0221
405.0,0.0207
406.0,0.0193
407.0,0.0180
408.0,0.0167
409.0,0.0155
410.0,0.0145
411.0,0.0135
412.0,0.0128
413.0,0.0121
414.0,0.0115
415.0,0.0113
416.0,0.0110
417.0,0.0110
418.0,0.0109
419.0,0.0109
420.0,0.0110
421.0,0.0112
422.0,0.0114
423.0,0.0117
424.0,0.0120
425.0,0.0125
426.0,0.0128
427.0,0.0134
428.0,0.0138
429.0,0.0144
430.0,0.0149
431.0,0.0156
432.0,0.0162
433.0,0.0168
434.0,0.0175
435.0,0.0182
436.0,0.0190
437.0,0.0197
438.0,0.0205
439.0,0.0214
440.0,0.0221
441.0,0.0229
442.0,0.0239
443.0,0.0248
444.0,0.0257
445.0,0.0267
446.0,0.0277
447.0,0.0287
448.0,0.0298
449.0,0.0309
450.0,0.0320
451.0,0.0330
452.0,0.0342
453.0,0.0353
454.0,0.0364
455.0,0.0375
456.0,0.0387
457.0,0.0398
458.0,0.0410
459.0,0.0423
460.0,0.0436
461.0,0.0448
462.0,0.0460
463.0,0.0472
464.0,0.0485
465.0,0.0498
466.0,0.0509
467.0,0.0521
468.0,0.0534
469.0,0.0547
470.0,0.0559
471.0,0.0571
472.0,0.0585
473.0,0.0596
474.0,0.0610
475.0,0.0622
476.0,0.0636
477.0,0.0650
478.0,0.0663
479.0,0.0676
480.0,0.0691
481.0,0.0705
482.0,0.0718
483.0,0.0733
484.0,0.0747
485.0,0.0761
486.0,0.0775
487.0,0.0788
488.0,0.0801
489.0,0.0812
490.0,0.0825
491.0,0.0835
492.0,0.0846
493.0,0.0855
494.0,0.0865
495.0,0.0873
496.0,0.0881
497.0,0.0887
498.0,0.0894
499.0,0.0900
500.0,0.0906
501.0,0.0910
502.0,0.0915
503.0,0.0918
504.0,0.0923
505.0,0.0926
506.0,0.0929
507.0,0.0931
508.0,0.0936
509.0,0.0939
510.0,0.0943
511.0,0.0946
512.0,0.0952
513.0,0.0957
514.0,0.0964
515.0,0.0972
516.0,0.0979
517.0,0.0987
518.0,0.0997
519.0,0.1008
520.0,0.1022
521.0,0.1036
522.0,0.1052
523.0,0.1067
524.0,0.1086
525.0,0.1106
526.0,0.1127
527.0,0.1151
528.0,0.1177
529.0,0.1204
530.0,0.1234
531.0,0.1264
532.0,0.1298
533.0,0.1334
534.0,0.1370
535.0,0.1412
536.0,0.1453
537.0,0.1498
538.0,0.1544
539.0,0.1592
540.0,0.1643
541.0,0.1697
542.0,0.1755
543.0,0.1811
544.0,0.1872
545.0,0.1935
546.0,0.2002
547.0,0.2073
548.0,0.2145
549.0,0.2221
550.0,0.2300
551.0,0.2384
552.0,0.2466
553.0,0.2548
554.0,0.2634
555.0,0.2722
556.0,0.2811
557.0,0.2902
558.0,0.2991
559.0,0.3080
560.0,0.3173
561.0,0.3262
562.0,0.3350
563.0,0.3447
564.0,0.3542
565.0,0.3639
566.0,0.3740
567.0,0.3840
568.0,0.3944
569.0,0.4054
570.0,0.4170
571.0,0.4289
572.0,0.4421
573.0,0.4556
574.0,0.4696
