Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,16ppm MB
Sample ID
Option
Analyst
Date/Time:,07/07/2025 11:17:57
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.1448
301.0,1.0575
302.0,0.9713
303.0,0.8895
304.0,0.8118
305.0,0.7418
306.0,0.6765
307.0,0.6202
308.0,0.5729
309.0,0.5326
310.0,0.4982
311.0,0.4712
312.0,0.4489
313.0,0.4308
314.0,0.4157
315.0,0.4033
316.0,0.3925
317.0,0.3828
318.0,0.3742
319.0,0.3665
320.0,0.3598
321.0,0.3535
322.0,0.3481
323.0,0.3432
324.0,0.3385
325.0,0.3336
326.0,0.3282
327.0,0.3213
328.0,0.3134
329.0,0.3033
330.0,0.2915
331.0,0.2776
332.0,0.2634
333.0,0.2477
334.0,0.2313
335.0,0.2144
336.0,0.1976
337.0,0.1818
338.0,0.1669
339.0,0.1527
340.0,0.1401
341.0,0.1290
342.0,0.1192
343.0,0.1099
344.0,0.1022
345.0,0.0949
346.0,0.0887
347.0,0.0832
348.0,0.0785
349.0,0.0738
350.0,0.0701
351.0,0.0664
352.0,0.0630
353.0,0.0598
354.0,0.0568
355.0,0.0540
356.0,0.0514
357.0,0.0488
358.0,0.0465
359.0,0.0445
360.0,0.0427
361.0,0.0411
362.0,0.0394
363.0,0.0381
364.0,0.0371
365.0,0.0362
366.0,0.0355
367.0,0.0350
368.0,0.0346
369.0,0.0345
370.0,0.0344
371.0,0.0343
372.0,0.0342
373.0,0.0343
374.0,0.0345
375.0,0.0348
376.0,0.0349
377.0,0.0354
378.0,0.0357
379.0,0.0360
380.0,0.0365
381.0,0.0369
382.0,0.0375
383.0,0.0381
384.0,0.0387
385.0,0.0394
386.0,0.0403
387.0,0.0411
388.0,0.0418
389.0,0.0424
390.0,0.0430
391.0,0.0436
392.0,0.0440
393.0,0.0442
394.0,0.0439
395.0,0.0437
396.0,0.0434
397.0,0.0426
398.0,0.0415
399.0,0.0403
400.0,0.0389
401.0,0.0372
