Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova2_7725_-60min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 16:04:48
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.5667
301.0,0.5224
302.0,0.4782
303.0,0.4372
304.0,0.3978
305.0,0.3630
306.0,0.3309
307.0,0.3028
308.0,0.2794
309.0,0.2592
310.0,0.2425
311.0,0.2295
312.0,0.2191
313.0,0.2106
314.0,0.2038
315.0,0.1984
316.0,0.1933
317.0,0.1890
318.0,0.1850
319.0,0.1814
320.0,0.1786
321.0,0.1758
322.0,0.1736
323.0,0.1714
324.0,0.1694
325.0,0.1673
326.0,0.1648
327.0,0.1617
328.0,0.1578
329.0,0.1528
330.0,0.1471
331.0,0.1401
332.0,0.1328
333.0,0.1248
334.0,0.1166
335.0,0.1083
336.0,0.1000
337.0,0.0920
338.0,0.0847
339.0,0.0779
340.0,0.0718
341.0,0.0665
342.0,0.0615
343.0,0.0572
344.0,0.0536
345.0,0.0502
346.0,0.0471
347.0,0.0446
348.0,0.0423
349.0,0.0400
350.0,0.0382
351.0,0.0364
352.0,0.0349
353.0,0.0332
354.0,0.0319
355.0,0.0305
356.0,0.0293
357.0,0.0280
358.0,0.0268
359.0,0.0258
360.0,0.0249
361.0,0.0241
362.0,0.0234
363.0,0.0226
364.0,0.0222
365.0,0.0217
366.0,0.0214
367.0,0.0211
368.0,0.0210
369.0,0.0209
370.0,0.0208
371.0,0.0209
372.0,0.0207
373.0,0.0204
374.0,0.0206
375.0,0.0206
376.0,0.0207
377.0,0.0208
378.0,0.0211
379.0,0.0211
380.0,0.0214
381.0,0.0214
382.0,0.0217
383.0,0.0219
384.0,0.0223
385.0,0.0226
386.0,0.0230
387.0,0.0233
388.0,0.0236
389.0,0.0239
390.0,0.0241
391.0,0.0243
392.0,0.0245
393.0,0.0245
394.0,0.0244
395.0,0.0241
396.0,0.0239
397.0,0.0233
398.0,0.0228
399.0,0.0220
400.0,0.0212
401.0,0.0204
402.0,0.0194
403.0,0.0186
404.0,0.0175
405.0,0.0166
406.0,0.0156
407.0,0.0146
408.0,0.0139
409.0,0.0130
410.0,0.0122
411.0,0.0116
412.0,0.0111
413.0,0.0106
414.0,0.0102
415.0,0.0100
416.0,0.0098
417.0,0.0096
418.0,0.0096
419.0,0.0095
420.0,0.0096
421.0,0.0096
422.0,0.0099
423.0,0.0100
424.0,0.0102
425.0,0.0105
426.0,0.0107
427.0,0.0110
428.0,0.0113
429.0,0.0116
430.0,0.0119
431.0,0.0123
432.0,0.0126
433.0,0.0131
434.0,0.0135
