Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova2_7725_60min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 15:48:12
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.0195
301.0,0.0190
302.0,0.0185
303.0,0.0177
304.0,0.0171
305.0,0.0173
306.0,0.0171
307.0,0.0164
308.0,0.0165
309.0,0.0156
310.0,0.0152
311.0,0.0152
312.0,0.0151
313.0,0.0151
314.0,0.0148
315.0,0.0150
316.0,0.0148
317.0,0.0144
318.0,0.0145
319.0,0.0142
320.0,0.0145
321.0,0.0142
322.0,0.0143
323.0,0.0142
324.0,0.0141
325.0,0.0140
326.0,0.0138
327.0,0.0138
328.0,0.0137
329.0,0.0133
330.0,0.0134
331.0,0.0131
332.0,0.0131
333.0,0.0129
334.0,0.0127
335.0,0.0124
336.0,0.0122
337.0,0.0120
338.0,0.0118
339.0,0.0116
340.0,0.0114
341.0,0.0114
342.0,0.0111
343.0,0.0109
344.0,0.0109
345.0,0.0107
346.0,0.0106
347.0,0.0102
348.0,0.0103
349.0,0.0101
350.0,0.0099
351.0,0.0097
352.0,0.0099
353.0,0.0097
354.0,0.0096
355.0,0.0095
356.0,0.0095
357.0,0.0092
358.0,0.0092
359.0,0.0093
360.0,0.0091
361.0,0.0090
362.0,0.0089
363.0,0.0087
364.0,0.0087
365.0,0.0085
366.0,0.0085
367.0,0.0084
368.0,0.0085
369.0,0.0083
370.0,0.0082
371.0,0.0081
372.0,0.0080
373.0,0.0078
374.0,0.0077
375.0,0.0076
376.0,0.0075
377.0,0.0074
378.0,0.0075
379.0,0.0073
380.0,0.0074
381.0,0.0072
382.0,0.0072
383.0,0.0071
384.0,0.0071
385.0,0.0069
386.0,0.0069
387.0,0.0070
388.0,0.0069
389.0,0.0066
390.0,0.0066
391.0,0.0066
392.0,0.0065
393.0,0.0064
394.0,0.0063
395.0,0.0063
396.0,0.0063
397.0,0.0062
398.0,0.0061
399.0,0.0060
400.0,0.0059
401.0,0.0060
402.0,0.0059
403.0,0.0059
404.0,0.0057
405.0,0.0057
406.0,0.0056
407.0,0.0056
408.0,0.0056
409.0,0.0055
410.0,0.0054
411.0,0.0053
412.0,0.0053
413.0,0.0053
414.0,0.0052
415.0,0.0052
416.0,0.0051
417.0,0.0051
418.0,0.0050
419.0,0.0048
420.0,0.0049
421.0,0.0049
422.0,0.0048
423.0,0.0048
424.0,0.0048
425.0,0.0047
426.0,0.0046
427.0,0.0046
428.0,0.0046
429.0,0.0046
430.0,0.0045
431.0,0.0046
432.0,0.0045
433.0,0.0045
434.0,0.0045
