Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova4_8725_30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 09:39:44
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0037
401.0,0.0038
402.0,0.0037
403.0,0.0036
404.0,0.0036
405.0,0.0035
406.0,0.0037
407.0,0.0035
408.0,0.0035
409.0,0.0034
410.0,0.0035
411.0,0.0033
412.0,0.0034
413.0,0.0033
414.0,0.0034
415.0,0.0032
416.0,0.0032
417.0,0.0033
418.0,0.0035
419.0,0.0033
420.0,0.0030
421.0,0.0030
422.0,0.0031
423.0,0.0031
424.0,0.0030
425.0,0.0031
426.0,0.0031
427.0,0.0030
428.0,0.0030
429.0,0.0029
430.0,0.0029
431.0,0.0029
432.0,0.0029
433.0,0.0029
434.0,0.0029
435.0,0.0029
436.0,0.0029
437.0,0.0029
438.0,0.0028
439.0,0.0027
440.0,0.0028
441.0,0.0028
442.0,0.0030
443.0,0.0027
444.0,0.0027
445.0,0.0028
446.0,0.0027
447.0,0.0027
448.0,0.0026
449.0,0.0027
450.0,0.0026
451.0,0.0026
452.0,0.0026
453.0,0.0025
454.0,0.0025
455.0,0.0026
456.0,0.0026
457.0,0.0025
458.0,0.0025
459.0,0.0025
460.0,0.0026
461.0,0.0025
462.0,0.0026
463.0,0.0025
464.0,0.0024
465.0,0.0025
466.0,0.0023
467.0,0.0024
468.0,0.0024
469.0,0.0026
470.0,0.0025
471.0,0.0023
472.0,0.0024
473.0,0.0028
474.0,0.0022
475.0,0.0024
476.0,0.0024
477.0,0.0023
478.0,0.0024
479.0,0.0023
480.0,0.0024
481.0,0.0022
482.0,0.0023
483.0,0.0023
484.0,0.0023
485.0,0.0024
486.0,0.0021
487.0,0.0021
488.0,0.0022
489.0,0.0022
490.0,0.0021
491.0,0.0021
492.0,0.0022
493.0,0.0022
494.0,0.0020
495.0,0.0020
496.0,0.0018
497.0,0.0020
498.0,0.0018
499.0,0.0021
500.0,0.0020
501.0,0.0020
502.0,0.0019
503.0,0.0020
504.0,0.0021
505.0,0.0020
506.0,0.0021
507.0,0.0021
508.0,0.0020
509.0,0.0020
510.0,0.0020
511.0,0.0019
512.0,0.0019
513.0,0.0020
514.0,0.0020
515.0,0.0019
516.0,0.0020
517.0,0.0019
518.0,0.0020
519.0,0.0020
520.0,0.0020
521.0,0.0019
522.0,0.0019
523.0,0.0020
524.0,0.0020
525.0,0.0020
526.0,0.0020
527.0,0.0021
528.0,0.0021
529.0,0.0020
530.0,0.0020
531.0,0.0020
532.0,0.0021
533.0,0.0021
534.0,0.0020
535.0,0.0020
536.0,0.0021
537.0,0.0021
538.0,0.0021
539.0,0.0020
540.0,0.0021
541.0,0.0022
542.0,0.0022
543.0,0.0022
544.0,0.0023
545.0,0.0022
546.0,0.0023
547.0,0.0023
548.0,0.0024
549.0,0.0024
550.0,0.0024
551.0,0.0025
552.0,0.0025
553.0,0.0026
554.0,0.0026
555.0,0.0027
556.0,0.0027
557.0,0.0029
