Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova3_7725_-30min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 17:55:31
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.5906
301.0,0.5445
302.0,0.4985
303.0,0.4556
304.0,0.4149
305.0,0.3785
306.0,0.3444
307.0,0.3150
308.0,0.2902
309.0,0.2693
310.0,0.2517
311.0,0.2379
312.0,0.2269
313.0,0.2179
314.0,0.2104
315.0,0.2048
316.0,0.1993
317.0,0.1949
318.0,0.1906
319.0,0.1868
320.0,0.1839
321.0,0.1808
322.0,0.1783
323.0,0.1761
324.0,0.1739
325.0,0.1716
326.0,0.1690
327.0,0.1658
328.0,0.1618
329.0,0.1566
330.0,0.1505
331.0,0.1434
332.0,0.1359
333.0,0.1277
334.0,0.1191
335.0,0.1105
336.0,0.1019
337.0,0.0936
338.0,0.0862
339.0,0.0789
340.0,0.0724
341.0,0.0671
342.0,0.0619
343.0,0.0574
344.0,0.0537
345.0,0.0501
346.0,0.0468
347.0,0.0442
348.0,0.0417
349.0,0.0395
350.0,0.0376
351.0,0.0357
352.0,0.0341
353.0,0.0323
354.0,0.0309
355.0,0.0294
356.0,0.0282
357.0,0.0268
358.0,0.0257
359.0,0.0246
360.0,0.0237
361.0,0.0227
362.0,0.0221
363.0,0.0213
364.0,0.0208
365.0,0.0203
366.0,0.0199
367.0,0.0196
368.0,0.0195
369.0,0.0194
370.0,0.0194
371.0,0.0193
372.0,0.0193
373.0,0.0190
374.0,0.0191
375.0,0.0192
376.0,0.0193
377.0,0.0194
378.0,0.0196
379.0,0.0197
380.0,0.0199
381.0,0.0200
382.0,0.0204
383.0,0.0205
384.0,0.0210
385.0,0.0212
386.0,0.0217
387.0,0.0221
388.0,0.0223
389.0,0.0226
390.0,0.0227
391.0,0.0231
392.0,0.0232
393.0,0.0232
394.0,0.0230
395.0,0.0229
396.0,0.0225
397.0,0.0220
398.0,0.0214
399.0,0.0207
400.0,0.0199
401.0,0.0190
402.0,0.0180
403.0,0.0172
404.0,0.0161
405.0,0.0151
406.0,0.0141
407.0,0.0131
408.0,0.0122
409.0,0.0115
410.0,0.0106
411.0,0.0100
412.0,0.0094
413.0,0.0090
414.0,0.0086
415.0,0.0083
416.0,0.0081
417.0,0.0079
418.0,0.0078
419.0,0.0078
420.0,0.0079
421.0,0.0080
422.0,0.0081
423.0,0.0083
424.0,0.0085
425.0,0.0088
426.0,0.0090
427.0,0.0092
428.0,0.0096
429.0,0.0099
430.0,0.0102
431.0,0.0108
432.0,0.0111
433.0,0.0115
434.0,0.0120
435.0,0.0124
436.0,0.0128
437.0,0.0133
438.0,0.0138
439.0,0.0145
440.0,0.0150
441.0,0.0153
442.0,0.0161
443.0,0.0166
444.0,0.0173
445.0,0.0180
446.0,0.0186
447.0,0.0193
448.0,0.0199
449.0,0.0207
450.0,0.0214
451.0,0.0222
452.0,0.0230
453.0,0.0237
454.0,0.0244
455.0,0.0253
456.0,0.0259
457.0,0.0268
458.0,0.0276
459.0,0.0284
460.0,0.0293
461.0,0.0301
462.0,0.0308
463.0,0.0317
464.0,0.0325
465.0,0.0335
466.0,0.0342
467.0,0.0350
468.0,0.0359
469.0,0.0368
470.0,0.0375
471.0,0.0384
