Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova3_7725_45min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 17:38:45
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.1595
301.0,0.1496
302.0,0.1400
303.0,0.1316
304.0,0.1240
305.0,0.1176
306.0,0.1123
307.0,0.1070
308.0,0.1036
309.0,0.1001
310.0,0.0971
311.0,0.0950
312.0,0.0934
313.0,0.0920
314.0,0.0902
315.0,0.0891
316.0,0.0877
317.0,0.0865
318.0,0.0852
319.0,0.0838
320.0,0.0827
321.0,0.0810
322.0,0.0794
323.0,0.0777
324.0,0.0760
325.0,0.0740
326.0,0.0720
327.0,0.0697
328.0,0.0675
329.0,0.0651
330.0,0.0625
331.0,0.0599
332.0,0.0573
333.0,0.0548
334.0,0.0522
335.0,0.0498
336.0,0.0475
337.0,0.0452
338.0,0.0433
339.0,0.0413
340.0,0.0397
341.0,0.0384
342.0,0.0369
343.0,0.0357
344.0,0.0346
345.0,0.0335
346.0,0.0324
347.0,0.0316
348.0,0.0308
349.0,0.0301
350.0,0.0294
351.0,0.0286
352.0,0.0281
353.0,0.0277
354.0,0.0271
355.0,0.0266
356.0,0.0263
357.0,0.0258
358.0,0.0254
359.0,0.0251
360.0,0.0246
361.0,0.0244
362.0,0.0241
363.0,0.0237
364.0,0.0236
365.0,0.0233
366.0,0.0232
367.0,0.0230
368.0,0.0228
369.0,0.0226
370.0,0.0225
371.0,0.0223
372.0,0.0222
373.0,0.0217
374.0,0.0216
375.0,0.0215
376.0,0.0214
377.0,0.0213
378.0,0.0212
379.0,0.0212
380.0,0.0210
381.0,0.0208
382.0,0.0207
383.0,0.0206
384.0,0.0205
385.0,0.0203
386.0,0.0203
387.0,0.0202
388.0,0.0200
389.0,0.0196
390.0,0.0195
391.0,0.0194
392.0,0.0192
393.0,0.0191
394.0,0.0188
395.0,0.0188
396.0,0.0186
397.0,0.0183
398.0,0.0183
399.0,0.0181
400.0,0.0180
401.0,0.0180
402.0,0.0178
403.0,0.0179
404.0,0.0178
405.0,0.0179
406.0,0.0179
407.0,0.0179
408.0,0.0179
409.0,0.0180
410.0,0.0180
411.0,0.0180
412.0,0.0182
413.0,0.0182
414.0,0.0184
415.0,0.0186
416.0,0.0186
417.0,0.0187
418.0,0.0188
419.0,0.0189
420.0,0.0190
421.0,0.0193
422.0,0.0195
423.0,0.0197
424.0,0.0199
425.0,0.0200
426.0,0.0202
427.0,0.0204
428.0,0.0206
429.0,0.0208
430.0,0.0210
431.0,0.0213
432.0,0.0214
433.0,0.0217
434.0,0.0219
435.0,0.0221
436.0,0.0224
437.0,0.0226
438.0,0.0229
439.0,0.0232
440.0,0.0235
441.0,0.0235
442.0,0.0238
443.0,0.0241
444.0,0.0243
445.0,0.0246
446.0,0.0248
447.0,0.0253
448.0,0.0255
449.0,0.0257
450.0,0.0260
451.0,0.0264
452.0,0.0266
453.0,0.0269
454.0,0.0271
455.0,0.0275
456.0,0.0277
457.0,0.0280
458.0,0.0283
459.0,0.0286
460.0,0.0290
461.0,0.0292
462.0,0.0295
463.0,0.0300
464.0,0.0304
465.0,0.0307
466.0,0.0310
467.0,0.0313
468.0,0.0317
469.0,0.0320
470.0,0.0324
471.0,0.0327
472.0,0.0331
473.0,0.0333
474.0,0.0337
475.0,0.0340
476.0,0.0343
477.0,0.0347
478.0,0.0349
479.0,0.0353
480.0,0.0357
481.0,0.0358
482.0,0.0361
483.0,0.0365
484.0,0.0367
485.0,0.0371
486.0,0.0375
487.0,0.0378
488.0,0.0380
489.0,0.0384
490.0,0.0386
491.0,0.0390
492.0,0.0392
493.0,0.0395
494.0,0.0399
495.0,0.0403
496.0,0.0405
497.0,0.0408
498.0,0.0412
499.0,0.0415
500.0,0.0420
501.0,0.0425
502.0,0.0429
503.0,0.0433
504.0,0.0437
505.0,0.0441
506.0,0.0447
507.0,0.0451
508.0,0.0457
509.0,0.0462
510.0,0.0468
511.0,0.0473
512.0,0.0481
513.0,0.0487
514.0,0.0493
515.0,0.0501
516.0,0.0507
517.0,0.0514
518.0,0.0522
519.0,0.0529
520.0,0.0539
521.0,0.0547
522.0,0.0557
523.0,0.0566
524.0,0.0576
525.0,0.0587
526.0,0.0596
527.0,0.0607
528.0,0.0619
529.0,0.0631
530.0,0.0643
531.0,0.0655
532.0,0.0669
533.0,0.0683
534.0,0.0695
535.0,0.0711
536.0,0.0725
537.0,0.0740
538.0,0.0755
539.0,0.0771
540.0,0.0789
541.0,0.0806
542.0,0.0824
543.0,0.0841
544.0,0.0860
545.0,0.0878
546.0,0.0898
547.0,0.0919
548.0,0.0940
549.0,0.0961
550.0,0.0984
551.0,0.1009
552.0,0.1031
553.0,0.1054
554.0,0.1080
555.0,0.1105
556.0,0.1132
557.0,0.1157
558.0,0.1184
