"","StdOrder","RunOrder","Material","Scale","Estimated","Hardness"
"1",15,1,3,"HV50",NA,NA
"2",19,2,4,"HV30",NA,NA
"3",18,3,4,"HV20",NA,NA
"4",12,4,3,"HV10",NA,NA
"5",1,5,1,"HV5",NA,NA
"6",28,6,6,"HV20",NA,NA
"7",5,7,1,"HV50",NA,NA
"8",6,8,2,"HV5",NA,NA
"9",10,9,2,"HV50",NA,NA
"10",25,10,5,"HV50",NA,NA
"11",8,11,2,"HV20",NA,NA
"12",17,12,4,"HV10",NA,NA
"13",4,13,1,"HV30",NA,NA
"14",3,14,1,"HV20",NA,NA
"15",14,15,3,"HV30",NA,NA
"16",7,16,2,"HV10",NA,NA
"17",26,17,6,"HV5",NA,NA
"18",30,18,6,"HV50",NA,NA
"19",16,19,4,"HV5",NA,NA
"20",23,20,5,"HV20",NA,NA
"21",9,21,2,"HV30",NA,NA
"22",22,22,5,"HV10",NA,NA
"23",11,23,3,"HV5",NA,NA
"24",29,24,6,"HV30",NA,NA
"25",20,25,4,"HV50",NA,NA
"26",2,26,1,"HV10",NA,NA
"27",27,27,6,"HV10",NA,NA
"28",13,28,3,"HV20",NA,NA
"29",21,29,5,"HV5",NA,NA
"30",24,30,5,"HV30",NA,NA
