Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,4ppmMB
Sample ID
Option
Analyst
Date/Time:,28/08/2025 11:03:10
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0073
401.0,0.0068
402.0,0.0065
403.0,0.0061
404.0,0.0055
405.0,0.0051
406.0,0.0047
407.0,0.0043
408.0,0.0039
409.0,0.0036
410.0,0.0032
411.0,0.0030
412.0,0.0027
413.0,0.0026
414.0,0.0024
415.0,0.0023
416.0,0.0023
417.0,0.0022
418.0,0.0022
419.0,0.0022
420.0,0.0022
421.0,0.0023
422.0,0.0023
423.0,0.0024
424.0,0.0026
425.0,0.0027
426.0,0.0028
427.0,0.0029
428.0,0.0031
429.0,0.0032
430.0,0.0034
431.0,0.0034
432.0,0.0037
433.0,0.0039
434.0,0.0041
435.0,0.0043
436.0,0.0046
437.0,0.0047
438.0,0.0050
439.0,0.0053
440.0,0.0055
441.0,0.0056
442.0,0.0060
443.0,0.0062
444.0,0.0064
445.0,0.0068
446.0,0.0071
447.0,0.0073
448.0,0.0077
449.0,0.0079
450.0,0.0084
451.0,0.0086
452.0,0.0088
453.0,0.0093
454.0,0.0096
455.0,0.0100
456.0,0.0102
457.0,0.0107
458.0,0.0110
459.0,0.0113
460.0,0.0117
461.0,0.0120
462.0,0.0124
463.0,0.0128
