Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_(1)_28825_10min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 14:07:33
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0062
401.0,0.0059
402.0,0.0055
403.0,0.0052
404.0,0.0047
405.0,0.0042
406.0,0.0038
407.0,0.0035
408.0,0.0031
409.0,0.0027
410.0,0.0024
411.0,0.0022
412.0,0.0020
413.0,0.0018
414.0,0.0017
415.0,0.0016
416.0,0.0015
417.0,0.0014
418.0,0.0014
419.0,0.0015
420.0,0.0015
421.0,0.0016
422.0,0.0015
423.0,0.0017
424.0,0.0018
425.0,0.0019
426.0,0.0020
427.0,0.0021
428.0,0.0023
429.0,0.0024
430.0,0.0026
431.0,0.0027
432.0,0.0029
433.0,0.0031
434.0,0.0033
435.0,0.0035
436.0,0.0037
437.0,0.0039
438.0,0.0041
439.0,0.0044
440.0,0.0046
441.0,0.0048
442.0,0.0052
443.0,0.0052
444.0,0.0056
445.0,0.0059
446.0,0.0062
447.0,0.0064
448.0,0.0067
449.0,0.0071
450.0,0.0074
451.0,0.0076
452.0,0.0079
453.0,0.0083
454.0,0.0086
455.0,0.0090
456.0,0.0093
457.0,0.0097
458.0,0.0099
459.0,0.0102
460.0,0.0106
461.0,0.0110
462.0,0.0113
463.0,0.0117
464.0,0.0120
465.0,0.0123
466.0,0.0128
467.0,0.0130
468.0,0.0134
469.0,0.0137
470.0,0.0141
471.0,0.0144
472.0,0.0147
473.0,0.0150
474.0,0.0154
475.0,0.0158
476.0,0.0161
477.0,0.0165
478.0,0.0169
479.0,0.0173
480.0,0.0177
481.0,0.0180
482.0,0.0184
483.0,0.0188
484.0,0.0192
485.0,0.0195
486.0,0.0199
487.0,0.0203
488.0,0.0206
489.0,0.0210
490.0,0.0213
491.0,0.0217
492.0,0.0219
493.0,0.0221
494.0,0.0223
495.0,0.0225
496.0,0.0227
497.0,0.0229
498.0,0.0231
499.0,0.0231
500.0,0.0233
501.0,0.0234
502.0,0.0235
503.0,0.0236
504.0,0.0235
505.0,0.0237
506.0,0.0237
507.0,0.0238
508.0,0.0238
509.0,0.0238
510.0,0.0239
511.0,0.0240
512.0,0.0241
513.0,0.0240
514.0,0.0242
515.0,0.0244
516.0,0.0245
517.0,0.0248
518.0,0.0250
519.0,0.0252
520.0,0.0255
521.0,0.0258
522.0,0.0262
523.0,0.0266
524.0,0.0270
525.0,0.0276
526.0,0.0280
527.0,0.0285
528.0,0.0292
529.0,0.0298
530.0,0.0307
531.0,0.0313
532.0,0.0322
533.0,0.0330
534.0,0.0341
535.0,0.0350
536.0,0.0361
537.0,0.0374
538.0,0.0385
539.0,0.0398
540.0,0.0411
541.0,0.0425
542.0,0.0438
543.0,0.0454
544.0,0.0470
545.0,0.0485
546.0,0.0503
547.0,0.0522
548.0,0.0539
549.0,0.0559
550.0,0.0580
551.0,0.0601
552.0,0.0622
553.0,0.0644
554.0,0.0667
555.0,0.0690
556.0,0.0713
557.0,0.0737
558.0,0.0760
559.0,0.0785
560.0,0.0809
561.0,0.0832
562.0,0.0857
563.0,0.0883
564.0,0.0908
565.0,0.0933
566.0,0.0959
567.0,0.0987
568.0,0.1013
569.0,0.1042
570.0,0.1073
571.0,0.1105
572.0,0.1139
573.0,0.1173
574.0,0.1209
575.0,0.1248
576.0,0.1287
577.0,0.1328
578.0,0.1373
579.0,0.1419
580.0,0.1468
581.0,0.1516
582.0,0.1567
583.0,0.1621
584.0,0.1673
585.0,0.1732
586.0,0.1790
587.0,0.1852
588.0,0.1916
589.0,0.1981
590.0,0.2046
591.0,0.2117
592.0,0.2190
593.0,0.2265
594.0,0.2338
595.0,0.2413
596.0,0.2494
597.0,0.2571
598.0,0.2645
599.0,0.2724
600.0,0.2800
601.0,0.2876
602.0,0.2949
603.0,0.3016
604.0,0.3083
605.0,0.3144
606.0,0.3201
607.0,0.3256
608.0,0.3305
609.0,0.3347
610.0,0.3385
611.0,0.3416
612.0,0.3442
613.0,0.3466
614.0,0.3482
615.0,0.3497
616.0,0.3509
617.0,0.3517
618.0,0.3524
619.0,0.3531
620.0,0.3536
621.0,0.3544
622.0,0.3552
623.0,0.3564
624.0,0.3578
625.0,0.3595
626.0,0.3618
627.0,0.3643
628.0,0.3673
629.0,0.3709
630.0,0.3751
631.0,0.3798
632.0,0.3850
633.0,0.3908
634.0,0.3971
635.0,0.4042
636.0,0.4119
637.0,0.4200
638.0,0.4290
639.0,0.4385
640.0,0.4483
641.0,0.4585
642.0,0.4692
643.0,0.4800
644.0,0.4916
645.0,0.5029
646.0,0.5141
647.0,0.5258
648.0,0.5371
649.0,0.5479
650.0,0.5587
651.0,0.5694
652.0,0.5794
653.0,0.5894
654.0,0.5987
655.0,0.6075
656.0,0.6161
657.0,0.6243
658.0,0.6318
659.0,0.6391
660.0,0.6454
661.0,0.6508
662.0,0.6549
663.0,0.6574
664.0,0.6582
665.0,0.6568
666.0,0.6532
667.0,0.6474
668.0,0.6386
669.0,0.6271
670.0,0.6129
671.0,0.5963
672.0,0.5770
673.0,0.5557
674.0,0.5313
675.0,0.5054
676.0,0.4786
677.0,0.4506
678.0,0.4224
679.0,0.3928
680.0,0.3634
681.0,0.3352
682.0,0.3077
683.0,0.2812
684.0,0.2568
685.0,0.2330
686.0,0.2115
687.0,0.1913
688.0,0.1724
689.0,0.1558
690.0,0.1405
691.0,0.1262
692.0,0.1137
693.0,0.1021
694.0,0.0919
695.0,0.0827
696.0,0.0741
697.0,0.0664
698.0,0.0600
699.0,0.0539
700.0,0.0485
701.0,0.0439
702.0,0.0393
703.0,0.0355
704.0,0.0320
705.0,0.0288
706.0,0.0260
707.0,0.0237
708.0,0.0214
709.0,0.0194
710.0,0.0178
711.0,0.0162
712.0,0.0149
713.0,0.0135
714.0,0.0125
715.0,0.0115
716.0,0.0107
717.0,0.0097
718.0,0.0091
719.0,0.0084
720.0,0.0077
721.0,0.0072
722.0,0.0067
723.0,0.0062
724.0,0.0059
725.0,0.0055
726.0,0.0050
727.0,0.0047
728.0,0.0043
729.0,0.0040
730.0,0.0037
731.0,0.0034
732.0,0.0034
733.0,0.0031
734.0,0.0029
735.0,0.0028
736.0,0.0026
737.0,0.0023
738.0,0.0023
739.0,0.0020
740.0,0.0019
741.0,0.0018
742.0,0.0019
743.0,0.0016
744.0,0.0017
745.0,0.0015
746.0,0.0015
747.0,0.0013
748.0,0.0013
749.0,0.0011
750.0,0.0011
751.0,0.0010
752.0,0.0011
753.0,0.0010
754.0,0.0008
755.0,0.0009
756.0,0.0010
757.0,0.0008
758.0,0.0009
759.0,0.0007
760.0,0.0008
761.0,0.0006
762.0,0.0005
763.0,0.0005
764.0,0.0005
765.0,0.0005
766.0,0.0004
767.0,0.0003
768.0,0.0004
