Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_(1)_28825_20min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 14:06:05
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0055
401.0,0.0055
402.0,0.0054
403.0,0.0054
404.0,0.0052
405.0,0.0051
406.0,0.0051
407.0,0.0051
408.0,0.0051
409.0,0.0051
410.0,0.0051
411.0,0.0051
412.0,0.0052
413.0,0.0053
414.0,0.0052
415.0,0.0053
416.0,0.0055
417.0,0.0055
418.0,0.0056
419.0,0.0056
420.0,0.0058
421.0,0.0059
422.0,0.0059
423.0,0.0062
424.0,0.0062
425.0,0.0064
426.0,0.0065
427.0,0.0067
428.0,0.0069
429.0,0.0069
430.0,0.0071
431.0,0.0073
432.0,0.0074
433.0,0.0077
434.0,0.0078
435.0,0.0079
436.0,0.0080
437.0,0.0081
438.0,0.0084
439.0,0.0086
440.0,0.0087
441.0,0.0088
442.0,0.0090
443.0,0.0091
444.0,0.0093
445.0,0.0095
446.0,0.0096
447.0,0.0097
448.0,0.0099
449.0,0.0101
450.0,0.0102
451.0,0.0104
452.0,0.0105
453.0,0.0107
454.0,0.0109
455.0,0.0110
456.0,0.0112
457.0,0.0114
458.0,0.0116
459.0,0.0117
460.0,0.0119
461.0,0.0120
462.0,0.0121
463.0,0.0123
464.0,0.0126
465.0,0.0126
466.0,0.0128
467.0,0.0129
468.0,0.0132
469.0,0.0133
470.0,0.0134
471.0,0.0135
472.0,0.0137
473.0,0.0138
474.0,0.0140
475.0,0.0142
476.0,0.0142
477.0,0.0145
478.0,0.0146
479.0,0.0148
480.0,0.0150
481.0,0.0150
482.0,0.0152
483.0,0.0154
484.0,0.0155
485.0,0.0157
486.0,0.0158
487.0,0.0160
488.0,0.0161
489.0,0.0163
490.0,0.0164
491.0,0.0166
492.0,0.0168
493.0,0.0169
494.0,0.0170
495.0,0.0171
496.0,0.0172
497.0,0.0174
498.0,0.0176
499.0,0.0176
500.0,0.0178
501.0,0.0180
502.0,0.0181
503.0,0.0182
504.0,0.0184
505.0,0.0186
506.0,0.0187
507.0,0.0189
508.0,0.0190
509.0,0.0192
510.0,0.0196
511.0,0.0197
512.0,0.0198
513.0,0.0201
514.0,0.0203
515.0,0.0205
516.0,0.0207
517.0,0.0211
518.0,0.0214
519.0,0.0217
520.0,0.0220
521.0,0.0224
522.0,0.0227
523.0,0.0230
524.0,0.0235
525.0,0.0240
526.0,0.0244
527.0,0.0248
528.0,0.0252
529.0,0.0258
530.0,0.0264
531.0,0.0269
532.0,0.0276
533.0,0.0281
534.0,0.0288
535.0,0.0295
536.0,0.0300
537.0,0.0309
538.0,0.0316
539.0,0.0324
540.0,0.0331
541.0,0.0340
542.0,0.0348
543.0,0.0357
544.0,0.0366
545.0,0.0374
546.0,0.0385
547.0,0.0394
548.0,0.0405
549.0,0.0415
550.0,0.0426
551.0,0.0437
552.0,0.0449
553.0,0.0460
554.0,0.0472
555.0,0.0483
556.0,0.0496
557.0,0.0509
558.0,0.0521
559.0,0.0534
560.0,0.0548
561.0,0.0560
562.0,0.0574
563.0,0.0588
564.0,0.0600
565.0,0.0615
566.0,0.0629
567.0,0.0643
568.0,0.0658
569.0,0.0673
570.0,0.0689
571.0,0.0706
572.0,0.0724
573.0,0.0742
574.0,0.0760
575.0,0.0780
576.0,0.0798
577.0,0.0818
578.0,0.0839
579.0,0.0861
580.0,0.0882
581.0,0.0903
582.0,0.0926
583.0,0.0948
584.0,0.0970
585.0,0.0994
586.0,0.1016
587.0,0.1043
588.0,0.1067
589.0,0.1091
590.0,0.1114
591.0,0.1141
592.0,0.1167
593.0,0.1193
594.0,0.1219
595.0,0.1244
596.0,0.1271
597.0,0.1296
598.0,0.1320
599.0,0.1346
600.0,0.1370
601.0,0.1394
602.0,0.1416
603.0,0.1438
604.0,0.1459
605.0,0.1478
606.0,0.1497
607.0,0.1516
608.0,0.1533
609.0,0.1549
610.0,0.1564
611.0,0.1578
612.0,0.1591
613.0,0.1604
614.0,0.1615
615.0,0.1626
616.0,0.1637
617.0,0.1646
618.0,0.1657
619.0,0.1668
620.0,0.1677
