Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova7_8725_20min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 15:48:19
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0049
401.0,0.0048
402.0,0.0048
403.0,0.0049
404.0,0.0050
405.0,0.0050
406.0,0.0052
407.0,0.0052
408.0,0.0052
409.0,0.0051
410.0,0.0053
411.0,0.0053
412.0,0.0054
413.0,0.0054
414.0,0.0056
415.0,0.0057
416.0,0.0058
417.0,0.0058
418.0,0.0060
419.0,0.0061
420.0,0.0062
421.0,0.0062
422.0,0.0066
423.0,0.0065
424.0,0.0067
425.0,0.0068
426.0,0.0070
427.0,0.0071
428.0,0.0072
429.0,0.0073
430.0,0.0075
431.0,0.0076
432.0,0.0076
433.0,0.0078
434.0,0.0081
435.0,0.0081
436.0,0.0082
437.0,0.0084
438.0,0.0085
439.0,0.0086
440.0,0.0086
441.0,0.0089
442.0,0.0091
443.0,0.0091
444.0,0.0092
445.0,0.0093
446.0,0.0095
447.0,0.0096
448.0,0.0096
449.0,0.0098
450.0,0.0099
451.0,0.0100
452.0,0.0101
453.0,0.0102
454.0,0.0103
455.0,0.0103
456.0,0.0105
457.0,0.0105
458.0,0.0108
459.0,0.0108
460.0,0.0110
461.0,0.0111
462.0,0.0112
463.0,0.0111
464.0,0.0113
465.0,0.0114
466.0,0.0114
467.0,0.0115
468.0,0.0116
469.0,0.0117
470.0,0.0119
471.0,0.0118
472.0,0.0120
473.0,0.0121
474.0,0.0121
475.0,0.0122
476.0,0.0123
477.0,0.0124
478.0,0.0125
479.0,0.0126
480.0,0.0125
481.0,0.0127
482.0,0.0128
483.0,0.0129
484.0,0.0129
485.0,0.0130
486.0,0.0131
487.0,0.0133
488.0,0.0134
489.0,0.0134
490.0,0.0135
491.0,0.0136
492.0,0.0138
493.0,0.0138
494.0,0.0139
495.0,0.0140
496.0,0.0141
497.0,0.0142
498.0,0.0144
499.0,0.0143
500.0,0.0145
501.0,0.0147
502.0,0.0147
503.0,0.0149
504.0,0.0151
505.0,0.0153
506.0,0.0154
507.0,0.0156
508.0,0.0157
509.0,0.0158
510.0,0.0160
511.0,0.0162
512.0,0.0163
513.0,0.0166
514.0,0.0168
515.0,0.0170
516.0,0.0172
517.0,0.0174
518.0,0.0177
519.0,0.0179
520.0,0.0183
521.0,0.0183
522.0,0.0187
523.0,0.0190
524.0,0.0192
525.0,0.0195
526.0,0.0199
