Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ab_27825_20min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 16:01:58
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0142
401.0,0.0140
402.0,0.0137
403.0,0.0135
404.0,0.0132
405.0,0.0131
406.0,0.0129
407.0,0.0126
408.0,0.0125
409.0,0.0124
410.0,0.0123
411.0,0.0123
412.0,0.0124
413.0,0.0124
414.0,0.0123
415.0,0.0126
416.0,0.0126
417.0,0.0128
418.0,0.0129
419.0,0.0132
420.0,0.0133
421.0,0.0136
422.0,0.0138
423.0,0.0140
424.0,0.0143
425.0,0.0146
426.0,0.0148
427.0,0.0152
428.0,0.0155
429.0,0.0157
430.0,0.0160
431.0,0.0163
432.0,0.0167
433.0,0.0169
434.0,0.0172
435.0,0.0176
436.0,0.0180
437.0,0.0183
438.0,0.0187
439.0,0.0190
440.0,0.0193
441.0,0.0196
442.0,0.0200
443.0,0.0204
444.0,0.0208
445.0,0.0211
446.0,0.0215
447.0,0.0218
448.0,0.0222
449.0,0.0226
450.0,0.0229
451.0,0.0234
452.0,0.0237
453.0,0.0240
454.0,0.0244
455.0,0.0248
456.0,0.0252
457.0,0.0256
458.0,0.0260
459.0,0.0264
460.0,0.0268
461.0,0.0271
462.0,0.0275
463.0,0.0280
464.0,0.0283
465.0,0.0289
466.0,0.0292
467.0,0.0296
468.0,0.0301
469.0,0.0304
470.0,0.0308
471.0,0.0312
472.0,0.0317
473.0,0.0320
474.0,0.0323
475.0,0.0328
476.0,0.0332
477.0,0.0336
478.0,0.0340
479.0,0.0344
480.0,0.0348
481.0,0.0352
482.0,0.0356
483.0,0.0361
484.0,0.0363
485.0,0.0367
486.0,0.0371
487.0,0.0376
488.0,0.0380
489.0,0.0383
490.0,0.0386
491.0,0.0390
492.0,0.0392
493.0,0.0397
494.0,0.0400
495.0,0.0404
496.0,0.0406
497.0,0.0410
498.0,0.0413
499.0,0.0417
500.0,0.0419
501.0,0.0422
502.0,0.0425
503.0,0.0429
504.0,0.0432
505.0,0.0436
506.0,0.0439
507.0,0.0443
508.0,0.0448
509.0,0.0451
510.0,0.0455
511.0,0.0460
512.0,0.0465
513.0,0.0469
514.0,0.0475
515.0,0.0480
516.0,0.0487
517.0,0.0493
518.0,0.0500
519.0,0.0506
520.0,0.0514
521.0,0.0522
522.0,0.0530
523.0,0.0540
524.0,0.0549
525.0,0.0559
526.0,0.0570
527.0,0.0581
528.0,0.0592
529.0,0.0605
530.0,0.0618
531.0,0.0631
532.0,0.0644
533.0,0.0658
534.0,0.0674
535.0,0.0691
536.0,0.0707
537.0,0.0724
538.0,0.0742
539.0,0.0761
540.0,0.0780
541.0,0.0799
542.0,0.0820
543.0,0.0840
544.0,0.0861
545.0,0.0884
546.0,0.0907
547.0,0.0932
548.0,0.0956
549.0,0.0982
550.0,0.1007
551.0,0.1034
552.0,0.1062
553.0,0.1089
554.0,0.1118
555.0,0.1147
556.0,0.1177
557.0,0.1206
558.0,0.1237
559.0,0.1268
560.0,0.1300
561.0,0.1331
562.0,0.1363
563.0,0.1396
564.0,0.1430
565.0,0.1464
566.0,0.1500
567.0,0.1537
568.0,0.1573
569.0,0.1611
570.0,0.1653
571.0,0.1695
572.0,0.1739
573.0,0.1783
574.0,0.1831
575.0,0.1880
576.0,0.1930
577.0,0.1980
578.0,0.2034
579.0,0.2089
580.0,0.2146
581.0,0.2202
582.0,0.2259
583.0,0.2318
584.0,0.2376
585.0,0.2438
586.0,0.2498
587.0,0.2561
588.0,0.2624
589.0,0.2688
590.0,0.2751
591.0,0.2818
592.0,0.2883
593.0,0.2951
594.0,0.3015
595.0,0.3079
596.0,0.3144
597.0,0.3207
598.0,0.3267
599.0,0.3327
600.0,0.3385
601.0,0.3441
602.0,0.3494
603.0,0.3541
604.0,0.3590
605.0,0.3635
606.0,0.3676
607.0,0.3714
608.0,0.3753
609.0,0.3785
610.0,0.3817
611.0,0.3843
612.0,0.3868
613.0,0.3894
614.0,0.3917
615.0,0.3937
616.0,0.3958
617.0,0.3978
618.0,0.3998
619.0,0.4019
620.0,0.4039
621.0,0.4061
622.0,0.4086
623.0,0.4111
624.0,0.4140
625.0,0.4169
626.0,0.4202
627.0,0.4239
628.0,0.4275
629.0,0.4315
630.0,0.4357
