Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova6_8725_20min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 12:44:37
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0125
401.0,0.0123
402.0,0.0119
403.0,0.0117
404.0,0.0114
405.0,0.0112
406.0,0.0110
407.0,0.0108
408.0,0.0107
409.0,0.0105
410.0,0.0105
411.0,0.0104
412.0,0.0105
413.0,0.0104
414.0,0.0106
415.0,0.0106
416.0,0.0106
417.0,0.0109
418.0,0.0111
419.0,0.0113
420.0,0.0113
421.0,0.0116
422.0,0.0119
423.0,0.0121
424.0,0.0124
425.0,0.0126
426.0,0.0129
427.0,0.0132
428.0,0.0135
429.0,0.0137
430.0,0.0141
431.0,0.0143
432.0,0.0147
433.0,0.0150
434.0,0.0153
435.0,0.0157
436.0,0.0160
437.0,0.0164
438.0,0.0167
439.0,0.0170
440.0,0.0174
441.0,0.0178
442.0,0.0183
443.0,0.0186
444.0,0.0190
445.0,0.0194
446.0,0.0197
447.0,0.0201
448.0,0.0205
449.0,0.0209
450.0,0.0213
451.0,0.0217
452.0,0.0220
453.0,0.0225
454.0,0.0229
455.0,0.0233
456.0,0.0238
457.0,0.0241
458.0,0.0246
459.0,0.0251
460.0,0.0255
461.0,0.0260
462.0,0.0264
463.0,0.0268
464.0,0.0273
465.0,0.0277
466.0,0.0281
467.0,0.0286
468.0,0.0291
469.0,0.0295
470.0,0.0300
471.0,0.0303
472.0,0.0308
473.0,0.0312
474.0,0.0316
475.0,0.0321
476.0,0.0325
477.0,0.0329
478.0,0.0334
479.0,0.0337
480.0,0.0342
481.0,0.0346
482.0,0.0350
483.0,0.0355
484.0,0.0359
485.0,0.0363
486.0,0.0367
487.0,0.0372
488.0,0.0376
489.0,0.0379
490.0,0.0383
491.0,0.0385
492.0,0.0391
493.0,0.0393
494.0,0.0397
495.0,0.0399
496.0,0.0403
497.0,0.0406
498.0,0.0409
499.0,0.0413
500.0,0.0414
501.0,0.0418
502.0,0.0421
503.0,0.0424
504.0,0.0427
505.0,0.0431
506.0,0.0435
507.0,0.0439
508.0,0.0442
509.0,0.0446
510.0,0.0450
511.0,0.0454
512.0,0.0459
513.0,0.0464
514.0,0.0470
515.0,0.0475
516.0,0.0481
517.0,0.0487
518.0,0.0494
519.0,0.0502
520.0,0.0509
521.0,0.0517
522.0,0.0526
523.0,0.0536
524.0,0.0543
525.0,0.0553
526.0,0.0565
527.0,0.0577
528.0,0.0589
529.0,0.0601
530.0,0.0614
531.0,0.0628
532.0,0.0642
533.0,0.0657
534.0,0.0673
535.0,0.0690
536.0,0.0706
537.0,0.0724
538.0,0.0744
539.0,0.0761
540.0,0.0782
541.0,0.0803
542.0,0.0823
543.0,0.0845
544.0,0.0869
545.0,0.0890
546.0,0.0915
547.0,0.0941
548.0,0.0966
549.0,0.0993
550.0,0.1021
551.0,0.1050
552.0,0.1079
553.0,0.1108
554.0,0.1139
555.0,0.1171
556.0,0.1203
557.0,0.1235
558.0,0.1267
559.0,0.1300
560.0,0.1335
561.0,0.1370
562.0,0.1404
563.0,0.1440
564.0,0.1477
565.0,0.1515
566.0,0.1553
567.0,0.1592
568.0,0.1633
569.0,0.1676
570.0,0.1719
571.0,0.1765
572.0,0.1813
573.0,0.1861
574.0,0.1913
575.0,0.1966
576.0,0.2019
577.0,0.2075
578.0,0.2131
579.0,0.2191
580.0,0.2253
581.0,0.2312
582.0,0.2375
583.0,0.2437
584.0,0.2499
585.0,0.2567
586.0,0.2631
587.0,0.2698
588.0,0.2766
589.0,0.2833
590.0,0.2901
591.0,0.2973
592.0,0.3043
593.0,0.3114
594.0,0.3184
595.0,0.3252
596.0,0.3322
597.0,0.3390
598.0,0.3454
599.0,0.3519
600.0,0.3580
601.0,0.3642
602.0,0.3698
603.0,0.3752
604.0,0.3805
605.0,0.3853
606.0,0.3900
607.0,0.3947
608.0,0.3987
609.0,0.4026
610.0,0.4063
611.0,0.4096
612.0,0.4127
613.0,0.4158
614.0,0.4187
615.0,0.4213
616.0,0.4241
617.0,0.4267
618.0,0.4293
619.0,0.4319
620.0,0.4347
621.0,0.4374
622.0,0.4405
623.0,0.4436
624.0,0.4470
625.0,0.4506
626.0,0.4544
627.0,0.4585
628.0,0.4627
629.0,0.4672
630.0,0.4720
631.0,0.4768
632.0,0.4819
633.0,0.4872
634.0,0.4925
635.0,0.4981
636.0,0.5039
637.0,0.5096
638.0,0.5155
639.0,0.5213
640.0,0.5270
641.0,0.5331
642.0,0.5387
643.0,0.5444
644.0,0.5502
645.0,0.5556
646.0,0.5605
647.0,0.5653
648.0,0.5696
649.0,0.5732
650.0,0.5764
651.0,0.5791
652.0,0.5809
653.0,0.5821
654.0,0.5823
655.0,0.5820
656.0,0.5807
657.0,0.5787
658.0,0.5760
659.0,0.5724
660.0,0.5679
661.0,0.5624
662.0,0.5559
663.0,0.5487
664.0,0.5406
665.0,0.5311
666.0,0.5203
667.0,0.5085
668.0,0.4957
669.0,0.4815
670.0,0.4661
671.0,0.4498
672.0,0.4321
673.0,0.4137
674.0,0.3938
675.0,0.3736
676.0,0.3532
677.0,0.3322
678.0,0.3115
679.0,0.2897
680.0,0.2687
681.0,0.2485
682.0,0.2290
683.0,0.2105
684.0,0.1933
685.0,0.1768
686.0,0.1614
687.0,0.1470
688.0,0.1335
689.0,0.1220
690.0,0.1111
691.0,0.1013
692.0,0.0921
693.0,0.0837
694.0,0.0760
695.0,0.0692
696.0,0.0629
697.0,0.0573
698.0,0.0525
699.0,0.0477
700.0,0.0435
701.0,0.0399
702.0,0.0364
703.0,0.0333
704.0,0.0305
705.0,0.0280
706.0,0.0256
707.0,0.0236
708.0,0.0216
709.0,0.0201
710.0,0.0186
711.0,0.0171
712.0,0.0159
713.0,0.0148
