Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova2_7725_45min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 15:50:32
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.0295
301.0,0.0285
302.0,0.0278
303.0,0.0270
304.0,0.0265
305.0,0.0262
306.0,0.0261
307.0,0.0256
308.0,0.0254
309.0,0.0248
310.0,0.0244
311.0,0.0242
312.0,0.0242
313.0,0.0237
314.0,0.0235
315.0,0.0236
316.0,0.0232
317.0,0.0229
318.0,0.0228
319.0,0.0225
320.0,0.0225
321.0,0.0222
322.0,0.0219
323.0,0.0216
324.0,0.0214
325.0,0.0211
326.0,0.0209
327.0,0.0206
328.0,0.0200
329.0,0.0198
330.0,0.0193
331.0,0.0190
332.0,0.0187
333.0,0.0181
334.0,0.0179
335.0,0.0174
336.0,0.0172
337.0,0.0168
338.0,0.0165
339.0,0.0161
340.0,0.0158
341.0,0.0158
342.0,0.0154
343.0,0.0150
344.0,0.0150
345.0,0.0148
346.0,0.0147
347.0,0.0144
348.0,0.0143
349.0,0.0141
350.0,0.0139
351.0,0.0136
352.0,0.0137
353.0,0.0135
354.0,0.0134
355.0,0.0133
356.0,0.0132
357.0,0.0129
358.0,0.0130
359.0,0.0128
360.0,0.0128
361.0,0.0127
362.0,0.0126
363.0,0.0124
364.0,0.0124
365.0,0.0123
366.0,0.0122
367.0,0.0123
368.0,0.0121
369.0,0.0119
370.0,0.0118
371.0,0.0118
372.0,0.0117
373.0,0.0113
374.0,0.0113
375.0,0.0113
376.0,0.0110
377.0,0.0111
378.0,0.0109
379.0,0.0109
380.0,0.0110
381.0,0.0109
382.0,0.0108
383.0,0.0106
384.0,0.0107
385.0,0.0105
386.0,0.0106
387.0,0.0105
388.0,0.0105
389.0,0.0103
390.0,0.0101
391.0,0.0102
392.0,0.0101
