Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_abd_28825_10min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 18:07:35
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0152
401.0,0.0149
402.0,0.0143
403.0,0.0140
404.0,0.0135
405.0,0.0129
406.0,0.0128
407.0,0.0124
408.0,0.0122
409.0,0.0119
410.0,0.0116
411.0,0.0116
412.0,0.0114
413.0,0.0114
414.0,0.0113
415.0,0.0113
416.0,0.0115
417.0,0.0115
418.0,0.0116
419.0,0.0118
420.0,0.0120
421.0,0.0123
422.0,0.0124
423.0,0.0127
424.0,0.0129
425.0,0.0133
426.0,0.0135
427.0,0.0139
428.0,0.0141
429.0,0.0144
430.0,0.0148
431.0,0.0151
432.0,0.0154
433.0,0.0158
434.0,0.0162
435.0,0.0166
436.0,0.0170
437.0,0.0173
438.0,0.0177
439.0,0.0182
440.0,0.0186
441.0,0.0189
442.0,0.0193
443.0,0.0198
444.0,0.0202
445.0,0.0206
446.0,0.0211
447.0,0.0214
448.0,0.0220
449.0,0.0224
450.0,0.0230
451.0,0.0233
452.0,0.0238
453.0,0.0244
454.0,0.0247
455.0,0.0253
456.0,0.0258
457.0,0.0263
458.0,0.0268
459.0,0.0274
460.0,0.0279
461.0,0.0283
462.0,0.0287
463.0,0.0294
464.0,0.0300
465.0,0.0303
466.0,0.0309
467.0,0.0314
468.0,0.0319
469.0,0.0324
470.0,0.0330
471.0,0.0335
472.0,0.0340
473.0,0.0344
474.0,0.0350
475.0,0.0355
476.0,0.0360
477.0,0.0365
478.0,0.0371
479.0,0.0376
480.0,0.0382
481.0,0.0387
482.0,0.0392
483.0,0.0398
484.0,0.0402
485.0,0.0408
486.0,0.0412
487.0,0.0418
488.0,0.0423
489.0,0.0428
490.0,0.0433
491.0,0.0438
492.0,0.0442
493.0,0.0446
494.0,0.0451
495.0,0.0453
496.0,0.0458
497.0,0.0461
498.0,0.0465
499.0,0.0469
500.0,0.0472
501.0,0.0476
502.0,0.0478
503.0,0.0483
504.0,0.0486
505.0,0.0489
506.0,0.0492
507.0,0.0497
508.0,0.0500
509.0,0.0506
510.0,0.0510
511.0,0.0514
512.0,0.0519
513.0,0.0524
514.0,0.0529
515.0,0.0535
516.0,0.0543
517.0,0.0549
518.0,0.0556
519.0,0.0565
520.0,0.0572
521.0,0.0582
522.0,0.0592
523.0,0.0602
524.0,0.0612
525.0,0.0625
526.0,0.0636
527.0,0.0650
528.0,0.0663
529.0,0.0678
530.0,0.0694
531.0,0.0709
532.0,0.0726
533.0,0.0744
534.0,0.0763
535.0,0.0784
536.0,0.0804
537.0,0.0826
538.0,0.0848
539.0,0.0871
540.0,0.0894
541.0,0.0919
542.0,0.0945
543.0,0.0971
544.0,0.1000
545.0,0.1027
546.0,0.1055
547.0,0.1087
548.0,0.1118
549.0,0.1151
550.0,0.1185
551.0,0.1221
552.0,0.1255
553.0,0.1290
554.0,0.1327
555.0,0.1364
556.0,0.1403
557.0,0.1442
558.0,0.1480
559.0,0.1521
