Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ac_27825_-30min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 13:08:49
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0084
401.0,0.0081
402.0,0.0076
403.0,0.0071
404.0,0.0067
405.0,0.0063
406.0,0.0057
407.0,0.0053
408.0,0.0049
409.0,0.0046
410.0,0.0044
411.0,0.0040
412.0,0.0038
413.0,0.0036
414.0,0.0034
415.0,0.0033
416.0,0.0033
417.0,0.0032
418.0,0.0033
419.0,0.0032
420.0,0.0032
421.0,0.0034
422.0,0.0034
423.0,0.0035
424.0,0.0036
425.0,0.0038
426.0,0.0038
427.0,0.0040
428.0,0.0041
429.0,0.0042
430.0,0.0045
431.0,0.0046
432.0,0.0048
433.0,0.0048
434.0,0.0052
435.0,0.0054
436.0,0.0055
437.0,0.0057
438.0,0.0059
439.0,0.0062
440.0,0.0063
441.0,0.0066
442.0,0.0070
443.0,0.0071
444.0,0.0074
445.0,0.0077
446.0,0.0079
447.0,0.0083
448.0,0.0086
449.0,0.0089
450.0,0.0092
451.0,0.0096
452.0,0.0098
453.0,0.0101
454.0,0.0104
455.0,0.0108
456.0,0.0111
457.0,0.0115
458.0,0.0118
459.0,0.0122
460.0,0.0125
461.0,0.0128
462.0,0.0132
463.0,0.0136
464.0,0.0139
465.0,0.0143
466.0,0.0146
467.0,0.0149
468.0,0.0152
469.0,0.0157
470.0,0.0160
471.0,0.0163
472.0,0.0167
473.0,0.0170
474.0,0.0174
475.0,0.0177
476.0,0.0181
477.0,0.0184
478.0,0.0189
479.0,0.0193
480.0,0.0196
481.0,0.0200
482.0,0.0204
483.0,0.0209
484.0,0.0212
485.0,0.0215
486.0,0.0219
487.0,0.0223
488.0,0.0227
489.0,0.0229
490.0,0.0233
491.0,0.0235
492.0,0.0238
493.0,0.0241
494.0,0.0243
495.0,0.0245
496.0,0.0246
497.0,0.0249
498.0,0.0250
499.0,0.0250
500.0,0.0252
501.0,0.0253
502.0,0.0254
503.0,0.0254
504.0,0.0254
505.0,0.0255
506.0,0.0255
507.0,0.0255
508.0,0.0256
509.0,0.0255
510.0,0.0256
511.0,0.0256
512.0,0.0257
513.0,0.0257
514.0,0.0258
515.0,0.0259
516.0,0.0261
517.0,0.0262
518.0,0.0264
519.0,0.0266
520.0,0.0268
521.0,0.0273
522.0,0.0275
523.0,0.0279
524.0,0.0283
525.0,0.0287
526.0,0.0292
527.0,0.0298
528.0,0.0304
529.0,0.0311
530.0,0.0318
531.0,0.0325
532.0,0.0333
533.0,0.0342
534.0,0.0350
535.0,0.0361
536.0,0.0371
537.0,0.0383
538.0,0.0394
539.0,0.0407
540.0,0.0420
541.0,0.0433
542.0,0.0448
543.0,0.0462
544.0,0.0478
545.0,0.0494
546.0,0.0511
547.0,0.0530
548.0,0.0549
549.0,0.0568
550.0,0.0588
551.0,0.0610
552.0,0.0631
553.0,0.0652
554.0,0.0676
555.0,0.0699
556.0,0.0723
557.0,0.0746
558.0,0.0770
559.0,0.0793
560.0,0.0820
561.0,0.0842
562.0,0.0868
563.0,0.0893
564.0,0.0919
565.0,0.0944
566.0,0.0971
567.0,0.1000
568.0,0.1026
569.0,0.1056
570.0,0.1087
571.0,0.1120
572.0,0.1155
573.0,0.1190
574.0,0.1227
575.0,0.1266
576.0,0.1307
577.0,0.1349
578.0,0.1395
579.0,0.1442
580.0,0.1492
581.0,0.1541
582.0,0.1593
583.0,0.1648
584.0,0.1704
585.0,0.1762
586.0,0.1823
587.0,0.1887
588.0,0.1953
589.0,0.2018
590.0,0.2087
591.0,0.2160
592.0,0.2234
593.0,0.2311
594.0,0.2390
595.0,0.2465
596.0,0.2548
597.0,0.2629
598.0,0.2706
599.0,0.2789
600.0,0.2867
601.0,0.2945
602.0,0.3021
603.0,0.3089
604.0,0.3161
605.0,0.3225
606.0,0.3283
607.0,0.3340
608.0,0.3392
609.0,0.3437
610.0,0.3479
611.0,0.3512
612.0,0.3539
613.0,0.3566
614.0,0.3587
615.0,0.3604
616.0,0.3617
617.0,0.3628
618.0,0.3637
619.0,0.3647
620.0,0.3654
621.0,0.3663
622.0,0.3675
623.0,0.3687
624.0,0.3705
625.0,0.3725
626.0,0.3750
627.0,0.3780
628.0,0.3811
629.0,0.3850
630.0,0.3897
631.0,0.3947
632.0,0.4002
633.0,0.4064
634.0,0.4130
635.0,0.4205
636.0,0.4287
637.0,0.4373
638.0,0.4466
639.0,0.4568
640.0,0.4670
641.0,0.4779
642.0,0.4891
643.0,0.5004
644.0,0.5126
645.0,0.5246
646.0,0.5363
647.0,0.5484
648.0,0.5603
649.0,0.5716
650.0,0.5829
651.0,0.5942
652.0,0.6048
653.0,0.6153
654.0,0.6251
655.0,0.6343
656.0,0.6433
657.0,0.6519
658.0,0.6597
659.0,0.6673
660.0,0.6740
661.0,0.6794
662.0,0.6836
663.0,0.6863
664.0,0.6872
665.0,0.6860
666.0,0.6823
667.0,0.6761
668.0,0.6671
669.0,0.6554
670.0,0.6411
671.0,0.6239
672.0,0.6042
673.0,0.5824
674.0,0.5574
675.0,0.5308
676.0,0.5031
677.0,0.4745
678.0,0.4452
679.0,0.4145
680.0,0.3839
681.0,0.3548
682.0,0.3255
683.0,0.2982
684.0,0.2722
685.0,0.2478
686.0,0.2250
687.0,0.2035
688.0,0.1834
689.0,0.1659
690.0,0.1499
691.0,0.1349
692.0,0.1217
693.0,0.1093
694.0,0.0983
695.0,0.0885
696.0,0.0794
697.0,0.0714
698.0,0.0644
699.0,0.0577
700.0,0.0520
701.0,0.0470
702.0,0.0422
703.0,0.0379
704.0,0.0343
705.0,0.0308
706.0,0.0278
707.0,0.0252
708.0,0.0228
709.0,0.0208
710.0,0.0190
711.0,0.0173
712.0,0.0157
713.0,0.0145
714.0,0.0132
715.0,0.0124
716.0,0.0114
717.0,0.0105
718.0,0.0097
719.0,0.0091
720.0,0.0083
721.0,0.0078
722.0,0.0072
723.0,0.0069
724.0,0.0063
725.0,0.0059
726.0,0.0057
727.0,0.0053
728.0,0.0049
729.0,0.0047
730.0,0.0044
731.0,0.0042
732.0,0.0039
733.0,0.0039
734.0,0.0036
735.0,0.0034
736.0,0.0032
737.0,0.0032
738.0,0.0029
739.0,0.0028
740.0,0.0027
741.0,0.0026
742.0,0.0025
743.0,0.0025
744.0,0.0023
745.0,0.0023
746.0,0.0020
747.0,0.0020
748.0,0.0021
749.0,0.0018
750.0,0.0019
751.0,0.0017
752.0,0.0015
753.0,0.0015
754.0,0.0014
755.0,0.0016
756.0,0.0014
757.0,0.0012
758.0,0.0013
759.0,0.0013
760.0,0.0013
761.0,0.0010
762.0,0.0011
763.0,0.0009
764.0,0.0010
765.0,0.0009
766.0,0.0009
767.0,0.0008
768.0,0.0009
769.0,0.0010
770.0,0.0008
771.0,0.0007
772.0,0.0007
773.0,0.0007
774.0,0.0007
775.0,0.0006
776.0,0.0006
777.0,0.0007
778.0,0.0006
779.0,0.0006
780.0,0.0005
781.0,0.0005
782.0,0.0006
783.0,0.0004
784.0,0.0005
785.0,0.0003
786.0,0.0004
787.0,0.0005
788.0,0.0004
789.0,0.0005
790.0,0.0004
791.0,0.0002
792.0,0.0004
793.0,0.0004
794.0,0.0004
795.0,0.0003
796.0,0.0003
797.0,0.0003
798.0,0.0002
799.0,0.0005
800.0,0.0004
