Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ac_27825_30min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 13:18:30
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0050
401.0,0.0051
402.0,0.0051
403.0,0.0051
404.0,0.0052
405.0,0.0053
406.0,0.0052
407.0,0.0051
408.0,0.0052
409.0,0.0053
410.0,0.0053
411.0,0.0053
412.0,0.0054
413.0,0.0054
414.0,0.0055
415.0,0.0055
416.0,0.0056
417.0,0.0057
418.0,0.0058
419.0,0.0058
420.0,0.0059
421.0,0.0060
422.0,0.0061
423.0,0.0061
424.0,0.0062
425.0,0.0062
426.0,0.0063
427.0,0.0063
428.0,0.0065
429.0,0.0064
430.0,0.0065
431.0,0.0066
432.0,0.0066
433.0,0.0067
434.0,0.0067
435.0,0.0069
436.0,0.0068
437.0,0.0069
438.0,0.0069
439.0,0.0070
440.0,0.0071
441.0,0.0071
442.0,0.0072
443.0,0.0072
444.0,0.0073
445.0,0.0073
446.0,0.0073
447.0,0.0074
448.0,0.0075
449.0,0.0076
450.0,0.0076
451.0,0.0076
452.0,0.0076
453.0,0.0076
454.0,0.0078
455.0,0.0078
456.0,0.0078
457.0,0.0078
458.0,0.0078
459.0,0.0079
460.0,0.0079
461.0,0.0079
462.0,0.0080
463.0,0.0079
464.0,0.0079
465.0,0.0081
466.0,0.0081
467.0,0.0081
468.0,0.0081
469.0,0.0081
470.0,0.0082
471.0,0.0082
472.0,0.0081
473.0,0.0082
474.0,0.0082
475.0,0.0083
476.0,0.0083
477.0,0.0083
478.0,0.0083
479.0,0.0083
480.0,0.0084
481.0,0.0084
482.0,0.0084
483.0,0.0084
484.0,0.0084
485.0,0.0085
486.0,0.0087
487.0,0.0084
488.0,0.0087
489.0,0.0085
490.0,0.0086
491.0,0.0086
492.0,0.0086
493.0,0.0088
494.0,0.0089
495.0,0.0090
496.0,0.0089
497.0,0.0090
498.0,0.0091
499.0,0.0091
500.0,0.0091
501.0,0.0092
502.0,0.0093
503.0,0.0093
504.0,0.0094
505.0,0.0095
506.0,0.0095
507.0,0.0096
508.0,0.0097
509.0,0.0098
510.0,0.0099
511.0,0.0100
512.0,0.0101
513.0,0.0101
514.0,0.0103
515.0,0.0104
516.0,0.0105
517.0,0.0105
518.0,0.0107
519.0,0.0108
520.0,0.0108
521.0,0.0110
522.0,0.0111
523.0,0.0113
524.0,0.0114
525.0,0.0115
526.0,0.0116
527.0,0.0118
528.0,0.0119
529.0,0.0121
530.0,0.0123
531.0,0.0123
532.0,0.0124
533.0,0.0127
534.0,0.0129
535.0,0.0130
536.0,0.0132
537.0,0.0135
538.0,0.0136
539.0,0.0138
540.0,0.0140
541.0,0.0141
542.0,0.0144
543.0,0.0145
544.0,0.0148
545.0,0.0150
546.0,0.0152
547.0,0.0155
548.0,0.0157
549.0,0.0160
550.0,0.0162
551.0,0.0164
552.0,0.0168
553.0,0.0170
554.0,0.0172
555.0,0.0176
556.0,0.0178
557.0,0.0180
558.0,0.0183
559.0,0.0186
560.0,0.0188
561.0,0.0191
562.0,0.0194
563.0,0.0196
564.0,0.0199
565.0,0.0201
566.0,0.0204
567.0,0.0207
568.0,0.0210
569.0,0.0211
570.0,0.0216
571.0,0.0217
572.0,0.0221
573.0,0.0224
574.0,0.0226
575.0,0.0228
576.0,0.0232
577.0,0.0234
578.0,0.0238
579.0,0.0241
580.0,0.0244
581.0,0.0247
582.0,0.0250
583.0,0.0253
584.0,0.0256
585.0,0.0258
586.0,0.0261
587.0,0.0264
588.0,0.0266
589.0,0.0270
590.0,0.0273
591.0,0.0276
592.0,0.0278
593.0,0.0282
594.0,0.0285
595.0,0.0286
596.0,0.0291
597.0,0.0293
598.0,0.0296
599.0,0.0298
600.0,0.0300
601.0,0.0303
602.0,0.0305
603.0,0.0306
604.0,0.0309
605.0,0.0312
606.0,0.0313
607.0,0.0313
608.0,0.0316
609.0,0.0317
610.0,0.0318
611.0,0.0319
612.0,0.0318
613.0,0.0320
614.0,0.0320
615.0,0.0320
616.0,0.0320
617.0,0.0321
618.0,0.0321
619.0,0.0320
620.0,0.0319
621.0,0.0319
622.0,0.0319
623.0,0.0318
624.0,0.0318
625.0,0.0316
626.0,0.0315
627.0,0.0315
628.0,0.0313
629.0,0.0312
630.0,0.0312
631.0,0.0310
632.0,0.0309
633.0,0.0308
634.0,0.0306
635.0,0.0304
636.0,0.0302
637.0,0.0301
638.0,0.0298
639.0,0.0297
640.0,0.0295
641.0,0.0293
642.0,0.0291
643.0,0.0287
644.0,0.0285
645.0,0.0283
646.0,0.0281
647.0,0.0279
648.0,0.0276
649.0,0.0273
650.0,0.0271
651.0,0.0267
652.0,0.0264
653.0,0.0261
654.0,0.0256
655.0,0.0253
656.0,0.0248
657.0,0.0244
658.0,0.0238
659.0,0.0234
660.0,0.0229
661.0,0.0224
662.0,0.0217
663.0,0.0211
664.0,0.0205
665.0,0.0200
666.0,0.0193
667.0,0.0187
668.0,0.0181
669.0,0.0174
670.0,0.0167
671.0,0.0160
672.0,0.0153
673.0,0.0146
674.0,0.0140
675.0,0.0132
676.0,0.0124
677.0,0.0118
678.0,0.0110
679.0,0.0104
680.0,0.0097
681.0,0.0091
682.0,0.0085
683.0,0.0079
684.0,0.0073
685.0,0.0068
686.0,0.0063
687.0,0.0059
688.0,0.0054
689.0,0.0049
690.0,0.0048
691.0,0.0043
692.0,0.0041
693.0,0.0038
694.0,0.0037
695.0,0.0033
696.0,0.0032
697.0,0.0030
698.0,0.0028
699.0,0.0026
700.0,0.0025
701.0,0.0023
702.0,0.0022
703.0,0.0020
704.0,0.0019
705.0,0.0018
706.0,0.0017
707.0,0.0016
708.0,0.0015
709.0,0.0015
710.0,0.0014
711.0,0.0013
712.0,0.0013
713.0,0.0013
714.0,0.0011
715.0,0.0012
716.0,0.0011
717.0,0.0011
718.0,0.0010
719.0,0.0010
720.0,0.0009
721.0,0.0009
722.0,0.0008
723.0,0.0009
724.0,0.0009
725.0,0.0008
726.0,0.0008
727.0,0.0007
728.0,0.0007
729.0,0.0006
730.0,0.0006
731.0,0.0007
732.0,0.0005
733.0,0.0007
734.0,0.0006
735.0,0.0005
736.0,0.0005
737.0,0.0006
738.0,0.0005
739.0,0.0005
740.0,0.0006
741.0,0.0004
742.0,0.0004
743.0,0.0005
744.0,0.0006
745.0,0.0004
746.0,0.0003
747.0,0.0004
748.0,0.0004
749.0,0.0003
750.0,0.0004
751.0,0.0003
752.0,0.0002
753.0,0.0002
754.0,0.0004
755.0,0.0004
756.0,0.0002
757.0,0.0002
758.0,0.0003
759.0,0.0003
760.0,0.0002
761.0,0.0002
762.0,0.0002
763.0,0.0000
764.0,0.0003
765.0,0.0002
766.0,0.0003
767.0,0.0001
768.0,0.0003
769.0,0.0002
770.0,0.0002
771.0,0.0002
772.0,0.0003
773.0,0.0001
774.0,0.0001
775.0,0.0000
776.0,0.0001
777.0,0.0001
778.0,0.0001
779.0,0.0001
780.0,-0.0000
781.0,0.0000
782.0,0.0001
783.0,0.0001
784.0,0.0001
785.0,0.0002
786.0,0.0001
787.0,0.0002
788.0,0.0001
789.0,0.0002
790.0,-0.0000
791.0,-0.0000
792.0,0.0001
793.0,0.0003
794.0,0.0001
795.0,-0.0000
796.0,0.0000
797.0,0.0000
798.0,0.0001
799.0,0.0000
800.0,-0.0001
