Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova4_8725_0min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 09:37:18
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0069
401.0,0.0065
402.0,0.0061
403.0,0.0057
404.0,0.0054
405.0,0.0049
406.0,0.0044
407.0,0.0040
408.0,0.0036
409.0,0.0032
410.0,0.0029
411.0,0.0026
412.0,0.0025
413.0,0.0021
414.0,0.0021
415.0,0.0020
416.0,0.0019
417.0,0.0019
418.0,0.0019
419.0,0.0019
420.0,0.0019
421.0,0.0019
422.0,0.0021
423.0,0.0021
424.0,0.0023
425.0,0.0024
426.0,0.0025
427.0,0.0027
428.0,0.0028
429.0,0.0028
430.0,0.0031
431.0,0.0032
432.0,0.0035
433.0,0.0036
434.0,0.0038
435.0,0.0041
436.0,0.0043
437.0,0.0045
438.0,0.0046
439.0,0.0049
440.0,0.0051
441.0,0.0053
442.0,0.0058
443.0,0.0060
444.0,0.0063
445.0,0.0066
446.0,0.0068
447.0,0.0071
448.0,0.0074
449.0,0.0077
450.0,0.0081
451.0,0.0084
452.0,0.0086
453.0,0.0091
454.0,0.0093
455.0,0.0097
456.0,0.0100
457.0,0.0104
458.0,0.0108
459.0,0.0111
460.0,0.0114
461.0,0.0118
462.0,0.0122
463.0,0.0125
464.0,0.0128
465.0,0.0132
466.0,0.0134
467.0,0.0139
468.0,0.0142
