Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova4_8725_20min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 09:41:45
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0007
401.0,0.0009
402.0,0.0007
403.0,0.0008
404.0,0.0009
405.0,0.0009
406.0,0.0010
407.0,0.0009
408.0,0.0010
409.0,0.0010
410.0,0.0011
411.0,0.0010
412.0,0.0010
413.0,0.0010
414.0,0.0012
415.0,0.0011
416.0,0.0012
417.0,0.0013
418.0,0.0014
419.0,0.0013
420.0,0.0013
421.0,0.0014
422.0,0.0015
423.0,0.0014
424.0,0.0015
425.0,0.0015
426.0,0.0016
427.0,0.0016
428.0,0.0016
429.0,0.0016
430.0,0.0017
431.0,0.0018
432.0,0.0018
433.0,0.0018
434.0,0.0019
435.0,0.0019
436.0,0.0019
437.0,0.0019
438.0,0.0020
439.0,0.0020
440.0,0.0020
441.0,0.0020
442.0,0.0022
443.0,0.0021
444.0,0.0022
445.0,0.0022
446.0,0.0021
447.0,0.0023
448.0,0.0023
449.0,0.0023
450.0,0.0023
451.0,0.0023
452.0,0.0024
453.0,0.0024
454.0,0.0024
455.0,0.0024
456.0,0.0025
457.0,0.0024
458.0,0.0024
459.0,0.0026
460.0,0.0025
461.0,0.0025
462.0,0.0025
463.0,0.0025
464.0,0.0025
465.0,0.0026
466.0,0.0025
467.0,0.0026
468.0,0.0026
469.0,0.0027
470.0,0.0026
471.0,0.0025
472.0,0.0026
473.0,0.0027
474.0,0.0026
475.0,0.0027
476.0,0.0027
477.0,0.0026
478.0,0.0026
479.0,0.0026
480.0,0.0027
481.0,0.0026
482.0,0.0026
483.0,0.0027
484.0,0.0027
485.0,0.0027
486.0,0.0027
487.0,0.0027
488.0,0.0027
489.0,0.0028
490.0,0.0028
491.0,0.0028
492.0,0.0029
493.0,0.0029
494.0,0.0029
495.0,0.0029
496.0,0.0029
497.0,0.0029
498.0,0.0029
499.0,0.0029
500.0,0.0029
501.0,0.0029
502.0,0.0029
503.0,0.0029
504.0,0.0029
505.0,0.0031
506.0,0.0031
507.0,0.0032
508.0,0.0031
509.0,0.0031
510.0,0.0032
511.0,0.0033
512.0,0.0032
513.0,0.0033
514.0,0.0033
515.0,0.0033
516.0,0.0033
517.0,0.0034
518.0,0.0035
519.0,0.0035
520.0,0.0035
521.0,0.0036
522.0,0.0036
523.0,0.0036
524.0,0.0037
525.0,0.0037
526.0,0.0038
527.0,0.0038
528.0,0.0039
529.0,0.0039
530.0,0.0039
531.0,0.0040
532.0,0.0040
533.0,0.0041
534.0,0.0041
535.0,0.0042
536.0,0.0042
537.0,0.0043
538.0,0.0043
539.0,0.0043
540.0,0.0044
541.0,0.0045
542.0,0.0045
543.0,0.0046
544.0,0.0047
545.0,0.0046
546.0,0.0048
547.0,0.0048
548.0,0.0049
549.0,0.0050
550.0,0.0051
551.0,0.0052
552.0,0.0052
553.0,0.0053
554.0,0.0054
555.0,0.0055
556.0,0.0056
557.0,0.0057
558.0,0.0057
559.0,0.0057
560.0,0.0058
561.0,0.0060
562.0,0.0060
563.0,0.0061
564.0,0.0061
565.0,0.0063
566.0,0.0063
567.0,0.0063
568.0,0.0065
569.0,0.0065
570.0,0.0065
571.0,0.0066
572.0,0.0067
573.0,0.0067
574.0,0.0069
575.0,0.0070
576.0,0.0070
577.0,0.0071
578.0,0.0071
579.0,0.0073
580.0,0.0074
581.0,0.0075
582.0,0.0076
583.0,0.0077
584.0,0.0078
585.0,0.0079
586.0,0.0079
587.0,0.0081
588.0,0.0081
589.0,0.0083
590.0,0.0084
591.0,0.0084
592.0,0.0086
593.0,0.0086
594.0,0.0087
595.0,0.0089
596.0,0.0091
597.0,0.0092
598.0,0.0092
599.0,0.0093
600.0,0.0094
601.0,0.0094
602.0,0.0095
603.0,0.0096
604.0,0.0096
605.0,0.0097
606.0,0.0097
607.0,0.0098
608.0,0.0098
609.0,0.0098
610.0,0.0099
611.0,0.0099
612.0,0.0098
613.0,0.0098
614.0,0.0098
615.0,0.0098
616.0,0.0097
617.0,0.0097
618.0,0.0097
619.0,0.0097
620.0,0.0096
621.0,0.0095
622.0,0.0096
623.0,0.0094
624.0,0.0094
625.0,0.0094
626.0,0.0093
627.0,0.0094
628.0,0.0094
629.0,0.0093
630.0,0.0093
631.0,0.0092
632.0,0.0093
633.0,0.0093
634.0,0.0092
635.0,0.0092
636.0,0.0094
637.0,0.0094
638.0,0.0094
639.0,0.0094
640.0,0.0093
641.0,0.0095
642.0,0.0094
643.0,0.0095
644.0,0.0095
645.0,0.0097
646.0,0.0098
647.0,0.0098
648.0,0.0100
649.0,0.0100
650.0,0.0100
651.0,0.0101
652.0,0.0101
653.0,0.0101
654.0,0.0101
655.0,0.0102
656.0,0.0102
657.0,0.0102
658.0,0.0101
659.0,0.0101
660.0,0.0102
661.0,0.0100
662.0,0.0098
663.0,0.0097
664.0,0.0097
665.0,0.0096
666.0,0.0095
667.0,0.0093
668.0,0.0091
669.0,0.0089
670.0,0.0085
671.0,0.0083
672.0,0.0080
673.0,0.0077
674.0,0.0074
675.0,0.0069
676.0,0.0066
677.0,0.0063
678.0,0.0059
679.0,0.0055
680.0,0.0051
681.0,0.0047
682.0,0.0043
683.0,0.0041
684.0,0.0038
685.0,0.0034
686.0,0.0031
687.0,0.0029
688.0,0.0026
689.0,0.0023
690.0,0.0021
691.0,0.0020
692.0,0.0018
693.0,0.0016
694.0,0.0014
695.0,0.0013
696.0,0.0012
697.0,0.0009
698.0,0.0011
699.0,0.0008
700.0,0.0007
701.0,0.0006
702.0,0.0005
703.0,0.0006
704.0,0.0006
705.0,0.0005
706.0,0.0003
707.0,0.0003
708.0,0.0002
709.0,0.0002
710.0,0.0002
711.0,0.0001
712.0,0.0001
713.0,0.0000
714.0,0.0001
715.0,0.0001
716.0,0.0001
717.0,0.0000
718.0,-0.0001
719.0,-0.0001
720.0,0.0000
721.0,0.0000
722.0,-0.0002
723.0,-0.0000
724.0,-0.0001
725.0,-0.0002
726.0,-0.0002
727.0,-0.0001
728.0,-0.0002
729.0,-0.0001
730.0,-0.0003
731.0,-0.0002
732.0,0.0000
733.0,-0.0001
734.0,-0.0000
735.0,-0.0001
736.0,-0.0001
737.0,-0.0001
738.0,-0.0002
739.0,-0.0001
740.0,-0.0001
741.0,-0.0002
742.0,-0.0001
743.0,-0.0001
744.0,-0.0001
745.0,-0.0000
746.0,-0.0001
747.0,-0.0001
748.0,0.0000
749.0,0.0000
750.0,-0.0001
751.0,-0.0000
752.0,-0.0001
753.0,0.0000
754.0,-0.0000
755.0,-0.0000
756.0,0.0001
757.0,0.0000
758.0,-0.0000
759.0,-0.0001
760.0,0.0000
761.0,-0.0001
762.0,0.0000
