Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_ad_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 14:32:25
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0079
401.0,0.0074
402.0,0.0069
403.0,0.0065
404.0,0.0060
405.0,0.0056
406.0,0.0052
407.0,0.0047
408.0,0.0042
409.0,0.0039
410.0,0.0037
411.0,0.0033
412.0,0.0031
413.0,0.0029
414.0,0.0028
415.0,0.0027
416.0,0.0027
417.0,0.0026
418.0,0.0026
419.0,0.0025
420.0,0.0026
421.0,0.0026
422.0,0.0027
423.0,0.0028
424.0,0.0029
425.0,0.0031
426.0,0.0032
427.0,0.0033
428.0,0.0035
429.0,0.0036
430.0,0.0038
431.0,0.0040
432.0,0.0042
433.0,0.0043
434.0,0.0045
435.0,0.0048
436.0,0.0050
437.0,0.0052
438.0,0.0055
439.0,0.0057
440.0,0.0061
441.0,0.0062
442.0,0.0066
443.0,0.0068
444.0,0.0071
445.0,0.0074
446.0,0.0077
447.0,0.0079
448.0,0.0083
449.0,0.0086
450.0,0.0091
451.0,0.0093
452.0,0.0096
453.0,0.0100
454.0,0.0103
455.0,0.0107
456.0,0.0110
457.0,0.0115
458.0,0.0118
459.0,0.0122
460.0,0.0125
461.0,0.0130
462.0,0.0133
463.0,0.0137
464.0,0.0141
465.0,0.0144
466.0,0.0148
467.0,0.0152
468.0,0.0156
469.0,0.0160
470.0,0.0164
471.0,0.0167
472.0,0.0171
473.0,0.0174
474.0,0.0178
475.0,0.0182
476.0,0.0186
477.0,0.0190
478.0,0.0194
479.0,0.0198
480.0,0.0204
481.0,0.0207
482.0,0.0211
483.0,0.0215
484.0,0.0219
485.0,0.0224
486.0,0.0227
487.0,0.0231
488.0,0.0235
489.0,0.0238
490.0,0.0242
491.0,0.0246
492.0,0.0249
493.0,0.0251
494.0,0.0254
495.0,0.0256
496.0,0.0258
497.0,0.0260
498.0,0.0262
499.0,0.0263
500.0,0.0264
501.0,0.0265
502.0,0.0267
503.0,0.0267
504.0,0.0268
505.0,0.0269
506.0,0.0269
507.0,0.0269
508.0,0.0270
509.0,0.0271
510.0,0.0272
511.0,0.0272
512.0,0.0274
513.0,0.0274
514.0,0.0276
515.0,0.0277
516.0,0.0279
517.0,0.0282
518.0,0.0284
519.0,0.0288
520.0,0.0291
521.0,0.0294
522.0,0.0298
523.0,0.0303
524.0,0.0307
525.0,0.0313
526.0,0.0318
527.0,0.0325
528.0,0.0332
529.0,0.0340
530.0,0.0349
531.0,0.0356
532.0,0.0365
533.0,0.0375
534.0,0.0386
535.0,0.0398
536.0,0.0410
537.0,0.0423
538.0,0.0436
539.0,0.0450
540.0,0.0464
541.0,0.0480
542.0,0.0496
543.0,0.0512
544.0,0.0530
545.0,0.0547
546.0,0.0566
547.0,0.0588
548.0,0.0608
549.0,0.0629
550.0,0.0652
551.0,0.0676
552.0,0.0699
553.0,0.0723
554.0,0.0748
555.0,0.0774
556.0,0.0799
557.0,0.0826
558.0,0.0851
559.0,0.0878
560.0,0.0906
561.0,0.0932
562.0,0.0959
563.0,0.0987
564.0,0.1015
565.0,0.1044
566.0,0.1073
567.0,0.1103
568.0,0.1134
569.0,0.1166
570.0,0.1201
571.0,0.1235
572.0,0.1274
573.0,0.1313
574.0,0.1353
575.0,0.1397
576.0,0.1441
577.0,0.1486
578.0,0.1536
579.0,0.1588
580.0,0.1641
581.0,0.1696
582.0,0.1754
583.0,0.1813
584.0,0.1873
585.0,0.1936
586.0,0.2001
587.0,0.2071
588.0,0.2142
589.0,0.2214
590.0,0.2288
591.0,0.2365
592.0,0.2445
593.0,0.2527
594.0,0.2609
595.0,0.2692
596.0,0.2780
597.0,0.2865
598.0,0.2947
599.0,0.3033
600.0,0.3115
601.0,0.3199
602.0,0.3278
603.0,0.3352
604.0,0.3425
605.0,0.3492
606.0,0.3554
607.0,0.3611
608.0,0.3664
609.0,0.3710
610.0,0.3751
611.0,0.3785
612.0,0.3813
613.0,0.3838
614.0,0.3857
615.0,0.3873
616.0,0.3885
617.0,0.3894
618.0,0.3902
619.0,0.3909
620.0,0.3915
621.0,0.3922
622.0,0.3932
623.0,0.3944
624.0,0.3960
625.0,0.3978
