Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_b_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 13:07:10
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0150
401.0,0.0142
402.0,0.0134
403.0,0.0126
404.0,0.0117
405.0,0.0107
406.0,0.0099
407.0,0.0091
408.0,0.0083
409.0,0.0076
410.0,0.0071
411.0,0.0065
412.0,0.0060
413.0,0.0057
414.0,0.0053
415.0,0.0051
416.0,0.0051
417.0,0.0049
418.0,0.0049
419.0,0.0049
420.0,0.0051
421.0,0.0051
422.0,0.0052
423.0,0.0054
424.0,0.0056
425.0,0.0059
426.0,0.0062
427.0,0.0064
428.0,0.0067
429.0,0.0071
430.0,0.0074
431.0,0.0078
432.0,0.0081
433.0,0.0085
434.0,0.0088
435.0,0.0093
436.0,0.0098
437.0,0.0102
438.0,0.0108
439.0,0.0113
440.0,0.0117
441.0,0.0122
442.0,0.0128
443.0,0.0133
444.0,0.0138
445.0,0.0144
446.0,0.0151
447.0,0.0156
448.0,0.0162
449.0,0.0169
450.0,0.0176
451.0,0.0182
452.0,0.0188
453.0,0.0196
454.0,0.0203
455.0,0.0209
456.0,0.0217
457.0,0.0224
458.0,0.0232
459.0,0.0238
460.0,0.0246
461.0,0.0253
462.0,0.0260
463.0,0.0268
464.0,0.0276
465.0,0.0282
466.0,0.0289
467.0,0.0297
468.0,0.0305
469.0,0.0312
470.0,0.0320
471.0,0.0327
472.0,0.0335
473.0,0.0342
474.0,0.0349
475.0,0.0357
476.0,0.0364
477.0,0.0373
478.0,0.0381
479.0,0.0388
480.0,0.0398
481.0,0.0406
482.0,0.0414
483.0,0.0422
484.0,0.0430
485.0,0.0439
486.0,0.0446
487.0,0.0454
488.0,0.0461
489.0,0.0469
490.0,0.0475
491.0,0.0483
492.0,0.0489
493.0,0.0495
494.0,0.0499
495.0,0.0504
496.0,0.0509
497.0,0.0513
498.0,0.0516
499.0,0.0519
500.0,0.0522
501.0,0.0525
502.0,0.0528
503.0,0.0528
504.0,0.0530
505.0,0.0531
506.0,0.0533
507.0,0.0535
508.0,0.0536
509.0,0.0538
510.0,0.0540
511.0,0.0541
512.0,0.0544
513.0,0.0546
514.0,0.0550
515.0,0.0553
516.0,0.0557
517.0,0.0563
518.0,0.0569
519.0,0.0574
520.0,0.0581
521.0,0.0589
522.0,0.0598
523.0,0.0607
524.0,0.0617
525.0,0.0629
526.0,0.0640
527.0,0.0654
528.0,0.0668
529.0,0.0684
530.0,0.0702
531.0,0.0718
532.0,0.0738
533.0,0.0758
534.0,0.0779
535.0,0.0802
536.0,0.0827
537.0,0.0853
538.0,0.0880
539.0,0.0908
540.0,0.0938
541.0,0.0968
542.0,0.1000
543.0,0.1034
544.0,0.1070
545.0,0.1106
546.0,0.1145
547.0,0.1187
548.0,0.1230
549.0,0.1272
550.0,0.1317
551.0,0.1366
552.0,0.1413
553.0,0.1461
554.0,0.1513
555.0,0.1564
556.0,0.1617
557.0,0.1668
558.0,0.1720
559.0,0.1774
560.0,0.1828
561.0,0.1880
562.0,0.1934
563.0,0.1990
564.0,0.2045
565.0,0.2102
566.0,0.2160
567.0,0.2220
568.0,0.2280
569.0,0.2344
570.0,0.2413
571.0,0.2484
572.0,0.2559
573.0,0.2637
574.0,0.2718
575.0,0.2804
576.0,0.2894
