Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_b_28825_60min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 12:56:33
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0104
401.0,0.0104
402.0,0.0103
403.0,0.0104
404.0,0.0103
405.0,0.0102
406.0,0.0103
407.0,0.0104
408.0,0.0104
409.0,0.0105
410.0,0.0106
411.0,0.0108
412.0,0.0108
413.0,0.0109
414.0,0.0110
415.0,0.0112
416.0,0.0114
417.0,0.0114
418.0,0.0116
419.0,0.0117
420.0,0.0120
421.0,0.0121
422.0,0.0122
423.0,0.0125
424.0,0.0126
425.0,0.0129
426.0,0.0130
427.0,0.0132
428.0,0.0135
429.0,0.0137
430.0,0.0139
431.0,0.0141
432.0,0.0143
433.0,0.0145
434.0,0.0147
435.0,0.0150
436.0,0.0151
437.0,0.0154
438.0,0.0156
439.0,0.0159
440.0,0.0161
441.0,0.0162
442.0,0.0165
443.0,0.0167
444.0,0.0169
445.0,0.0171
446.0,0.0174
447.0,0.0175
448.0,0.0179
449.0,0.0180
450.0,0.0183
451.0,0.0184
452.0,0.0186
453.0,0.0190
454.0,0.0191
455.0,0.0194
456.0,0.0196
457.0,0.0199
458.0,0.0201
459.0,0.0203
460.0,0.0205
461.0,0.0208
462.0,0.0210
463.0,0.0214
464.0,0.0217
465.0,0.0218
466.0,0.0220
467.0,0.0222
468.0,0.0225
469.0,0.0228
470.0,0.0230
471.0,0.0232
472.0,0.0235
473.0,0.0236
474.0,0.0240
475.0,0.0242
476.0,0.0243
477.0,0.0246
478.0,0.0249
479.0,0.0251
480.0,0.0253
481.0,0.0255
482.0,0.0258
483.0,0.0260
484.0,0.0262
485.0,0.0265
486.0,0.0266
487.0,0.0269
488.0,0.0271
489.0,0.0274
490.0,0.0275
491.0,0.0279
492.0,0.0281
493.0,0.0284
494.0,0.0285
495.0,0.0287
496.0,0.0290
497.0,0.0293
498.0,0.0296
499.0,0.0298
500.0,0.0301
501.0,0.0304
502.0,0.0307
503.0,0.0310
504.0,0.0313
505.0,0.0316
506.0,0.0321
507.0,0.0324
508.0,0.0328
509.0,0.0332
