Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bc_27825_90min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 18:37:22
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0095
401.0,0.0095
402.0,0.0094
403.0,0.0095
404.0,0.0096
405.0,0.0097
406.0,0.0098
407.0,0.0098
408.0,0.0098
409.0,0.0099
410.0,0.0099
411.0,0.0100
412.0,0.0101
413.0,0.0103
414.0,0.0103
415.0,0.0104
416.0,0.0105
417.0,0.0105
418.0,0.0107
419.0,0.0107
420.0,0.0108
421.0,0.0111
422.0,0.0111
423.0,0.0113
424.0,0.0113
425.0,0.0114
426.0,0.0115
427.0,0.0117
428.0,0.0117
429.0,0.0118
430.0,0.0119
431.0,0.0121
432.0,0.0121
433.0,0.0123
434.0,0.0124
435.0,0.0126
436.0,0.0127
437.0,0.0128
438.0,0.0129
439.0,0.0130
440.0,0.0131
441.0,0.0132
442.0,0.0134
443.0,0.0134
444.0,0.0135
445.0,0.0136
446.0,0.0137
447.0,0.0138
448.0,0.0140
449.0,0.0140
450.0,0.0142
451.0,0.0143
452.0,0.0144
453.0,0.0144
454.0,0.0146
455.0,0.0147
456.0,0.0149
457.0,0.0150
458.0,0.0151
459.0,0.0152
460.0,0.0153
461.0,0.0154
462.0,0.0155
463.0,0.0157
464.0,0.0158
465.0,0.0161
466.0,0.0161
467.0,0.0163
468.0,0.0164
469.0,0.0164
470.0,0.0166
471.0,0.0167
472.0,0.0168
473.0,0.0169
474.0,0.0170
475.0,0.0172
476.0,0.0173
477.0,0.0174
478.0,0.0176
479.0,0.0176
480.0,0.0177
481.0,0.0178
482.0,0.0180
483.0,0.0182
484.0,0.0182
485.0,0.0183
486.0,0.0185
487.0,0.0187
488.0,0.0188
489.0,0.0189
490.0,0.0190
491.0,0.0192
492.0,0.0192
493.0,0.0195
494.0,0.0196
495.0,0.0197
496.0,0.0199
497.0,0.0201
498.0,0.0203
499.0,0.0204
500.0,0.0206
501.0,0.0208
502.0,0.0210
503.0,0.0212
504.0,0.0215
505.0,0.0218
506.0,0.0219
507.0,0.0222
508.0,0.0225
509.0,0.0227
510.0,0.0230
511.0,0.0233
512.0,0.0237
513.0,0.0239
514.0,0.0242
515.0,0.0245
516.0,0.0250
517.0,0.0252
518.0,0.0256
519.0,0.0260
520.0,0.0264
521.0,0.0268
522.0,0.0272
523.0,0.0276
524.0,0.0281
525.0,0.0284
526.0,0.0289
527.0,0.0294
528.0,0.0299
529.0,0.0304
530.0,0.0310
531.0,0.0314
532.0,0.0319
533.0,0.0325
534.0,0.0331
535.0,0.0338
536.0,0.0343
537.0,0.0350
538.0,0.0357
539.0,0.0363
540.0,0.0370
541.0,0.0378
542.0,0.0384
543.0,0.0391
544.0,0.0400
545.0,0.0407
546.0,0.0415
547.0,0.0424
548.0,0.0433
549.0,0.0441
550.0,0.0450
551.0,0.0461
552.0,0.0470
553.0,0.0479
554.0,0.0489
555.0,0.0500
556.0,0.0509
557.0,0.0519
558.0,0.0528
559.0,0.0539
560.0,0.0548
561.0,0.0558
562.0,0.0569
563.0,0.0579
564.0,0.0588
565.0,0.0598
566.0,0.0608
567.0,0.0619
568.0,0.0628
569.0,0.0637
570.0,0.0649
