Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_bd_28825_20min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 17:04:17
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0130
401.0,0.0127
402.0,0.0126
403.0,0.0126
404.0,0.0123
405.0,0.0122
406.0,0.0122
407.0,0.0120
408.0,0.0121
409.0,0.0121
410.0,0.0120
411.0,0.0121
412.0,0.0121
413.0,0.0121
414.0,0.0122
415.0,0.0123
416.0,0.0125
417.0,0.0126
418.0,0.0128
419.0,0.0129
420.0,0.0132
421.0,0.0134
422.0,0.0135
423.0,0.0138
424.0,0.0140
425.0,0.0142
426.0,0.0145
427.0,0.0147
428.0,0.0149
429.0,0.0152
430.0,0.0155
431.0,0.0158
432.0,0.0159
433.0,0.0163
434.0,0.0166
435.0,0.0169
436.0,0.0171
437.0,0.0175
438.0,0.0177
439.0,0.0181
440.0,0.0184
441.0,0.0186
442.0,0.0190
443.0,0.0192
444.0,0.0194
445.0,0.0199
446.0,0.0202
447.0,0.0204
448.0,0.0207
449.0,0.0211
450.0,0.0215
451.0,0.0218
452.0,0.0220
453.0,0.0224
454.0,0.0227
455.0,0.0231
456.0,0.0233
457.0,0.0238
458.0,0.0241
459.0,0.0243
460.0,0.0248
461.0,0.0252
462.0,0.0255
463.0,0.0259
464.0,0.0263
465.0,0.0266
466.0,0.0270
467.0,0.0273
468.0,0.0277
469.0,0.0280
470.0,0.0285
471.0,0.0287
472.0,0.0291
473.0,0.0294
474.0,0.0298
475.0,0.0301
476.0,0.0305
477.0,0.0308
478.0,0.0311
479.0,0.0315
