Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_c_27825_-30min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 14:23:58
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0074
401.0,0.0071
402.0,0.0068
403.0,0.0063
404.0,0.0059
405.0,0.0056
406.0,0.0052
407.0,0.0048
408.0,0.0043
409.0,0.0040
410.0,0.0038
411.0,0.0035
412.0,0.0034
413.0,0.0031
414.0,0.0029
415.0,0.0029
416.0,0.0028
417.0,0.0028
418.0,0.0029
419.0,0.0029
420.0,0.0028
421.0,0.0029
422.0,0.0030
423.0,0.0031
424.0,0.0031
425.0,0.0033
426.0,0.0033
427.0,0.0035
428.0,0.0037
429.0,0.0038
430.0,0.0039
431.0,0.0041
432.0,0.0043
433.0,0.0043
434.0,0.0046
435.0,0.0048
436.0,0.0050
437.0,0.0053
438.0,0.0055
439.0,0.0057
440.0,0.0059
441.0,0.0062
442.0,0.0064
443.0,0.0066
444.0,0.0069
445.0,0.0072
446.0,0.0074
447.0,0.0077
448.0,0.0080
449.0,0.0083
450.0,0.0086
451.0,0.0088
452.0,0.0092
453.0,0.0095
454.0,0.0098
455.0,0.0101
456.0,0.0105
457.0,0.0107
458.0,0.0110
459.0,0.0114
460.0,0.0118
461.0,0.0121
462.0,0.0124
463.0,0.0127
464.0,0.0130
465.0,0.0135
466.0,0.0137
467.0,0.0140
468.0,0.0144
469.0,0.0147
470.0,0.0150
471.0,0.0154
472.0,0.0157
473.0,0.0160
474.0,0.0163
475.0,0.0166
476.0,0.0171
477.0,0.0174
478.0,0.0178
479.0,0.0181
480.0,0.0185
481.0,0.0188
482.0,0.0192
483.0,0.0197
484.0,0.0200
485.0,0.0203
486.0,0.0206
487.0,0.0210
488.0,0.0213
489.0,0.0216
490.0,0.0219
491.0,0.0222
492.0,0.0224
493.0,0.0228
494.0,0.0229
495.0,0.0231
496.0,0.0232
497.0,0.0234
498.0,0.0236
499.0,0.0237
500.0,0.0238
501.0,0.0239
502.0,0.0239
503.0,0.0240
504.0,0.0241
505.0,0.0242
506.0,0.0241
507.0,0.0241
508.0,0.0243
509.0,0.0242
510.0,0.0243
511.0,0.0243
512.0,0.0245
513.0,0.0245
514.0,0.0246
515.0,0.0247
516.0,0.0249
517.0,0.0250
518.0,0.0253
519.0,0.0255
520.0,0.0258
521.0,0.0261
522.0,0.0264
523.0,0.0266
524.0,0.0271
525.0,0.0275
526.0,0.0281
527.0,0.0287
528.0,0.0292
529.0,0.0298
530.0,0.0306
531.0,0.0312
532.0,0.0320
533.0,0.0328
534.0,0.0338
535.0,0.0347
536.0,0.0357
537.0,0.0369
538.0,0.0380
539.0,0.0391
540.0,0.0404
541.0,0.0418
542.0,0.0431
543.0,0.0444
544.0,0.0460
545.0,0.0475
546.0,0.0491
547.0,0.0510
548.0,0.0528
549.0,0.0546
550.0,0.0565
551.0,0.0585
552.0,0.0606
553.0,0.0626
554.0,0.0648
555.0,0.0671
556.0,0.0693
557.0,0.0716
558.0,0.0737
559.0,0.0762
560.0,0.0785
561.0,0.0807
562.0,0.0831
563.0,0.0856
564.0,0.0880
565.0,0.0905
566.0,0.0930
567.0,0.0956
568.0,0.0982
569.0,0.1010
570.0,0.1040
571.0,0.1070
572.0,0.1103
573.0,0.1137
574.0,0.1171
575.0,0.1208
576.0,0.1247
577.0,0.1286
578.0,0.1329
579.0,0.1372
580.0,0.1419
581.0,0.1465
582.0,0.1515
583.0,0.1565
584.0,0.1617
585.0,0.1672
586.0,0.1728
587.0,0.1786
588.0,0.1846
589.0,0.1909
590.0,0.1973
591.0,0.2041
592.0,0.2108
593.0,0.2179
594.0,0.2249
595.0,0.2320
596.0,0.2396
597.0,0.2471
598.0,0.2543
599.0,0.2617
600.0,0.2689
601.0,0.2762
602.0,0.2830
603.0,0.2893
604.0,0.2958
605.0,0.3018
606.0,0.3072
607.0,0.3124
608.0,0.3172
609.0,0.3212
610.0,0.3250
611.0,0.3280
612.0,0.3307
613.0,0.3330
614.0,0.3350
615.0,0.3363
616.0,0.3377
617.0,0.3387
618.0,0.3395
619.0,0.3403
620.0,0.3411
621.0,0.3420
622.0,0.3430
623.0,0.3442
624.0,0.3458
625.0,0.3474
626.0,0.3498
627.0,0.3524
628.0,0.3554
629.0,0.3590
630.0,0.3632
631.0,0.3677
632.0,0.3728
633.0,0.3785
634.0,0.3847
635.0,0.3917
636.0,0.3992
637.0,0.4071
638.0,0.4157
639.0,0.4248
640.0,0.4341
641.0,0.4441
642.0,0.4545
643.0,0.4652
644.0,0.4762
645.0,0.4871
646.0,0.4978
647.0,0.5090
648.0,0.5199
649.0,0.5304
650.0,0.5409
651.0,0.5512
652.0,0.5608
653.0,0.5705
654.0,0.5795
655.0,0.5880
656.0,0.5962
657.0,0.6041
658.0,0.6114
659.0,0.6182
660.0,0.6243
661.0,0.6292
662.0,0.6331
663.0,0.6355
664.0,0.6362
665.0,0.6350
666.0,0.6313
667.0,0.6255
668.0,0.6172
669.0,0.6062
670.0,0.5928
671.0,0.5766
672.0,0.5582
673.0,0.5377
674.0,0.5146
675.0,0.4904
676.0,0.4649
677.0,0.4384
678.0,0.4108
679.0,0.3823
680.0,0.3540
681.0,0.3272
682.0,0.3009
683.0,0.2758
684.0,0.2517
685.0,0.2290
686.0,0.2079
687.0,0.1881
688.0,0.1698
689.0,0.1540
690.0,0.1392
691.0,0.1254
692.0,0.1131
693.0,0.1015
694.0,0.0913
695.0,0.0823
696.0,0.0738
697.0,0.0665
698.0,0.0602
699.0,0.0541
700.0,0.0487
701.0,0.0440
702.0,0.0396
703.0,0.0357
704.0,0.0323
705.0,0.0291
706.0,0.0263
707.0,0.0240
708.0,0.0217
709.0,0.0198
710.0,0.0180
711.0,0.0165
712.0,0.0151
713.0,0.0139
714.0,0.0126
715.0,0.0118
716.0,0.0108
717.0,0.0100
718.0,0.0093
719.0,0.0086
720.0,0.0080
721.0,0.0074
722.0,0.0069
723.0,0.0065
724.0,0.0061
725.0,0.0057
726.0,0.0054
727.0,0.0052
728.0,0.0047
729.0,0.0044
730.0,0.0042
731.0,0.0040
732.0,0.0036
733.0,0.0036
734.0,0.0033
735.0,0.0031
736.0,0.0030
737.0,0.0028
738.0,0.0027
739.0,0.0026
740.0,0.0024
741.0,0.0023
742.0,0.0022
743.0,0.0021
744.0,0.0020
745.0,0.0020
746.0,0.0018
747.0,0.0017
748.0,0.0017
749.0,0.0015
750.0,0.0015
751.0,0.0014
752.0,0.0013
753.0,0.0012
754.0,0.0013
755.0,0.0014
756.0,0.0012
757.0,0.0011
758.0,0.0011
759.0,0.0010
760.0,0.0011
761.0,0.0009
762.0,0.0008
763.0,0.0008
764.0,0.0009
765.0,0.0007
766.0,0.0007
767.0,0.0006
768.0,0.0006
769.0,0.0007
770.0,0.0007
771.0,0.0005
772.0,0.0006
773.0,0.0006
774.0,0.0003
775.0,0.0005
776.0,0.0005
777.0,0.0004
778.0,0.0004
779.0,0.0004
780.0,0.0003
781.0,0.0003
782.0,0.0003
783.0,0.0004
784.0,0.0002
785.0,0.0001
786.0,0.0001
787.0,0.0003
788.0,0.0002
789.0,0.0002
790.0,0.0002
791.0,0.0001
792.0,0.0003
793.0,0.0003
794.0,0.0001
795.0,0.0000
796.0,0.0001
797.0,-0.0000
798.0,-0.0000
799.0,0.0001
800.0,0.0001
