Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_c_27825_0min
Sample ID
Option
Analyst
Date/Time:,27/08/2025 14:22:08
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0084
401.0,0.0082
402.0,0.0077
403.0,0.0073
404.0,0.0068
405.0,0.0064
406.0,0.0059
407.0,0.0054
408.0,0.0050
409.0,0.0048
410.0,0.0044
411.0,0.0041
412.0,0.0039
413.0,0.0037
414.0,0.0035
415.0,0.0034
416.0,0.0034
417.0,0.0033
418.0,0.0033
419.0,0.0034
420.0,0.0033
421.0,0.0035
422.0,0.0035
423.0,0.0037
424.0,0.0037
425.0,0.0039
426.0,0.0039
427.0,0.0041
428.0,0.0044
429.0,0.0044
430.0,0.0045
431.0,0.0048
432.0,0.0050
433.0,0.0051
434.0,0.0053
435.0,0.0056
436.0,0.0057
437.0,0.0060
438.0,0.0062
439.0,0.0064
440.0,0.0067
441.0,0.0069
442.0,0.0073
443.0,0.0075
444.0,0.0078
445.0,0.0081
446.0,0.0084
447.0,0.0087
448.0,0.0090
449.0,0.0094
450.0,0.0097
451.0,0.0101
452.0,0.0103
453.0,0.0106
454.0,0.0110
455.0,0.0114
456.0,0.0118
457.0,0.0121
458.0,0.0125
459.0,0.0129
460.0,0.0133
461.0,0.0136
462.0,0.0139
463.0,0.0143
464.0,0.0146
465.0,0.0151
466.0,0.0154
467.0,0.0158
468.0,0.0162
469.0,0.0164
470.0,0.0168
471.0,0.0173
472.0,0.0176
473.0,0.0179
474.0,0.0183
475.0,0.0187
476.0,0.0190
477.0,0.0195
478.0,0.0199
479.0,0.0203
480.0,0.0206
481.0,0.0210
482.0,0.0215
483.0,0.0219
484.0,0.0223
485.0,0.0227
486.0,0.0230
487.0,0.0235
488.0,0.0238
489.0,0.0241
490.0,0.0245
491.0,0.0248
492.0,0.0251
493.0,0.0254
494.0,0.0256
495.0,0.0259
496.0,0.0259
497.0,0.0262
498.0,0.0264
499.0,0.0265
500.0,0.0266
501.0,0.0267
502.0,0.0267
503.0,0.0268
504.0,0.0269
505.0,0.0270
506.0,0.0270
507.0,0.0270
508.0,0.0272
509.0,0.0271
510.0,0.0272
511.0,0.0272
512.0,0.0273
513.0,0.0273
514.0,0.0275
515.0,0.0277
516.0,0.0279
517.0,0.0280
518.0,0.0283
519.0,0.0284
520.0,0.0288
521.0,0.0291
522.0,0.0295
523.0,0.0299
524.0,0.0304
525.0,0.0308
526.0,0.0315
527.0,0.0321
528.0,0.0328
529.0,0.0335
530.0,0.0342
531.0,0.0350
532.0,0.0360
533.0,0.0368
534.0,0.0379
535.0,0.0390
536.0,0.0402
537.0,0.0414
538.0,0.0426
539.0,0.0440
540.0,0.0454
541.0,0.0468
542.0,0.0484
543.0,0.0499
544.0,0.0517
545.0,0.0535
546.0,0.0553
547.0,0.0573
548.0,0.0592
549.0,0.0613
550.0,0.0635
551.0,0.0658
552.0,0.0681
553.0,0.0704
554.0,0.0729
555.0,0.0754
556.0,0.0779
557.0,0.0804
558.0,0.0829
559.0,0.0856
560.0,0.0881
561.0,0.0907
562.0,0.0933
563.0,0.0961
564.0,0.0988
565.0,0.1016
566.0,0.1044
567.0,0.1074
568.0,0.1103
569.0,0.1134
570.0,0.1167
571.0,0.1202
572.0,0.1237
573.0,0.1275
574.0,0.1315
575.0,0.1356
576.0,0.1400
577.0,0.1444
578.0,0.1491
579.0,0.1540
580.0,0.1593
581.0,0.1645
582.0,0.1701
583.0,0.1758
584.0,0.1815
585.0,0.1877
586.0,0.1940
587.0,0.2005
588.0,0.2074
589.0,0.2145
590.0,0.2216
591.0,0.2292
592.0,0.2368
593.0,0.2447
594.0,0.2527
595.0,0.2607
596.0,0.2692
597.0,0.2776
598.0,0.2856
599.0,0.2939
600.0,0.3020
601.0,0.3100
602.0,0.3178
603.0,0.3249
604.0,0.3321
605.0,0.3388
606.0,0.3447
607.0,0.3505
608.0,0.3557
