Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_cd_28825_-30min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 15:57:27
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0055
401.0,0.0052
402.0,0.0048
403.0,0.0045
404.0,0.0041
405.0,0.0037
406.0,0.0035
407.0,0.0031
408.0,0.0029
409.0,0.0026
410.0,0.0024
411.0,0.0022
412.0,0.0020
413.0,0.0019
414.0,0.0017
415.0,0.0017
416.0,0.0017
417.0,0.0016
418.0,0.0016
419.0,0.0016
420.0,0.0017
421.0,0.0018
422.0,0.0018
423.0,0.0018
424.0,0.0020
425.0,0.0021
426.0,0.0022
427.0,0.0023
428.0,0.0025
429.0,0.0025
430.0,0.0027
431.0,0.0029
432.0,0.0030
433.0,0.0032
434.0,0.0034
435.0,0.0036
436.0,0.0037
437.0,0.0040
438.0,0.0042
439.0,0.0044
440.0,0.0045
441.0,0.0048
442.0,0.0050
443.0,0.0052
444.0,0.0055
445.0,0.0057
446.0,0.0060
447.0,0.0061
448.0,0.0064
449.0,0.0067
450.0,0.0070
451.0,0.0072
452.0,0.0075
453.0,0.0078
454.0,0.0080
455.0,0.0084
456.0,0.0086
457.0,0.0089
458.0,0.0092
459.0,0.0095
460.0,0.0098
461.0,0.0101
462.0,0.0104
463.0,0.0107
464.0,0.0110
465.0,0.0112
466.0,0.0116
467.0,0.0118
468.0,0.0121
469.0,0.0124
470.0,0.0127
471.0,0.0129
472.0,0.0132
473.0,0.0136
474.0,0.0138
475.0,0.0142
476.0,0.0145
477.0,0.0147
478.0,0.0151
479.0,0.0154
480.0,0.0158
481.0,0.0161
482.0,0.0163
483.0,0.0167
484.0,0.0170
485.0,0.0173
486.0,0.0176
487.0,0.0178
488.0,0.0181
489.0,0.0185
490.0,0.0187
491.0,0.0190
492.0,0.0193
493.0,0.0194
494.0,0.0196
495.0,0.0198
496.0,0.0199
497.0,0.0201
498.0,0.0202
499.0,0.0203
500.0,0.0204
501.0,0.0205
502.0,0.0206
503.0,0.0206
504.0,0.0207
505.0,0.0207
506.0,0.0207
507.0,0.0208
508.0,0.0209
509.0,0.0208
510.0,0.0209
511.0,0.0210
512.0,0.0211
513.0,0.0211
514.0,0.0213
515.0,0.0213
516.0,0.0215
517.0,0.0217
518.0,0.0220
519.0,0.0221
520.0,0.0223
521.0,0.0226
522.0,0.0229
523.0,0.0234
524.0,0.0237
525.0,0.0241
526.0,0.0245
527.0,0.0249
528.0,0.0255
529.0,0.0261
530.0,0.0268
531.0,0.0273
532.0,0.0281
533.0,0.0288
534.0,0.0297
535.0,0.0305
536.0,0.0314
537.0,0.0325
538.0,0.0335
539.0,0.0346
540.0,0.0356
541.0,0.0368
542.0,0.0379
543.0,0.0393
544.0,0.0407
545.0,0.0420
546.0,0.0435
547.0,0.0449
548.0,0.0465
549.0,0.0482
550.0,0.0499
551.0,0.0517
552.0,0.0536
553.0,0.0554
554.0,0.0573
555.0,0.0593
556.0,0.0612
557.0,0.0632
558.0,0.0652
559.0,0.0673
560.0,0.0695
561.0,0.0714
562.0,0.0735
563.0,0.0757
564.0,0.0779
565.0,0.0800
566.0,0.0823
567.0,0.0846
568.0,0.0869
569.0,0.0893
570.0,0.0920
571.0,0.0947
572.0,0.0977
573.0,0.1006
574.0,0.1037
575.0,0.1069
576.0,0.1104
577.0,0.1139
578.0,0.1176
579.0,0.1216
580.0,0.1256
581.0,0.1297
582.0,0.1341
583.0,0.1386
584.0,0.1432
585.0,0.1480
586.0,0.1529
587.0,0.1581
588.0,0.1635
589.0,0.1690
590.0,0.1746
591.0,0.1805
592.0,0.1866
593.0,0.1927
594.0,0.1988
595.0,0.2052
596.0,0.2119
597.0,0.2185
598.0,0.2246
599.0,0.2313
600.0,0.2374
601.0,0.2438
602.0,0.2498
603.0,0.2556
604.0,0.2612
605.0,0.2664
606.0,0.2713
607.0,0.2759
608.0,0.2800
609.0,0.2837
610.0,0.2870
611.0,0.2899
612.0,0.2922
613.0,0.2945
614.0,0.2962
615.0,0.2977
616.0,0.2988
617.0,0.2998
618.0,0.3008
619.0,0.3017
620.0,0.3024
621.0,0.3033
622.0,0.3043
623.0,0.3056
624.0,0.3069
625.0,0.3086
626.0,0.3108
627.0,0.3133
628.0,0.3160
629.0,0.3193
630.0,0.3230
631.0,0.3270
632.0,0.3314
633.0,0.3366
634.0,0.3419
635.0,0.3481
636.0,0.3546
637.0,0.3613
638.0,0.3689
639.0,0.3768
640.0,0.3850
641.0,0.3937
642.0,0.4027
643.0,0.4119
644.0,0.4215
645.0,0.4308
646.0,0.4401
647.0,0.4498
648.0,0.4591
649.0,0.4682
650.0,0.4771
651.0,0.4860
652.0,0.4943
653.0,0.5025
654.0,0.5101
655.0,0.5172
656.0,0.5242
657.0,0.5310
658.0,0.5370
659.0,0.5428
660.0,0.5479
661.0,0.5520
662.0,0.5552
663.0,0.5571
664.0,0.5575
665.0,0.5560
666.0,0.5528
667.0,0.5476
668.0,0.5401
669.0,0.5303
670.0,0.5181
671.0,0.5039
672.0,0.4875
673.0,0.4693
674.0,0.4489
675.0,0.4274
676.0,0.4050
677.0,0.3810
678.0,0.3567
679.0,0.3315
680.0,0.3071
681.0,0.2834
682.0,0.2604
683.0,0.2379
684.0,0.2169
685.0,0.1968
686.0,0.1784
687.0,0.1612
688.0,0.1454
689.0,0.1317
690.0,0.1187
691.0,0.1067
692.0,0.0959
693.0,0.0859
694.0,0.0773
695.0,0.0696
696.0,0.0623
697.0,0.0559
698.0,0.0504
699.0,0.0452
700.0,0.0405
701.0,0.0366
702.0,0.0328
703.0,0.0295
704.0,0.0265
705.0,0.0239
706.0,0.0215
707.0,0.0194
708.0,0.0175
709.0,0.0158
710.0,0.0144
711.0,0.0130
712.0,0.0119
713.0,0.0108
714.0,0.0099
715.0,0.0090
716.0,0.0083
717.0,0.0075
718.0,0.0070
719.0,0.0065
720.0,0.0058
721.0,0.0054
722.0,0.0050
723.0,0.0047
724.0,0.0043
725.0,0.0040
726.0,0.0036
727.0,0.0034
728.0,0.0032
729.0,0.0029
730.0,0.0027
731.0,0.0024
732.0,0.0023
733.0,0.0021
734.0,0.0020
735.0,0.0019
736.0,0.0018
737.0,0.0016
738.0,0.0016
739.0,0.0013
740.0,0.0012
741.0,0.0013
742.0,0.0013
743.0,0.0011
744.0,0.0011
745.0,0.0010
746.0,0.0008
747.0,0.0008
748.0,0.0008
749.0,0.0007
750.0,0.0007
751.0,0.0007
752.0,0.0007
753.0,0.0005
754.0,0.0004
755.0,0.0005
756.0,0.0005
757.0,0.0004
758.0,0.0005
759.0,0.0004
760.0,0.0004
761.0,0.0004
762.0,0.0002
763.0,0.0002
764.0,0.0002
765.0,0.0002
766.0,0.0001
767.0,0.0001
768.0,0.0002
769.0,0.0001
770.0,0.0001
771.0,0.0000
772.0,0.0000
773.0,0.0002
774.0,0.0000
775.0,0.0002
776.0,0.0001
777.0,0.0001
778.0,0.0000
779.0,0.0001
780.0,-0.0001
781.0,0.0000
782.0,-0.0000
783.0,0.0001
784.0,-0.0001
785.0,-0.0001
786.0,-0.0001
787.0,-0.0000
788.0,0.0000
789.0,0.0001
790.0,-0.0000
791.0,-0.0001
792.0,-0.0001
793.0,-0.0000
794.0,0.0001
795.0,0.0001
796.0,0.0000
797.0,0.0000
798.0,0.0001
799.0,-0.0000
800.0,0.0001
