Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova_cd_28825_20min
Sample ID
Option
Analyst
Date/Time:,28/08/2025 15:51:02
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0036
401.0,0.0036
402.0,0.0037
403.0,0.0037
404.0,0.0037
405.0,0.0036
406.0,0.0037
407.0,0.0038
408.0,0.0039
409.0,0.0038
410.0,0.0039
411.0,0.0040
412.0,0.0040
413.0,0.0041
414.0,0.0040
415.0,0.0041
416.0,0.0043
417.0,0.0043
418.0,0.0044
419.0,0.0044
420.0,0.0044
421.0,0.0045
422.0,0.0045
423.0,0.0046
424.0,0.0047
425.0,0.0047
426.0,0.0048
427.0,0.0048
428.0,0.0050
429.0,0.0049
430.0,0.0050
431.0,0.0051
432.0,0.0051
433.0,0.0052
434.0,0.0052
435.0,0.0054
436.0,0.0053
437.0,0.0054
438.0,0.0054
439.0,0.0055
440.0,0.0055
441.0,0.0055
442.0,0.0056
443.0,0.0057
444.0,0.0057
445.0,0.0058
446.0,0.0059
447.0,0.0058
448.0,0.0059
449.0,0.0059
450.0,0.0059
451.0,0.0060
452.0,0.0060
453.0,0.0061
454.0,0.0061
455.0,0.0062
456.0,0.0061
457.0,0.0062
458.0,0.0063
459.0,0.0062
460.0,0.0063
461.0,0.0064
462.0,0.0063
463.0,0.0065
464.0,0.0065
465.0,0.0065
466.0,0.0066
467.0,0.0066
468.0,0.0067
469.0,0.0067
470.0,0.0067
471.0,0.0067
472.0,0.0066
473.0,0.0067
474.0,0.0067
475.0,0.0067
476.0,0.0068
477.0,0.0067
478.0,0.0068
479.0,0.0068
480.0,0.0069
481.0,0.0069
482.0,0.0069
483.0,0.0070
484.0,0.0070
485.0,0.0070
486.0,0.0070
487.0,0.0071
488.0,0.0070
489.0,0.0072
490.0,0.0071
491.0,0.0073
492.0,0.0073
493.0,0.0073
494.0,0.0074
495.0,0.0074
496.0,0.0074
497.0,0.0075
498.0,0.0076
499.0,0.0075
500.0,0.0076
501.0,0.0077
502.0,0.0078
503.0,0.0078
504.0,0.0079
505.0,0.0080
506.0,0.0081
507.0,0.0081
508.0,0.0082
509.0,0.0084
510.0,0.0085
511.0,0.0085
512.0,0.0086
513.0,0.0087
514.0,0.0088
515.0,0.0089
516.0,0.0091
517.0,0.0092
518.0,0.0093
519.0,0.0094
520.0,0.0095
521.0,0.0096
522.0,0.0097
523.0,0.0099
524.0,0.0101
525.0,0.0102
526.0,0.0103
527.0,0.0104
528.0,0.0106
529.0,0.0107
530.0,0.0109
531.0,0.0109
532.0,0.0111
533.0,0.0113
534.0,0.0115
535.0,0.0117
536.0,0.0119
537.0,0.0122
538.0,0.0123
539.0,0.0125
540.0,0.0127
541.0,0.0129
542.0,0.0132
543.0,0.0133
544.0,0.0137
545.0,0.0138
546.0,0.0140
547.0,0.0143
548.0,0.0145
549.0,0.0149
550.0,0.0150
