Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,8ppmMB
Sample ID
Option
Analyst
Date/Time:,07/07/2025 11:28:37
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.5744
301.0,0.5289
302.0,0.4841
303.0,0.4419
304.0,0.4021
305.0,0.3663
306.0,0.3328
307.0,0.3041
308.0,0.2800
309.0,0.2593
310.0,0.2421
311.0,0.2290
312.0,0.2184
313.0,0.2095
314.0,0.2026
315.0,0.1965
316.0,0.1914
317.0,0.1870
318.0,0.1829
319.0,0.1794
320.0,0.1762
321.0,0.1734
322.0,0.1709
323.0,0.1687
324.0,0.1668
325.0,0.1646
326.0,0.1620
327.0,0.1588
328.0,0.1550
329.0,0.1501
330.0,0.1440
331.0,0.1370
332.0,0.1296
333.0,0.1214
334.0,0.1132
335.0,0.1046
336.0,0.0962
337.0,0.0881
338.0,0.0808
339.0,0.0735
340.0,0.0674
341.0,0.0620
342.0,0.0569
343.0,0.0525
344.0,0.0489
345.0,0.0455
346.0,0.0424
347.0,0.0397
348.0,0.0374
349.0,0.0353
350.0,0.0334
351.0,0.0316
352.0,0.0300
353.0,0.0285
354.0,0.0271
355.0,0.0254
356.0,0.0244
357.0,0.0230
358.0,0.0220
359.0,0.0210
360.0,0.0200
361.0,0.0192
362.0,0.0185
363.0,0.0179
364.0,0.0174
365.0,0.0169
366.0,0.0168
367.0,0.0164
368.0,0.0163
369.0,0.0161
370.0,0.0162
371.0,0.0163
372.0,0.0163
373.0,0.0161
374.0,0.0164
375.0,0.0165
376.0,0.0166
377.0,0.0168
378.0,0.0169
379.0,0.0171
380.0,0.0174
381.0,0.0176
382.0,0.0179
383.0,0.0181
384.0,0.0184
385.0,0.0189
386.0,0.0193
387.0,0.0196
388.0,0.0201
389.0,0.0203
390.0,0.0206
391.0,0.0209
392.0,0.0210
393.0,0.0210
394.0,0.0210
395.0,0.0208
396.0,0.0205
397.0,0.0201
398.0,0.0195
399.0,0.0188
400.0,0.0180
401.0,0.0172
402.0,0.0162
403.0,0.0154
404.0,0.0143
405.0,0.0133
406.0,0.0124
407.0,0.0114
408.0,0.0106
409.0,0.0098
410.0,0.0091
411.0,0.0084
412.0,0.0079
413.0,0.0074
414.0,0.0071
415.0,0.0069
416.0,0.0067
417.0,0.0066
418.0,0.0066
419.0,0.0065
420.0,0.0066
421.0,0.0068
422.0,0.0070
423.0,0.0072
424.0,0.0073
425.0,0.0076
426.0,0.0080
427.0,0.0082
428.0,0.0085
429.0,0.0090
430.0,0.0094
431.0,0.0098
432.0,0.0101
433.0,0.0106
434.0,0.0111
435.0,0.0114
436.0,0.0120
437.0,0.0125
438.0,0.0130
439.0,0.0135
440.0,0.0142
441.0,0.0147
442.0,0.0152
443.0,0.0159
444.0,0.0166
445.0,0.0173
446.0,0.0179
447.0,0.0186
448.0,0.0193
449.0,0.0201
450.0,0.0208
451.0,0.0215
452.0,0.0223
453.0,0.0229
454.0,0.0237
455.0,0.0245
456.0,0.0253
457.0,0.0260
458.0,0.0269
459.0,0.0278
460.0,0.0286
461.0,0.0294
462.0,0.0302
463.0,0.0310
464.0,0.0319
465.0,0.0328
466.0,0.0335
467.0,0.0343
468.0,0.0352
469.0,0.0361
470.0,0.0369
471.0,0.0377
472.0,0.0386
473.0,0.0393
474.0,0.0402
475.0,0.0411
476.0,0.0420
477.0,0.0429
478.0,0.0438
479.0,0.0446
480.0,0.0456
481.0,0.0465
482.0,0.0474
483.0,0.0484
484.0,0.0494
485.0,0.0503
486.0,0.0512
487.0,0.0521
488.0,0.0529
489.0,0.0537
490.0,0.0544
491.0,0.0552
492.0,0.0559
493.0,0.0566
494.0,0.0571
495.0,0.0577
496.0,0.0582
497.0,0.0586
498.0,0.0590
499.0,0.0593
500.0,0.0597
501.0,0.0600
502.0,0.0602
503.0,0.0605
504.0,0.0607
505.0,0.0607
506.0,0.0610
507.0,0.0611
508.0,0.0613
509.0,0.0615
510.0,0.0617
511.0,0.0618
512.0,0.0622
513.0,0.0623
514.0,0.0628
515.0,0.0632
516.0,0.0637
517.0,0.0641
518.0,0.0646
519.0,0.0653
520.0,0.0661
521.0,0.0669
522.0,0.0680
523.0,0.0690
524.0,0.0701
525.0,0.0714
526.0,0.0728
527.0,0.0741
528.0,0.0757
529.0,0.0775
530.0,0.0795
531.0,0.0814
532.0,0.0836
533.0,0.0858
534.0,0.0882
535.0,0.0909
536.0,0.0935
537.0,0.0964
538.0,0.0994
539.0,0.1024
540.0,0.1059
541.0,0.1094
542.0,0.1129
543.0,0.1168
544.0,0.1207
545.0,0.1247
546.0,0.1290
547.0,0.1338
548.0,0.1385
549.0,0.1434
550.0,0.1486
551.0,0.1540
552.0,0.1593
553.0,0.1646
554.0,0.1704
555.0,0.1759
556.0,0.1819
557.0,0.1878
558.0,0.1938
559.0,0.1996
560.0,0.2057
561.0,0.2115
562.0,0.2174
563.0,0.2238
564.0,0.2301
565.0,0.2365
566.0,0.2431
567.0,0.2497
568.0,0.2566
569.0,0.2637
570.0,0.2713
571.0,0.2792
572.0,0.2878
573.0,0.2966
574.0,0.3058
575.0,0.3155
576.0,0.3255
577.0,0.3360
578.0,0.3471
579.0,0.3589
580.0,0.3713
581.0,0.3840
582.0,0.3974
583.0,0.4109
584.0,0.4249
585.0,0.4397
586.0,0.4550
587.0,0.4711
588.0,0.4877
589.0,0.5046
590.0,0.5219
591.0,0.5402
592.0,0.5591
593.0,0.5786
594.0,0.5981
595.0,0.6182
596.0,0.6388
597.0,0.6590
598.0,0.6783
599.0,0.6986
600.0,0.7178
601.0,0.7376
602.0,0.7561
603.0,0.7730
604.0,0.7894
605.0,0.8044
606.0,0.8179
607.0,0.8307
608.0,0.8418
609.0,0.8514
610.0,0.8594
611.0,0.8656
612.0,0.8703
613.0,0.8740
614.0,0.8761
615.0,0.8773
616.0,0.8777
617.0,0.8773
618.0,0.8762
619.0,0.8750
620.0,0.8738
621.0,0.8725
622.0,0.8716
623.0,0.8714
624.0,0.8719
625.0,0.8733
626.0,0.8758
627.0,0.8793
628.0,0.8841
629.0,0.8901
630.0,0.8977
631.0,0.9063
632.0,0.9166
633.0,0.9281
634.0,0.9411
635.0,0.9558
636.0,0.9716
637.0,0.9893
638.0,1.0085
639.0,1.0289
640.0,1.0504
641.0,1.0732
642.0,1.0967
643.0,1.1205
644.0,1.1462
645.0,1.1714
646.0,1.1965
647.0,1.2225
648.0,1.2477
649.0,1.2722
650.0,1.2966
651.0,1.3204
652.0,1.3437
653.0,1.3655
654.0,1.3868
655.0,1.4062
656.0,1.4255
657.0,1.4439
658.0,1.4602
659.0,1.4761
660.0,1.4900
661.0,1.5018
662.0,1.5103
663.0,1.5158
664.0,1.5174
665.0,1.5138
666.0,1.5057
667.0,1.4921
668.0,1.4725
669.0,1.4464
670.0,1.4146
671.0,1.3767
672.0,1.3340
673.0,1.2860
674.0,1.2313
675.0,1.1731
676.0,1.1127
677.0,1.0493
678.0,0.9854
679.0,0.9189
680.0,0.8525
681.0,0.7891
682.0,0.7263
683.0,0.6662
684.0,0.6098
685.0,0.5560
686.0,0.5069
687.0,0.4606
688.0,0.4167
689.0,0.3784
690.0,0.3432
691.0,0.3102
692.0,0.2808
693.0,0.2541
694.0,0.2301
695.0,0.2084
696.0,0.1879
697.0,0.1704
698.0,0.1547
699.0,0.1399
700.0,0.1269
701.0,0.1158
702.0,0.1050
703.0,0.0956
704.0,0.0871
705.0,0.0793
706.0,0.0724
707.0,0.0664
708.0,0.0610
709.0,0.0562
710.0,0.0517
711.0,0.0477
712.0,0.0441
713.0,0.0410
714.0,0.0381
715.0,0.0354
716.0,0.0331
717.0,0.0309
718.0,0.0290
719.0,0.0271
720.0,0.0256
721.0,0.0239
722.0,0.0225
723.0,0.0212
724.0,0.0199
725.0,0.0188
726.0,0.0178
727.0,0.0166
728.0,0.0158
729.0,0.0150
730.0,0.0140
731.0,0.0135
732.0,0.0127
733.0,0.0120
734.0,0.0114
735.0,0.0109
736.0,0.0104
737.0,0.0097
738.0,0.0094
739.0,0.0088
740.0,0.0084
741.0,0.0081
742.0,0.0076
743.0,0.0074
744.0,0.0069
745.0,0.0066
746.0,0.0062
747.0,0.0059
748.0,0.0056
749.0,0.0054
750.0,0.0051
751.0,0.0047
752.0,0.0046
753.0,0.0043
754.0,0.0041
755.0,0.0039
756.0,0.0038
757.0,0.0036
758.0,0.0035
759.0,0.0032
760.0,0.0031
761.0,0.0027
762.0,0.0025
763.0,0.0023
764.0,0.0022
765.0,0.0020
766.0,0.0021
767.0,0.0020
768.0,0.0016
769.0,0.0017
770.0,0.0016
771.0,0.0015
772.0,0.0014
773.0,0.0014
774.0,0.0013
775.0,0.0011
776.0,0.0010
777.0,0.0009
778.0,0.0009
779.0,0.0008
780.0,0.0009
781.0,0.0007
782.0,0.0006
783.0,0.0005
784.0,0.0007
785.0,0.0004
786.0,0.0006
787.0,0.0004
788.0,0.0002
789.0,0.0004
790.0,0.0003
791.0,0.0002
792.0,0.0002
793.0,0.0000
794.0,0.0001
795.0,0.0001
796.0,-0.0000
797.0,0.0001
798.0,0.0000
799.0,-0.0001
800.0,-0.0001
