Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova1_7725_20min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 14:21:28
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.1995
301.0,0.1848
302.0,0.1708
303.0,0.1575
304.0,0.1457
305.0,0.1357
306.0,0.1270
307.0,0.1194
308.0,0.1132
309.0,0.1078
310.0,0.1032
311.0,0.0998
312.0,0.0972
313.0,0.0947
314.0,0.0928
315.0,0.0913
316.0,0.0896
317.0,0.0883
318.0,0.0867
319.0,0.0852
320.0,0.0840
321.0,0.0828
322.0,0.0811
323.0,0.0797
324.0,0.0782
325.0,0.0764
326.0,0.0745
327.0,0.0722
328.0,0.0697
329.0,0.0669
330.0,0.0640
331.0,0.0606
332.0,0.0575
333.0,0.0540
334.0,0.0507
335.0,0.0474
336.0,0.0445
337.0,0.0416
338.0,0.0390
339.0,0.0368
340.0,0.0346
341.0,0.0328
342.0,0.0308
343.0,0.0295
344.0,0.0282
345.0,0.0270
346.0,0.0258
347.0,0.0248
348.0,0.0239
349.0,0.0230
350.0,0.0224
351.0,0.0215
352.0,0.0210
353.0,0.0202
354.0,0.0198
355.0,0.0193
356.0,0.0189
357.0,0.0184
358.0,0.0181
359.0,0.0177
360.0,0.0175
361.0,0.0170
362.0,0.0167
363.0,0.0165
364.0,0.0164
365.0,0.0160
366.0,0.0159
367.0,0.0158
368.0,0.0157
369.0,0.0157
370.0,0.0156
371.0,0.0155
372.0,0.0154
373.0,0.0150
374.0,0.0150
375.0,0.0150
376.0,0.0150
377.0,0.0150
378.0,0.0150
379.0,0.0149
380.0,0.0150
381.0,0.0149
382.0,0.0149
383.0,0.0149
384.0,0.0149
385.0,0.0148
386.0,0.0148
387.0,0.0148
388.0,0.0147
389.0,0.0144
390.0,0.0143
391.0,0.0142
392.0,0.0141
393.0,0.0139
394.0,0.0137
395.0,0.0135
396.0,0.0134
397.0,0.0130
398.0,0.0130
399.0,0.0127
400.0,0.0125
401.0,0.0124
402.0,0.0121
403.0,0.0121
404.0,0.0120
405.0,0.0120
406.0,0.0119
407.0,0.0117
408.0,0.0118
409.0,0.0118
410.0,0.0118
411.0,0.0118
412.0,0.0119
413.0,0.0120
414.0,0.0121
415.0,0.0123
416.0,0.0125
417.0,0.0125
418.0,0.0126
419.0,0.0128
420.0,0.0130
421.0,0.0133
422.0,0.0135
423.0,0.0137
424.0,0.0139
425.0,0.0141
426.0,0.0143
427.0,0.0145
428.0,0.0148
429.0,0.0151
430.0,0.0154
431.0,0.0157
432.0,0.0159
433.0,0.0162
434.0,0.0165
435.0,0.0169
436.0,0.0171
437.0,0.0174
438.0,0.0177
439.0,0.0181
440.0,0.0184
441.0,0.0186
442.0,0.0189
443.0,0.0192
444.0,0.0195
445.0,0.0198
446.0,0.0202
447.0,0.0205
448.0,0.0209
449.0,0.0212
450.0,0.0216
451.0,0.0219
452.0,0.0223
453.0,0.0226
454.0,0.0229
455.0,0.0234
456.0,0.0236
457.0,0.0240
458.0,0.0242
459.0,0.0247
460.0,0.0252
461.0,0.0255
462.0,0.0258
463.0,0.0262
464.0,0.0267
465.0,0.0270
466.0,0.0273
467.0,0.0278
468.0,0.0281
469.0,0.0286
470.0,0.0290
471.0,0.0293
472.0,0.0297
473.0,0.0300
474.0,0.0303
475.0,0.0308
476.0,0.0312
477.0,0.0316
478.0,0.0319
479.0,0.0323
480.0,0.0326
481.0,0.0330
482.0,0.0333
483.0,0.0337
484.0,0.0340
485.0,0.0344
486.0,0.0349
487.0,0.0351
488.0,0.0354
489.0,0.0357
490.0,0.0360
491.0,0.0363
492.0,0.0366
493.0,0.0369
494.0,0.0373
495.0,0.0377
496.0,0.0380
497.0,0.0382
498.0,0.0386
499.0,0.0389
500.0,0.0392
501.0,0.0396
502.0,0.0400
503.0,0.0404
504.0,0.0407
505.0,0.0411
506.0,0.0417
507.0,0.0420
508.0,0.0426
509.0,0.0431
510.0,0.0436
511.0,0.0440
512.0,0.0447
513.0,0.0453
514.0,0.0460
515.0,0.0466
516.0,0.0472
517.0,0.0479
518.0,0.0486
519.0,0.0494
520.0,0.0503
521.0,0.0512
522.0,0.0523
523.0,0.0531
524.0,0.0541
525.0,0.0552
526.0,0.0562
527.0,0.0574
528.0,0.0587
529.0,0.0599
530.0,0.0612
531.0,0.0626
532.0,0.0641
533.0,0.0656
534.0,0.0671
535.0,0.0687
536.0,0.0703
537.0,0.0719
538.0,0.0737
539.0,0.0755
540.0,0.0774
541.0,0.0792
542.0,0.0813
543.0,0.0833
544.0,0.0855
545.0,0.0876
546.0,0.0898
547.0,0.0922
548.0,0.0945
549.0,0.0969
550.0,0.0995
551.0,0.1023
552.0,0.1048
553.0,0.1076
554.0,0.1104
555.0,0.1133
556.0,0.1163
557.0,0.1193
558.0,0.1224
559.0,0.1254
560.0,0.1287
561.0,0.1318
562.0,0.1349
563.0,0.1384
564.0,0.1418
565.0,0.1452
566.0,0.1488
567.0,0.1524
568.0,0.1560
569.0,0.1597
570.0,0.1637
571.0,0.1676
572.0,0.1720
573.0,0.1762
574.0,0.1806
575.0,0.1850
576.0,0.1896
577.0,0.1942
578.0,0.1988
579.0,0.2035
580.0,0.2084
581.0,0.2132
582.0,0.2181
583.0,0.2229
584.0,0.2276
585.0,0.2325
586.0,0.2374
587.0,0.2422
588.0,0.2471
589.0,0.2522
590.0,0.2571
591.0,0.2619
592.0,0.2669
593.0,0.2718
594.0,0.2767
595.0,0.2815
596.0,0.2864
597.0,0.2912
598.0,0.2956
599.0,0.3002
600.0,0.3044
601.0,0.3087
602.0,0.3128
603.0,0.3167
604.0,0.3205
605.0,0.3242
606.0,0.3277
607.0,0.3312
608.0,0.3345
609.0,0.3378
610.0,0.3409
611.0,0.3438
612.0,0.3467
613.0,0.3496
614.0,0.3523
615.0,0.3549
616.0,0.3577
617.0,0.3602
618.0,0.3628
619.0,0.3653
620.0,0.3678
621.0,0.3702
622.0,0.3728
623.0,0.3753
624.0,0.3776
625.0,0.3802
626.0,0.3827
627.0,0.3854
628.0,0.3878
629.0,0.3903
630.0,0.3929
631.0,0.3953
632.0,0.3976
633.0,0.4000
634.0,0.4021
635.0,0.4040
636.0,0.4059
637.0,0.4073
638.0,0.4088
639.0,0.4098
640.0,0.4109
641.0,0.4116
642.0,0.4123
643.0,0.4127
644.0,0.4130
645.0,0.4129
646.0,0.4126
647.0,0.4121
648.0,0.4112
649.0,0.4100
650.0,0.4083
651.0,0.4064
652.0,0.4037
653.0,0.4007
654.0,0.3972
655.0,0.3931
656.0,0.3884
657.0,0.3832
658.0,0.3776
659.0,0.3711
660.0,0.3642
661.0,0.3569
662.0,0.3490
663.0,0.3407
664.0,0.3320
665.0,0.3226
666.0,0.3133
667.0,0.3033
668.0,0.2929
669.0,0.2823
670.0,0.2712
671.0,0.2596
672.0,0.2479
673.0,0.2359
674.0,0.2235
675.0,0.2112
676.0,0.1989
677.0,0.1865
678.0,0.1740
679.0,0.1617
680.0,0.1498
681.0,0.1386
682.0,0.1279
683.0,0.1175
684.0,0.1079
685.0,0.0988
686.0,0.0905
687.0,0.0826
688.0,0.0753
689.0,0.0690
690.0,0.0632
691.0,0.0578
692.0,0.0528
693.0,0.0483
694.0,0.0442
695.0,0.0406
696.0,0.0372
697.0,0.0342
698.0,0.0315
699.0,0.0290
700.0,0.0267
701.0,0.0247
702.0,0.0226
703.0,0.0211
704.0,0.0196
705.0,0.0180
706.0,0.0168
707.0,0.0157
708.0,0.0146
709.0,0.0135
710.0,0.0126
711.0,0.0118
712.0,0.0111
713.0,0.0103
714.0,0.0099
715.0,0.0093
716.0,0.0087
717.0,0.0083
718.0,0.0077
719.0,0.0074
720.0,0.0070
721.0,0.0066
722.0,0.0062
723.0,0.0060
724.0,0.0056
725.0,0.0054
726.0,0.0051
727.0,0.0049
728.0,0.0046
729.0,0.0044
730.0,0.0043
731.0,0.0040
732.0,0.0038
733.0,0.0037
734.0,0.0035
735.0,0.0034
736.0,0.0032
737.0,0.0030
738.0,0.0030
739.0,0.0028
740.0,0.0027
741.0,0.0027
742.0,0.0026
743.0,0.0025
744.0,0.0025
745.0,0.0023
746.0,0.0022
747.0,0.0021
748.0,0.0020
749.0,0.0020
750.0,0.0019
751.0,0.0018
752.0,0.0020
753.0,0.0017
754.0,0.0016
755.0,0.0017
756.0,0.0016
757.0,0.0015
758.0,0.0016
759.0,0.0014
760.0,0.0014
761.0,0.0012
762.0,0.0010
763.0,0.0011
764.0,0.0012
765.0,0.0010
766.0,0.0010
767.0,0.0009
768.0,0.0009
769.0,0.0008
770.0,0.0009
771.0,0.0009
772.0,0.0008
773.0,0.0007
774.0,0.0008
775.0,0.0007
776.0,0.0009
777.0,0.0007
778.0,0.0005
779.0,0.0007
780.0,0.0006
781.0,0.0006
782.0,0.0005
783.0,0.0004
784.0,0.0006
785.0,0.0005
