Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova2_7725_20min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 15:57:29
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.1953
301.0,0.1819
302.0,0.1685
303.0,0.1563
304.0,0.1451
305.0,0.1353
306.0,0.1270
307.0,0.1193
308.0,0.1134
309.0,0.1082
310.0,0.1034
311.0,0.1001
312.0,0.0974
313.0,0.0951
314.0,0.0932
315.0,0.0915
316.0,0.0898
317.0,0.0883
318.0,0.0871
319.0,0.0856
320.0,0.0843
321.0,0.0830
322.0,0.0818
323.0,0.0804
324.0,0.0791
325.0,0.0775
326.0,0.0758
327.0,0.0737
328.0,0.0714
329.0,0.0687
330.0,0.0661
331.0,0.0631
332.0,0.0600
333.0,0.0568
334.0,0.0537
335.0,0.0504
336.0,0.0475
337.0,0.0447
338.0,0.0421
339.0,0.0399
340.0,0.0378
341.0,0.0361
342.0,0.0344
343.0,0.0328
344.0,0.0316
345.0,0.0306
346.0,0.0294
347.0,0.0284
348.0,0.0275
349.0,0.0267
350.0,0.0261
351.0,0.0252
352.0,0.0248
353.0,0.0241
354.0,0.0237
355.0,0.0232
356.0,0.0229
357.0,0.0223
358.0,0.0219
359.0,0.0216
360.0,0.0213
361.0,0.0210
362.0,0.0207
363.0,0.0204
364.0,0.0201
365.0,0.0200
366.0,0.0198
367.0,0.0197
368.0,0.0197
369.0,0.0195
370.0,0.0193
371.0,0.0194
372.0,0.0194
373.0,0.0190
374.0,0.0191
375.0,0.0190
376.0,0.0189
377.0,0.0188
378.0,0.0188
379.0,0.0189
380.0,0.0190
381.0,0.0188
382.0,0.0188
383.0,0.0188
384.0,0.0188
385.0,0.0186
386.0,0.0186
387.0,0.0187
388.0,0.0185
389.0,0.0184
390.0,0.0182
391.0,0.0181
392.0,0.0180
393.0,0.0178
394.0,0.0175
395.0,0.0174
396.0,0.0173
397.0,0.0170
398.0,0.0168
399.0,0.0166
400.0,0.0164
401.0,0.0163
402.0,0.0161
403.0,0.0159
404.0,0.0158
405.0,0.0157
406.0,0.0155
407.0,0.0154
408.0,0.0155
409.0,0.0154
410.0,0.0154
411.0,0.0153
412.0,0.0154
413.0,0.0154
414.0,0.0155
415.0,0.0156
416.0,0.0157
417.0,0.0158
418.0,0.0159
419.0,0.0160
420.0,0.0162
421.0,0.0164
422.0,0.0166
423.0,0.0167
424.0,0.0169
425.0,0.0171
426.0,0.0173
427.0,0.0175
428.0,0.0177
429.0,0.0179
430.0,0.0182
431.0,0.0184
432.0,0.0186
433.0,0.0189
434.0,0.0192
435.0,0.0194
436.0,0.0197
437.0,0.0200
438.0,0.0202
439.0,0.0204
440.0,0.0208
441.0,0.0209
442.0,0.0212
443.0,0.0213
444.0,0.0218
445.0,0.0219
446.0,0.0223
447.0,0.0227
448.0,0.0229
449.0,0.0231
450.0,0.0234
451.0,0.0237
452.0,0.0240
453.0,0.0242
454.0,0.0245
455.0,0.0249
456.0,0.0252
457.0,0.0255
458.0,0.0257
459.0,0.0260
460.0,0.0264
461.0,0.0267
462.0,0.0270
463.0,0.0274
464.0,0.0277
465.0,0.0280
466.0,0.0282
467.0,0.0285
468.0,0.0290
469.0,0.0293
470.0,0.0295
471.0,0.0298
472.0,0.0302
473.0,0.0305
474.0,0.0308
475.0,0.0311
476.0,0.0314
477.0,0.0317
478.0,0.0320
479.0,0.0323
480.0,0.0327
481.0,0.0328
482.0,0.0331
483.0,0.0335
484.0,0.0338
485.0,0.0340
486.0,0.0344
487.0,0.0346
488.0,0.0348
489.0,0.0351
490.0,0.0354
491.0,0.0356
492.0,0.0358
493.0,0.0362
494.0,0.0363
495.0,0.0367
496.0,0.0369
497.0,0.0370
498.0,0.0374
499.0,0.0376
500.0,0.0379
501.0,0.0382
502.0,0.0384
503.0,0.0388
504.0,0.0392
505.0,0.0393
506.0,0.0398
507.0,0.0401
508.0,0.0405
509.0,0.0409
510.0,0.0412
511.0,0.0417
512.0,0.0421
513.0,0.0426
514.0,0.0432
515.0,0.0437
516.0,0.0442
517.0,0.0448
518.0,0.0453
519.0,0.0460
520.0,0.0467
521.0,0.0474
522.0,0.0483
523.0,0.0490
524.0,0.0498
525.0,0.0507
526.0,0.0516
527.0,0.0525
528.0,0.0537
529.0,0.0548
530.0,0.0559
531.0,0.0570
532.0,0.0582
533.0,0.0595
534.0,0.0607
535.0,0.0622
536.0,0.0635
537.0,0.0649
538.0,0.0665
539.0,0.0681
540.0,0.0697
541.0,0.0714
542.0,0.0730
543.0,0.0749
544.0,0.0767
545.0,0.0785
546.0,0.0805
547.0,0.0825
548.0,0.0847
549.0,0.0868
550.0,0.0889
551.0,0.0914
552.0,0.0936
553.0,0.0960
554.0,0.0986
555.0,0.1011
556.0,0.1037
557.0,0.1062
