Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova4_8725_-30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 09:35:16
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0070
401.0,0.0067
402.0,0.0063
403.0,0.0058
404.0,0.0055
405.0,0.0049
406.0,0.0047
407.0,0.0042
408.0,0.0039
409.0,0.0035
410.0,0.0032
411.0,0.0028
412.0,0.0026
413.0,0.0024
414.0,0.0024
415.0,0.0022
416.0,0.0022
417.0,0.0021
418.0,0.0021
419.0,0.0022
420.0,0.0021
421.0,0.0021
422.0,0.0024
423.0,0.0024
424.0,0.0025
425.0,0.0027
426.0,0.0027
427.0,0.0029
428.0,0.0030
429.0,0.0031
430.0,0.0033
431.0,0.0034
432.0,0.0037
433.0,0.0039
434.0,0.0041
435.0,0.0043
436.0,0.0044
437.0,0.0047
438.0,0.0048
439.0,0.0051
440.0,0.0053
441.0,0.0057
442.0,0.0060
443.0,0.0061
444.0,0.0064
445.0,0.0067
446.0,0.0070
447.0,0.0074
448.0,0.0076
449.0,0.0079
450.0,0.0083
451.0,0.0086
452.0,0.0088
453.0,0.0092
454.0,0.0095
455.0,0.0098
456.0,0.0102
457.0,0.0104
458.0,0.0109
459.0,0.0112
460.0,0.0116
461.0,0.0119
462.0,0.0124
463.0,0.0127
464.0,0.0130
465.0,0.0134
466.0,0.0136
467.0,0.0141
468.0,0.0144
469.0,0.0148
470.0,0.0152
471.0,0.0154
472.0,0.0157
473.0,0.0162
474.0,0.0165
475.0,0.0170
476.0,0.0173
477.0,0.0176
478.0,0.0180
479.0,0.0184
480.0,0.0188
481.0,0.0191
482.0,0.0195
483.0,0.0199
484.0,0.0203
485.0,0.0207
486.0,0.0211
487.0,0.0215
488.0,0.0218
489.0,0.0222
490.0,0.0225
491.0,0.0227
492.0,0.0231
493.0,0.0233
494.0,0.0236
495.0,0.0238
496.0,0.0240
497.0,0.0241
498.0,0.0243
499.0,0.0245
500.0,0.0245
501.0,0.0246
502.0,0.0247
503.0,0.0248
504.0,0.0249
505.0,0.0250
506.0,0.0249
507.0,0.0249
508.0,0.0250
509.0,0.0250
510.0,0.0250
511.0,0.0251
512.0,0.0251
513.0,0.0252
514.0,0.0253
515.0,0.0254
516.0,0.0257
517.0,0.0257
518.0,0.0261
519.0,0.0262
520.0,0.0265
521.0,0.0267
522.0,0.0271
523.0,0.0275
524.0,0.0278
525.0,0.0283
526.0,0.0289
527.0,0.0296
528.0,0.0301
529.0,0.0309
530.0,0.0315
531.0,0.0323
532.0,0.0331
533.0,0.0340
534.0,0.0349
535.0,0.0359
536.0,0.0370
537.0,0.0381
538.0,0.0394
539.0,0.0405
540.0,0.0419
541.0,0.0433
542.0,0.0447
543.0,0.0463
544.0,0.0480
545.0,0.0495
546.0,0.0512
547.0,0.0531
548.0,0.0549
549.0,0.0570
550.0,0.0589
551.0,0.0612
552.0,0.0635
553.0,0.0656
554.0,0.0678
555.0,0.0702
556.0,0.0727
557.0,0.0751
