Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova5_8725_-30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 10:53:55
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0312
401.0,0.0306
402.0,0.0296
403.0,0.0288
404.0,0.0281
405.0,0.0272
406.0,0.0264
407.0,0.0255
408.0,0.0248
409.0,0.0241
410.0,0.0235
411.0,0.0229
412.0,0.0224
413.0,0.0219
414.0,0.0217
415.0,0.0213
416.0,0.0211
417.0,0.0210
418.0,0.0208
419.0,0.0208
420.0,0.0206
421.0,0.0206
422.0,0.0207
423.0,0.0207
424.0,0.0207
425.0,0.0209
426.0,0.0211
427.0,0.0212
428.0,0.0213
429.0,0.0214
430.0,0.0217
431.0,0.0218
432.0,0.0221
433.0,0.0223
434.0,0.0226
435.0,0.0228
436.0,0.0230
437.0,0.0234
438.0,0.0236
439.0,0.0239
440.0,0.0242
441.0,0.0245
442.0,0.0251
443.0,0.0253
444.0,0.0258
445.0,0.0262
446.0,0.0265
447.0,0.0270
448.0,0.0274
449.0,0.0279
450.0,0.0283
451.0,0.0288
452.0,0.0292
453.0,0.0297
454.0,0.0303
455.0,0.0307
456.0,0.0313
457.0,0.0318
458.0,0.0324
459.0,0.0328
460.0,0.0334
461.0,0.0338
462.0,0.0345
463.0,0.0350
464.0,0.0355
465.0,0.0360
466.0,0.0365
467.0,0.0371
468.0,0.0376
469.0,0.0382
470.0,0.0388
471.0,0.0392
472.0,0.0398
473.0,0.0404
474.0,0.0409
475.0,0.0416
476.0,0.0420
477.0,0.0427
478.0,0.0432
479.0,0.0438
480.0,0.0445
481.0,0.0450
482.0,0.0457
483.0,0.0464
484.0,0.0469
485.0,0.0475
486.0,0.0481
487.0,0.0486
488.0,0.0492
489.0,0.0497
490.0,0.0502
491.0,0.0507
492.0,0.0512
493.0,0.0515
494.0,0.0519
495.0,0.0522
496.0,0.0525
497.0,0.0527
498.0,0.0530
499.0,0.0531
500.0,0.0533
501.0,0.0534
502.0,0.0535
503.0,0.0536
504.0,0.0536
505.0,0.0537
506.0,0.0537
507.0,0.0537
508.0,0.0537
509.0,0.0538
510.0,0.0539
511.0,0.0539
512.0,0.0540
513.0,0.0542
514.0,0.0544
515.0,0.0545
516.0,0.0548
517.0,0.0550
518.0,0.0554
519.0,0.0558
520.0,0.0563
521.0,0.0568
522.0,0.0574
523.0,0.0582
524.0,0.0587
525.0,0.0596
526.0,0.0605
527.0,0.0616
528.0,0.0626
529.0,0.0638
530.0,0.0651
531.0,0.0664
532.0,0.0679
533.0,0.0695
534.0,0.0710
535.0,0.0729
536.0,0.0747
537.0,0.0767
538.0,0.0788
539.0,0.0810
540.0,0.0833
541.0,0.0858
542.0,0.0883
543.0,0.0910
544.0,0.0939
545.0,0.0967
546.0,0.0997
547.0,0.1031
548.0,0.1063
549.0,0.1098
550.0,0.1134
551.0,0.1173
552.0,0.1211
553.0,0.1250
554.0,0.1289
555.0,0.1333
556.0,0.1374
557.0,0.1416
558.0,0.1457
559.0,0.1499
560.0,0.1543
561.0,0.1586
562.0,0.1629
563.0,0.1674
564.0,0.1719
565.0,0.1766
566.0,0.1812
567.0,0.1860
568.0,0.1910
569.0,0.1962
570.0,0.2016
571.0,0.2074
572.0,0.2135
573.0,0.2198
574.0,0.2264
575.0,0.2334
576.0,0.2407
577.0,0.2481
578.0,0.2560
579.0,0.2645
580.0,0.2734
581.0,0.2824
582.0,0.2919
583.0,0.3018
584.0,0.3117
585.0,0.3224
586.0,0.3331
587.0,0.3445
588.0,0.3564
589.0,0.3685
590.0,0.3811
591.0,0.3942
592.0,0.4075
593.0,0.4212
594.0,0.4351
595.0,0.4492
596.0,0.4641
597.0,0.4785
598.0,0.4925
599.0,0.5070
600.0,0.5208
601.0,0.5347
602.0,0.5479
603.0,0.5601
604.0,0.5723
605.0,0.5835
606.0,0.5936
607.0,0.6030
608.0,0.6114
609.0,0.6186
610.0,0.6249
611.0,0.6299
612.0,0.6341
613.0,0.6374
614.0,0.6398
615.0,0.6416
616.0,0.6427
617.0,0.6433
618.0,0.6436
619.0,0.6438
620.0,0.6438
621.0,0.6438
622.0,0.6444
623.0,0.6452
624.0,0.6466
625.0,0.6488
626.0,0.6515
627.0,0.6553
628.0,0.6597
629.0,0.6652
630.0,0.6717
631.0,0.6788
632.0,0.6872
633.0,0.6968
634.0,0.7071
635.0,0.7191
636.0,0.7320
637.0,0.7457
638.0,0.7606
639.0,0.7762
640.0,0.7926
641.0,0.8105
642.0,0.8284
643.0,0.8474
644.0,0.8672
645.0,0.8865
646.0,0.9053
647.0,0.9252
648.0,0.9448
649.0,0.9631
650.0,0.9817
651.0,1.0000
652.0,1.0175
653.0,1.0344
654.0,1.0504
655.0,1.0654
656.0,1.0801
657.0,1.0940
658.0,1.1068
659.0,1.1189
660.0,1.1296
661.0,1.1381
662.0,1.1448
663.0,1.1489
664.0,1.1500
665.0,1.1475
666.0,1.1410
667.0,1.1306
668.0,1.1154
669.0,1.0957
670.0,1.0715
671.0,1.0428
672.0,1.0094
673.0,0.9726
674.0,0.9312
675.0,0.8875
676.0,0.8419
677.0,0.7937
678.0,0.7450
679.0,0.6935
680.0,0.6430
681.0,0.5945
682.0,0.5476
683.0,0.5020
684.0,0.4590
685.0,0.4180
686.0,0.3803
687.0,0.3444
688.0,0.3116
689.0,0.2831
690.0,0.2564
691.0,0.2320
692.0,0.2096
693.0,0.1892
694.0,0.1705
695.0,0.1541
696.0,0.1390
697.0,0.1258
698.0,0.1143
699.0,0.1030
700.0,0.0932
701.0,0.0848
702.0,0.0768
703.0,0.0696
704.0,0.0634
705.0,0.0576
706.0,0.0524
707.0,0.0480
708.0,0.0439
709.0,0.0403
710.0,0.0370
711.0,0.0340
712.0,0.0316
713.0,0.0293
714.0,0.0270
715.0,0.0251
716.0,0.0234
717.0,0.0218
718.0,0.0204
719.0,0.0191
720.0,0.0180
721.0,0.0169
722.0,0.0157
723.0,0.0149
724.0,0.0140
725.0,0.0131
726.0,0.0124
727.0,0.0118
728.0,0.0111
729.0,0.0105
730.0,0.0098
731.0,0.0095
732.0,0.0090
733.0,0.0085
734.0,0.0081
735.0,0.0077
736.0,0.0073
737.0,0.0070
738.0,0.0066
739.0,0.0064
740.0,0.0061
741.0,0.0058
742.0,0.0056
743.0,0.0053
744.0,0.0050
745.0,0.0048
746.0,0.0046
747.0,0.0043
748.0,0.0041
749.0,0.0040
750.0,0.0038
751.0,0.0036
752.0,0.0034
753.0,0.0033
754.0,0.0031
755.0,0.0030
756.0,0.0030
757.0,0.0027
758.0,0.0026
759.0,0.0025
760.0,0.0022
761.0,0.0021
762.0,0.0021
763.0,0.0019
764.0,0.0018
765.0,0.0018
766.0,0.0015
767.0,0.0015
768.0,0.0014
769.0,0.0012
770.0,0.0012
771.0,0.0012
772.0,0.0011
773.0,0.0010
774.0,0.0009
775.0,0.0011
776.0,0.0008
777.0,0.0008
778.0,0.0006
779.0,0.0006
780.0,0.0005
781.0,0.0005
782.0,0.0007
783.0,0.0004
784.0,0.0001
785.0,0.0003
786.0,0.0004
787.0,0.0001
788.0,0.0001
789.0,0.0002
790.0,0.0002
791.0,0.0002
792.0,-0.0001
793.0,-0.0002
794.0,-0.0001
795.0,-0.0004
796.0,-0.0002
797.0,-0.0004
798.0,-0.0004
799.0,-0.0004
800.0,-0.0002
