Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova5_8725_30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 10:46:41
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0030
401.0,0.0031
402.0,0.0031
403.0,0.0031
404.0,0.0032
405.0,0.0031
406.0,0.0033
407.0,0.0033
408.0,0.0035
409.0,0.0034
410.0,0.0036
411.0,0.0035
412.0,0.0036
413.0,0.0036
414.0,0.0038
415.0,0.0038
416.0,0.0038
417.0,0.0039
418.0,0.0041
419.0,0.0041
420.0,0.0041
421.0,0.0041
422.0,0.0043
423.0,0.0043
424.0,0.0044
425.0,0.0045
426.0,0.0046
427.0,0.0047
428.0,0.0046
429.0,0.0047
430.0,0.0048
431.0,0.0048
432.0,0.0049
433.0,0.0050
434.0,0.0051
435.0,0.0052
436.0,0.0052
437.0,0.0053
438.0,0.0054
439.0,0.0053
440.0,0.0053
441.0,0.0055
442.0,0.0057
443.0,0.0056
444.0,0.0056
445.0,0.0057
446.0,0.0057
447.0,0.0058
448.0,0.0058
449.0,0.0059
450.0,0.0059
451.0,0.0059
452.0,0.0059
453.0,0.0061
454.0,0.0061
455.0,0.0061
456.0,0.0063
457.0,0.0062
458.0,0.0063
459.0,0.0062
460.0,0.0064
461.0,0.0064
462.0,0.0065
463.0,0.0065
464.0,0.0064
465.0,0.0066
466.0,0.0065
467.0,0.0067
468.0,0.0066
469.0,0.0067
470.0,0.0067
471.0,0.0066
472.0,0.0067
473.0,0.0068
474.0,0.0068
475.0,0.0069
476.0,0.0069
477.0,0.0068
478.0,0.0069
479.0,0.0069
480.0,0.0070
481.0,0.0069
482.0,0.0070
483.0,0.0070
484.0,0.0071
485.0,0.0072
486.0,0.0072
487.0,0.0072
488.0,0.0073
489.0,0.0073
490.0,0.0073
491.0,0.0073
492.0,0.0075
493.0,0.0074
494.0,0.0075
495.0,0.0076
496.0,0.0076
497.0,0.0077
498.0,0.0078
499.0,0.0078
500.0,0.0078
501.0,0.0079
502.0,0.0080
503.0,0.0081
504.0,0.0082
505.0,0.0083
506.0,0.0084
507.0,0.0085
508.0,0.0085
509.0,0.0087
510.0,0.0088
511.0,0.0088
512.0,0.0089
513.0,0.0091
514.0,0.0092
515.0,0.0093
516.0,0.0095
517.0,0.0095
518.0,0.0096
519.0,0.0098
520.0,0.0099
521.0,0.0100
522.0,0.0101
523.0,0.0103
524.0,0.0104
525.0,0.0106
526.0,0.0107
527.0,0.0110
528.0,0.0111
529.0,0.0112
530.0,0.0113
531.0,0.0115
532.0,0.0117
533.0,0.0118
534.0,0.0120
535.0,0.0123
536.0,0.0124
537.0,0.0126
538.0,0.0128
539.0,0.0129
540.0,0.0132
541.0,0.0133
542.0,0.0136
543.0,0.0138
544.0,0.0142
545.0,0.0143
546.0,0.0145
547.0,0.0148
548.0,0.0149
549.0,0.0153
550.0,0.0155
551.0,0.0158
552.0,0.0161
553.0,0.0163
554.0,0.0166
555.0,0.0168
556.0,0.0171
557.0,0.0173
558.0,0.0176
559.0,0.0177
560.0,0.0180
561.0,0.0183
562.0,0.0185
563.0,0.0188
564.0,0.0190
565.0,0.0193
566.0,0.0195
567.0,0.0197
568.0,0.0200
569.0,0.0203
570.0,0.0205
571.0,0.0208
572.0,0.0210
573.0,0.0212
574.0,0.0214
575.0,0.0218
576.0,0.0220
577.0,0.0223
578.0,0.0225
579.0,0.0228
580.0,0.0231
581.0,0.0234
582.0,0.0236
583.0,0.0239
584.0,0.0241
585.0,0.0245
586.0,0.0247
587.0,0.0250
588.0,0.0252
589.0,0.0255
590.0,0.0257
591.0,0.0259
592.0,0.0263
593.0,0.0265
594.0,0.0267
595.0,0.0270
596.0,0.0273
597.0,0.0276
598.0,0.0278
599.0,0.0280
600.0,0.0282
601.0,0.0284
602.0,0.0286
603.0,0.0288
604.0,0.0289
605.0,0.0291
606.0,0.0292
607.0,0.0294
608.0,0.0293
609.0,0.0294
610.0,0.0295
611.0,0.0295
612.0,0.0296
613.0,0.0294
614.0,0.0294
615.0,0.0294
616.0,0.0294
617.0,0.0292
618.0,0.0292
619.0,0.0290
620.0,0.0289
621.0,0.0287
622.0,0.0287
623.0,0.0284
624.0,0.0282
625.0,0.0280
626.0,0.0279
627.0,0.0276
628.0,0.0276
629.0,0.0272
630.0,0.0270
631.0,0.0267
632.0,0.0266
633.0,0.0263
634.0,0.0260
635.0,0.0257
636.0,0.0255
637.0,0.0252
638.0,0.0249
639.0,0.0246
640.0,0.0242
641.0,0.0240
642.0,0.0235
643.0,0.0232
644.0,0.0229
645.0,0.0227
646.0,0.0222
647.0,0.0219
648.0,0.0216
649.0,0.0212
650.0,0.0209
651.0,0.0206
652.0,0.0202
653.0,0.0199
654.0,0.0195
655.0,0.0191
656.0,0.0186
657.0,0.0182
658.0,0.0178
659.0,0.0174
660.0,0.0170
661.0,0.0165
662.0,0.0160
663.0,0.0154
664.0,0.0150
665.0,0.0145
666.0,0.0140
667.0,0.0135
668.0,0.0129
669.0,0.0125
670.0,0.0119
671.0,0.0113
672.0,0.0107
673.0,0.0103
674.0,0.0097
675.0,0.0091
676.0,0.0086
677.0,0.0081
678.0,0.0075
679.0,0.0069
680.0,0.0066
681.0,0.0060
682.0,0.0055
683.0,0.0051
684.0,0.0047
685.0,0.0044
686.0,0.0040
687.0,0.0036
688.0,0.0033
689.0,0.0031
690.0,0.0027
691.0,0.0026
692.0,0.0024
693.0,0.0021
694.0,0.0019
695.0,0.0017
696.0,0.0016
697.0,0.0014
698.0,0.0013
699.0,0.0012
700.0,0.0011
701.0,0.0009
702.0,0.0008
703.0,0.0008
704.0,0.0006
705.0,0.0006
706.0,0.0005
707.0,0.0005
708.0,0.0003
709.0,0.0002
710.0,0.0003
711.0,0.0002
712.0,0.0001
713.0,0.0001
714.0,0.0001
715.0,-0.0000
716.0,-0.0001
717.0,-0.0001
718.0,-0.0002
719.0,-0.0002
720.0,-0.0001
721.0,-0.0002
722.0,-0.0002
723.0,-0.0002
724.0,-0.0003
725.0,-0.0003
726.0,-0.0003
727.0,-0.0003
728.0,-0.0003
729.0,-0.0004
730.0,-0.0004
731.0,-0.0005
732.0,-0.0003
733.0,-0.0003
734.0,-0.0003
735.0,-0.0004
736.0,-0.0004
737.0,-0.0005
738.0,-0.0004
739.0,-0.0005
740.0,-0.0004
741.0,-0.0003
742.0,-0.0004
743.0,-0.0004
744.0,-0.0004
745.0,-0.0003
746.0,-0.0003
747.0,-0.0004
748.0,-0.0003
749.0,-0.0004
750.0,-0.0003
751.0,-0.0004
752.0,-0.0002
753.0,-0.0003
754.0,-0.0003
755.0,-0.0003
756.0,-0.0002
757.0,-0.0002
758.0,-0.0002
759.0,-0.0004
760.0,-0.0003
761.0,-0.0003
762.0,-0.0001
763.0,-0.0002
764.0,-0.0001
765.0,-0.0001
766.0,-0.0001
767.0,-0.0003
768.0,-0.0000
769.0,-0.0001
770.0,-0.0001
771.0,-0.0002
772.0,-0.0001
773.0,-0.0001
774.0,-0.0001
775.0,0.0001
776.0,-0.0001
777.0,0.0002
778.0,-0.0002
779.0,-0.0000
780.0,0.0000
781.0,0.0001
782.0,0.0000
783.0,-0.0000
784.0,-0.0000
785.0,-0.0001
786.0,0.0002
787.0,-0.0002
788.0,0.0001
789.0,0.0002
790.0,0.0003
791.0,0.0001
792.0,-0.0001
793.0,-0.0000
794.0,0.0000
795.0,-0.0001
796.0,0.0001
797.0,0.0001
798.0,0.0000
799.0,0.0000
800.0,0.0000
