Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova3_7725_75min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 17:33:14
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.0444
301.0,0.0431
302.0,0.0415
303.0,0.0403
304.0,0.0392
305.0,0.0385
306.0,0.0377
307.0,0.0370
308.0,0.0365
309.0,0.0356
310.0,0.0348
311.0,0.0344
312.0,0.0341
313.0,0.0337
314.0,0.0334
315.0,0.0328
316.0,0.0324
317.0,0.0318
318.0,0.0315
319.0,0.0307
320.0,0.0304
321.0,0.0297
322.0,0.0291
323.0,0.0283
324.0,0.0278
325.0,0.0272
326.0,0.0268
327.0,0.0260
328.0,0.0254
329.0,0.0246
330.0,0.0241
331.0,0.0235
332.0,0.0228
333.0,0.0223
334.0,0.0216
335.0,0.0210
336.0,0.0206
337.0,0.0200
338.0,0.0196
339.0,0.0191
340.0,0.0187
341.0,0.0185
342.0,0.0180
343.0,0.0177
344.0,0.0175
345.0,0.0172
346.0,0.0169
347.0,0.0167
348.0,0.0163
349.0,0.0159
350.0,0.0158
351.0,0.0155
352.0,0.0155
353.0,0.0154
354.0,0.0153
355.0,0.0151
356.0,0.0150
357.0,0.0147
358.0,0.0147
359.0,0.0144
360.0,0.0144
361.0,0.0143
362.0,0.0142
363.0,0.0140
364.0,0.0138
365.0,0.0137
366.0,0.0137
367.0,0.0137
368.0,0.0135
369.0,0.0134
370.0,0.0133
371.0,0.0132
372.0,0.0132
373.0,0.0128
374.0,0.0127
375.0,0.0125
376.0,0.0123
377.0,0.0124
378.0,0.0124
379.0,0.0123
380.0,0.0124
381.0,0.0121
