Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova7_8725_-30min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 15:53:52
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0057
401.0,0.0054
402.0,0.0048
403.0,0.0044
404.0,0.0041
405.0,0.0035
406.0,0.0032
407.0,0.0028
408.0,0.0025
409.0,0.0020
410.0,0.0018
411.0,0.0014
412.0,0.0012
413.0,0.0010
414.0,0.0010
415.0,0.0009
416.0,0.0007
417.0,0.0007
418.0,0.0007
419.0,0.0008
420.0,0.0006
421.0,0.0008
422.0,0.0010
423.0,0.0009
424.0,0.0011
425.0,0.0012
426.0,0.0014
427.0,0.0016
428.0,0.0016
429.0,0.0018
430.0,0.0020
431.0,0.0022
432.0,0.0023
433.0,0.0026
434.0,0.0028
435.0,0.0030
436.0,0.0032
437.0,0.0034
438.0,0.0037
439.0,0.0039
440.0,0.0041
441.0,0.0044
442.0,0.0048
443.0,0.0050
444.0,0.0053
445.0,0.0056
446.0,0.0059
447.0,0.0062
448.0,0.0065
449.0,0.0069
450.0,0.0072
451.0,0.0076
452.0,0.0078
453.0,0.0082
454.0,0.0085
455.0,0.0090
456.0,0.0093
457.0,0.0096
458.0,0.0100
459.0,0.0104
460.0,0.0108
461.0,0.0111
462.0,0.0116
463.0,0.0119
464.0,0.0122
465.0,0.0126
466.0,0.0129
467.0,0.0134
468.0,0.0138
469.0,0.0142
470.0,0.0145
471.0,0.0147
472.0,0.0152
473.0,0.0156
474.0,0.0159
475.0,0.0164
476.0,0.0167
477.0,0.0171
478.0,0.0175
479.0,0.0178
480.0,0.0183
481.0,0.0187
482.0,0.0190
483.0,0.0195
484.0,0.0199
485.0,0.0203
486.0,0.0207
487.0,0.0210
488.0,0.0215
489.0,0.0218
490.0,0.0222
491.0,0.0224
492.0,0.0228
493.0,0.0231
494.0,0.0233
495.0,0.0235
496.0,0.0237
497.0,0.0238
498.0,0.0240
499.0,0.0242
500.0,0.0243
501.0,0.0244
502.0,0.0244
503.0,0.0246
504.0,0.0247
505.0,0.0247
506.0,0.0248
507.0,0.0248
