Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova7_8725_45min
Sample ID
Option
Analyst
Date/Time:,08/07/2025 15:44:40
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.0002
401.0,0.0003
402.0,0.0002
403.0,0.0001
404.0,0.0002
405.0,0.0002
406.0,0.0003
407.0,0.0001
408.0,0.0004
409.0,0.0001
410.0,0.0002
411.0,0.0002
412.0,0.0002
413.0,0.0002
414.0,0.0003
415.0,0.0003
416.0,0.0002
417.0,0.0002
418.0,0.0003
419.0,0.0003
420.0,0.0001
421.0,0.0002
422.0,0.0004
423.0,0.0002
424.0,0.0003
425.0,0.0003
426.0,0.0003
427.0,0.0004
428.0,0.0003
429.0,0.0003
430.0,0.0004
431.0,0.0004
432.0,0.0005
433.0,0.0005
434.0,0.0005
435.0,0.0006
436.0,0.0005
437.0,0.0006
438.0,0.0005
439.0,0.0004
440.0,0.0005
441.0,0.0005
442.0,0.0008
443.0,0.0007
444.0,0.0007
445.0,0.0006
446.0,0.0006
447.0,0.0007
448.0,0.0007
449.0,0.0007
450.0,0.0007
451.0,0.0007
452.0,0.0007
453.0,0.0008
454.0,0.0009
455.0,0.0007
456.0,0.0008
457.0,0.0007
458.0,0.0008
459.0,0.0008
460.0,0.0009
461.0,0.0008
462.0,0.0009
463.0,0.0010
464.0,0.0008
465.0,0.0009
466.0,0.0008
467.0,0.0010
468.0,0.0009
469.0,0.0011
470.0,0.0010
471.0,0.0009
472.0,0.0011
473.0,0.0009
474.0,0.0009
475.0,0.0009
476.0,0.0009
477.0,0.0010
478.0,0.0011
479.0,0.0010
480.0,0.0008
481.0,0.0011
482.0,0.0009
483.0,0.0010
484.0,0.0009
485.0,0.0011
486.0,0.0010
487.0,0.0011
488.0,0.0011
489.0,0.0011
490.0,0.0012
491.0,0.0010
492.0,0.0012
493.0,0.0011
494.0,0.0013
495.0,0.0011
496.0,0.0011
497.0,0.0012
498.0,0.0013
499.0,0.0011
500.0,0.0012
501.0,0.0012
502.0,0.0011
503.0,0.0012
504.0,0.0012
505.0,0.0012
506.0,0.0012
507.0,0.0012
508.0,0.0012
509.0,0.0014
510.0,0.0013
511.0,0.0013
512.0,0.0013
513.0,0.0013
514.0,0.0014
515.0,0.0013
516.0,0.0014
