Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,prova3_7725_90min
Sample ID
Option
Analyst
Date/Time:,07/07/2025 17:30:18
Comments
Parameter File Name:,4NP_bezzetto.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.13
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595901003)

Parameter
[Measurement]
Start:,800 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.0275
301.0,0.0266
302.0,0.0256
303.0,0.0249
304.0,0.0241
305.0,0.0237
306.0,0.0233
307.0,0.0229
308.0,0.0225
309.0,0.0217
310.0,0.0213
311.0,0.0208
312.0,0.0208
313.0,0.0204
314.0,0.0200
315.0,0.0198
316.0,0.0196
317.0,0.0193
318.0,0.0192
319.0,0.0188
320.0,0.0188
321.0,0.0184
322.0,0.0183
323.0,0.0181
324.0,0.0179
325.0,0.0177
326.0,0.0174
327.0,0.0172
328.0,0.0169
329.0,0.0166
330.0,0.0165
331.0,0.0163
332.0,0.0160
333.0,0.0157
334.0,0.0153
335.0,0.0150
336.0,0.0150
337.0,0.0146
338.0,0.0143
339.0,0.0140
340.0,0.0137
341.0,0.0137
342.0,0.0132
343.0,0.0132
344.0,0.0130
345.0,0.0127
346.0,0.0126
347.0,0.0123
348.0,0.0122
349.0,0.0119
350.0,0.0119
351.0,0.0116
352.0,0.0117
353.0,0.0114
354.0,0.0114
355.0,0.0113
356.0,0.0112
357.0,0.0110
358.0,0.0110
359.0,0.0109
360.0,0.0108
361.0,0.0107
362.0,0.0106
363.0,0.0104
364.0,0.0104
365.0,0.0103
366.0,0.0102
367.0,0.0100
368.0,0.0100
369.0,0.0100
370.0,0.0099
371.0,0.0099
372.0,0.0098
373.0,0.0093
374.0,0.0094
375.0,0.0093
376.0,0.0092
377.0,0.0090
378.0,0.0091
379.0,0.0091
380.0,0.0090
381.0,0.0089
382.0,0.0088
383.0,0.0087
384.0,0.0087
385.0,0.0087
386.0,0.0086
387.0,0.0086
388.0,0.0086
389.0,0.0083
390.0,0.0082
391.0,0.0082
392.0,0.0081
393.0,0.0081
394.0,0.0079
395.0,0.0079
396.0,0.0080
397.0,0.0078
398.0,0.0077
399.0,0.0077
400.0,0.0075
401.0,0.0076
402.0,0.0074
403.0,0.0074
404.0,0.0074
405.0,0.0074
406.0,0.0074
407.0,0.0072
408.0,0.0073
409.0,0.0072
410.0,0.0071
411.0,0.0070
412.0,0.0070
413.0,0.0069
414.0,0.0069
415.0,0.0069
416.0,0.0070
417.0,0.0067
418.0,0.0067
419.0,0.0066
420.0,0.0066
421.0,0.0065
422.0,0.0065
423.0,0.0065
424.0,0.0065
425.0,0.0064
426.0,0.0064
427.0,0.0063
428.0,0.0063
429.0,0.0063
430.0,0.0062
431.0,0.0063
432.0,0.0062
433.0,0.0063
434.0,0.0063
435.0,0.0062
436.0,0.0062
437.0,0.0062
438.0,0.0061
439.0,0.0061
440.0,0.0061
441.0,0.0060
442.0,0.0060
443.0,0.0061
444.0,0.0061
445.0,0.0059
446.0,0.0060
447.0,0.0060
448.0,0.0059
449.0,0.0060
450.0,0.0059
451.0,0.0059
452.0,0.0059
453.0,0.0059
454.0,0.0059
455.0,0.0060
456.0,0.0058
457.0,0.0058
458.0,0.0057
459.0,0.0057
460.0,0.0058
461.0,0.0057
462.0,0.0057
463.0,0.0057
464.0,0.0057
465.0,0.0057
466.0,0.0057
467.0,0.0056
468.0,0.0057
469.0,0.0057
470.0,0.0057
471.0,0.0056
472.0,0.0058
473.0,0.0057
474.0,0.0056
475.0,0.0056
476.0,0.0056
477.0,0.0056
478.0,0.0055
479.0,0.0057
480.0,0.0056
481.0,0.0055
482.0,0.0055
483.0,0.0055
484.0,0.0055
485.0,0.0054
486.0,0.0056
487.0,0.0055
488.0,0.0054
489.0,0.0055
490.0,0.0054
491.0,0.0053
492.0,0.0054
493.0,0.0054
494.0,0.0053
495.0,0.0054
496.0,0.0053
497.0,0.0052
498.0,0.0052
499.0,0.0051
500.0,0.0052
501.0,0.0052
502.0,0.0052
503.0,0.0052
504.0,0.0052
505.0,0.0051
506.0,0.0051
507.0,0.0051
508.0,0.0051
509.0,0.0051
510.0,0.0050
511.0,0.0050
512.0,0.0050
513.0,0.0050
514.0,0.0050
515.0,0.0050
516.0,0.0049
517.0,0.0049
518.0,0.0049
519.0,0.0048
520.0,0.0050
521.0,0.0050
522.0,0.0050
523.0,0.0050
524.0,0.0050
525.0,0.0050
526.0,0.0050
527.0,0.0051
528.0,0.0051
529.0,0.0051
530.0,0.0052
531.0,0.0052
532.0,0.0052
533.0,0.0053
534.0,0.0052
535.0,0.0054
536.0,0.0054
537.0,0.0053
538.0,0.0054
539.0,0.0055
540.0,0.0056
541.0,0.0056
542.0,0.0057
543.0,0.0057
544.0,0.0058
545.0,0.0059
546.0,0.0060
547.0,0.0060
548.0,0.0062
549.0,0.0061
550.0,0.0063
551.0,0.0066
552.0,0.0065
553.0,0.0066
554.0,0.0068
555.0,0.0069
556.0,0.0070
557.0,0.0071
558.0,0.0073
559.0,0.0074
560.0,0.0075
561.0,0.0076
562.0,0.0077
563.0,0.0079
564.0,0.0081
565.0,0.0081
566.0,0.0083
567.0,0.0084
568.0,0.0086
569.0,0.0087
570.0,0.0089
571.0,0.0090
572.0,0.0091
573.0,0.0093
574.0,0.0095
575.0,0.0097
576.0,0.0098
577.0,0.0100
578.0,0.0102
579.0,0.0103
580.0,0.0104
581.0,0.0106
582.0,0.0107
583.0,0.0109
584.0,0.0111
585.0,0.0112
586.0,0.0115
587.0,0.0115
588.0,0.0118
589.0,0.0119
590.0,0.0122
591.0,0.0122
592.0,0.0124
593.0,0.0126
594.0,0.0128
595.0,0.0130
596.0,0.0132
597.0,0.0134
598.0,0.0136
599.0,0.0138
600.0,0.0140
601.0,0.0141
602.0,0.0143
603.0,0.0145
604.0,0.0146
605.0,0.0147
606.0,0.0148
607.0,0.0150
608.0,0.0151
609.0,0.0151
610.0,0.0152
611.0,0.0152
612.0,0.0153
613.0,0.0153
614.0,0.0153
615.0,0.0153
616.0,0.0154
617.0,0.0154
618.0,0.0153
619.0,0.0154
620.0,0.0153
621.0,0.0154
622.0,0.0152
623.0,0.0152
624.0,0.0151
625.0,0.0151
626.0,0.0151
627.0,0.0151
628.0,0.0150
629.0,0.0151
630.0,0.0151
631.0,0.0151
632.0,0.0152
633.0,0.0153
634.0,0.0152
635.0,0.0153
636.0,0.0153
637.0,0.0154
638.0,0.0154
639.0,0.0154
640.0,0.0155
641.0,0.0155
642.0,0.0156
643.0,0.0157
644.0,0.0159
645.0,0.0159
646.0,0.0160
647.0,0.0161
648.0,0.0162
649.0,0.0163
650.0,0.0163
651.0,0.0165
652.0,0.0166
653.0,0.0166
654.0,0.0168
655.0,0.0168
656.0,0.0168
657.0,0.0168
658.0,0.0169
659.0,0.0169
660.0,0.0170
661.0,0.0169
662.0,0.0168
663.0,0.0168
664.0,0.0166
665.0,0.0164
666.0,0.0163
667.0,0.0161
668.0,0.0159
669.0,0.0156
670.0,0.0153
671.0,0.0147
672.0,0.0144
673.0,0.0139
674.0,0.0134
675.0,0.0128
676.0,0.0123
677.0,0.0117
678.0,0.0109
679.0,0.0105
680.0,0.0098
681.0,0.0093
682.0,0.0088
683.0,0.0083
684.0,0.0078
685.0,0.0072
686.0,0.0068
687.0,0.0063
688.0,0.0058
689.0,0.0055
690.0,0.0051
691.0,0.0048
692.0,0.0045
693.0,0.0042
694.0,0.0041
695.0,0.0037
696.0,0.0036
697.0,0.0034
698.0,0.0032
699.0,0.0030
700.0,0.0029
701.0,0.0027
702.0,0.0025
703.0,0.0026
704.0,0.0025
705.0,0.0022
706.0,0.0021
707.0,0.0021
708.0,0.0019
709.0,0.0019
710.0,0.0017
711.0,0.0017
712.0,0.0018
713.0,0.0017
714.0,0.0016
715.0,0.0015
716.0,0.0014
717.0,0.0014
718.0,0.0014
719.0,0.0014
720.0,0.0014
721.0,0.0013
722.0,0.0012
723.0,0.0013
724.0,0.0013
725.0,0.0012
726.0,0.0011
727.0,0.0011
728.0,0.0011
729.0,0.0011
730.0,0.0010
731.0,0.0011
732.0,0.0011
733.0,0.0010
734.0,0.0010
735.0,0.0011
736.0,0.0011
737.0,0.0009
738.0,0.0010
739.0,0.0009
740.0,0.0010
741.0,0.0010
742.0,0.0009
743.0,0.0010
744.0,0.0008
745.0,0.0009
746.0,0.0008
747.0,0.0009
748.0,0.0008
749.0,0.0008
750.0,0.0008
751.0,0.0007
752.0,0.0009
753.0,0.0008
754.0,0.0006
755.0,0.0007
756.0,0.0009
757.0,0.0007
758.0,0.0008
759.0,0.0007
760.0,0.0006
761.0,0.0005
762.0,0.0005
763.0,0.0006
764.0,0.0007
765.0,0.0005
766.0,0.0006
767.0,0.0005
768.0,0.0006
769.0,0.0004
770.0,0.0006
771.0,0.0005
772.0,0.0005
773.0,0.0004
774.0,0.0005
775.0,0.0004
776.0,0.0004
777.0,0.0004
778.0,0.0004
779.0,0.0004
780.0,0.0004
781.0,0.0003
782.0,0.0002
783.0,0.0003
784.0,0.0005
785.0,0.0004
786.0,0.0004
787.0,0.0002
788.0,0.0002
789.0,0.0002
790.0,0.0002
791.0,0.0002
792.0,0.0003
793.0,0.0002
794.0,0.0002
795.0,0.0001
796.0,0.0000
797.0,0.0001
798.0,0.0002
799.0,0.0001
800.0,0.0001
