"","StdOrder","RunOrder","Material","Scale","Estimated","Hardness"
"1",22,1,5,"HV10",NA,NA
"2",25,2,5,"HV50",NA,NA
"3",13,3,3,"HV20",NA,NA
"4",14,4,3,"HV30",NA,NA
"5",15,5,3,"HV50",NA,NA
"6",26,6,6,"HV5",NA,NA
"7",20,7,4,"HV50",NA,NA
"8",4,8,1,"HV30",NA,NA
"9",21,9,5,"HV5",NA,NA
"10",30,10,6,"HV50",NA,NA
"11",10,11,2,"HV50",NA,NA
"12",7,12,2,"HV10",NA,NA
"13",2,13,1,"HV10",NA,NA
"14",17,14,4,"HV10",NA,NA
"15",19,15,4,"HV30",NA,NA
"16",24,16,5,"HV30",NA,NA
"17",18,17,4,"HV20",NA,NA
"18",3,18,1,"HV20",NA,NA
"19",16,19,4,"HV5",NA,NA
"20",1,20,1,"HV5",NA,NA
"21",11,21,3,"HV5",NA,NA
"22",5,22,1,"HV50",NA,NA
"23",23,23,5,"HV20",NA,NA
"24",28,24,6,"HV20",NA,NA
"25",8,25,2,"HV20",NA,NA
"26",6,26,2,"HV5",NA,NA
"27",27,27,6,"HV10",NA,NA
"28",9,28,2,"HV30",NA,NA
"29",29,29,6,"HV30",NA,NA
"30",12,30,3,"HV10",NA,NA
